TNS_ID,RA,DEC,ReportDate,Classification,Redshift,TimeReceived,Classifier
2023sas,21:22:16.000,+00:39:50.65,2023-11-06,AGN,0.187,2023-11-05 14:31:30,PP. Ramsden
2023uqm,23:10:39.016,+34:54:11.01,2023-11-06,AGN,0.238,2023-11-05 14:31:30,PP. Ramsden
2023wcb,20:41:55.210,+11:42:01.48,2023-11-06,CV,0,2023-11-05 14:31:30,PP. Ramsden
2023wli,05:27:30.236,+00:38:06.62,2023-11-06,SN II,0.033,2023-11-05 14:31:30,PP. Ramsden
2023wnb,21:20:17.634,-20:35:19.15,2023-11-06,SN,0.039,2023-11-05 14:31:30,PP. Ramsden
2023wng,23:44:14.186,+22:48:08.65,2023-11-06,SN Ia,0.1,2023-11-05 14:31:30,PP. Ramsden
2023wom,03:40:16.276,-23:41:09.01,2023-11-06,SN Ia-91T-like,0.11,2023-11-05 14:31:30,PP. Ramsden
2023woq,01:27:34.241,-12:26:53.94,2023-11-06,SN Ia-91T-like,0.065,2023-11-05 14:31:30,PP. Ramsden
2023vbl,06:42:49.480,+41:44:38.33,2023-11-06,SN II,0.0315,2023-11-05 16:28:20,Jacob Wise (LJMU)
2023vxs,21:10:11.422,+17:40:32.88,2023-11-06,CV,0,2023-11-05 17:46:24,Claudio Balcon (Belluno A.O. ISSP)
2023vxt,23:31:54.338,+72:50:47.51,2023-11-06,SN Ia,0.042,2023-11-05 20:27:47,Claudio Balcon (Belluno A.O. ISSP)
2023vlp,01:24:12.856,+79:56:44.88,2023-11-06,SN IIn,0.06,2023-11-05 22:06:58,Jacob Wise (LJMU)
