TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023wha,22:03:18.145,+31:12:02.64,2023-10-19 03:26:04.004,03-Nov-2023,19.7865,ABMag,r - ZTF,0.818014090805971,1.0311446104904667,G,-17.28841962322414,260.006332037,0.058071,"['330.825745' '31.200926' 'G' '260.006332037' '0.058071'
 '0.818014090805971' '1.0311446104904667']",G,999,0.0,0.0,['330.826' '31.20084' 'G' '0.0' '0.0' '1.2779413321676778' 'inf'],Julien Peloton
2023wga*,02:02:23.661,+12:47:17.97,2023-10-27 06:07:12.000,03-Nov-2023,19.36,ABMag,r - ZTF,0.9147144943767205,1.3546285599289718,G,-18.064798999959677,305.463835077,0.067744,"['30.598848' '12.78833' 'G' '305.463835077' '0.067744'
 '0.9147144943767205' '1.3546285599289718']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wgb,23:13:53.883,-10:59:44.20,2023-10-27 03:41:45.600,03-Nov-2023,18.85,ABMag,g - ZTF,0.9269145874563457,1.4577845418971598,G,-18.70539378476915,324.398439917,0.071736,"['348.47467' '-10.995817' 'G' '324.398439917' '0.071736'
 '0.9269145874563457' '1.4577845418971598']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wfy*,10:36:14.713,+52:56:50.51,2023-10-31 13:21:00.864,03-Nov-2023,20.21,ABMag,i - P1,1.1566443857952433,1.1783522791598613,G,-16.402502125864245,210.135982627,0.0470456935228,"['159.061' '52.9471' 'G' '210.135982627' '0.0470456935228'
 '1.1566443857952433' '1.1783522791598613']",,,,,,K. C. Chambers
2023weg,02:16:43.514,-50:12:39.89,2023-11-01 22:13:54.048,03-Nov-2023,18.961,ABMag,orange - ATLAS,1.5190473983911965,inf,G,999,0.0,0.0,['34.1817' '-50.21142' 'G' '0.0' '0.0' '1.5190473983911965' 'inf'],,,,,,J. Tonry
2023wfz,23:52:28.986,+39:57:37.99,2023-10-28 07:10:33.600,03-Nov-2023,18.84,ABMag,g - ZTF,2.1669799580457414,2.011110174098687,G,-17.570030508125857,191.428281957,0.042677,"['358.121307' '39.96011' 'G' '191.428281957' '0.042677'
 '2.1669799580457414' '2.011110174098687']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wea,01:04:39.884,-02:07:23.94,2023-10-29 08:37:04.002,03-Nov-2023,18.6524,ABMag,g - ZTF,2.1995062241448142,inf,G,999,0.0,0.0,['16.1667' '-2.12299' 'G' '0.0' '0.0' '2.1995062241448142' 'inf'],,,,,,F. Forster
2023wgi,10:11:09.231,-03:18:14.23,2023-10-25 11:36:57.600,03-Nov-2023,20.12,ABMag,g - ZTF,2.361345156087884,3.0983600340216246,G,-17.041987714805618,270.643463723,0.0605596202798,"['152.789' '-3.30433' 'G' '270.643463723' '0.0605596202798'
 '2.361345156087884' '3.0983600340216246']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wee,22:54:29.908,+18:43:45.81,2023-11-02 03:36:00.000,03-Nov-2023,18.63,ABMag,g - ZTF,2.401767954385195,3.664235561882642,G,-18.859387362548542,314.686036522,0.069691,"['343.625214' '18.729038' 'G' '314.686036522' '0.069691'
 '2.401767954385195' '3.664235561882642']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wgr*,17:08:38.668,+32:33:52.46,2023-11-02 03:28:46.998,03-Nov-2023,18.4334,ABMag,g - ZTF,2.4499539138313713,1.2844062827822933,G,-16.736448197739435,108.135835357,0.024437,"['257.160461' '32.564175' 'G' '108.135835357' '0.024437'
 '2.4499539138313713' '1.2844062827822933']",,,,,,A. Munoz-Arancibia
2023wdq*,07:49:04.058,+19:24:19.59,2023-09-14 14:36:56.736,03-Nov-2023,21.74,ABMag,w - P1,2.6523263197165887,4.88878984986699,G,-16.159997736392388,380.189,0.0833767616884,"['117.267' '19.40471' 'G' '380.189' '0.0833767616884' '2.6523263197165887'
 '4.88878984986699']",,,,,,K. C. Chambers
