TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,ReportDate
2019aasz,15:17:49.199,+04:09:44.82,2019-03-01 10:36:12.384,16.5739,ABMag,r - ZTF,0.5274023154471379,0.43229426998099385,G,-19.56641290038498,169.068453489,0.03528,"['229.454849' '4.162446' 'G' '169.068453489' '0.03528'
 '0.5274023154471379' '0.43229426998099385']",G,999,0.0,0.0,['229.457' '4.1621' 'G' '0.0' '0.0' '7.305449251423824' 'inf'],K. De (Caltech) on behalf of ZTF,04-Oct-2023
2022aeql,02:15:22.230,-05:18:28.73,2022-10-02 08:06:33.696,19.9012,ABMag,r - ZTF,1.4780684450296064,1.512301386086238,G,-16.720644689715794,211.042021384,0.047533,"['33.843021' '-5.308095' 'G' '211.042021384' '0.047533'
 '1.4780684450296064' '1.512301386086238']",,,,,,K. De (Caltech) on behalf of ZTF,04-Oct-2023
2023tyl,01:45:21.620,+19:30:41.74,2023-10-03 07:42:34.004,18.7977,ABMag,r - ZTF,1.531023271213271,2.3217842950162555,G,-18.67862605230301,312.798895193,0.069293,"['26.339798' '19.511265' 'G' '312.798895193' '0.069293'
 '1.531023271213271' '2.3217842950162555']",,,,,,A. Munoz-Arancibia,04-Oct-2023
2023txx,21:57:13.430,-09:45:51.15,2023-10-03 05:46:39.072,20.28,ABMag,w - P1,2.7390531143024752,5.329586636117999,G,-17.737591027804093,401.345322247,0.087745,"['329.305267' '-9.764547' 'G' '401.345322247' '0.087745'
 '2.7390531143024752' '5.329586636117999']",,,,,,K. C. Chambers,04-Oct-2023
2023tyk,09:35:11.426,+83:58:24.44,2023-10-03 10:35:34.999,18.2745,ABMag,g - ZTF,3.048993358582347,2.6505938143413044,G,-17.99355917449571,179.313024076,0.040139,"['143.791336' '83.972923' 'G' '179.313024076' '0.040139'
 '3.048993358582347' '2.6505938143413044']",,,,,,A. Munoz-Arancibia,04-Oct-2023
2023txi,22:53:09.182,-53:42:48.22,2023-10-02 21:23:35.232,18.069,ABMag,orange - ATLAS,3.462231638182611,4.5349127723860345,G,-19.089189752077505,270.170514861,0.060518,"['343.286652' '-53.713249' 'G' '270.170514861' '0.060518'
 '3.462231638182611' '4.5349127723860345']",,,,,,J. Tonry,04-Oct-2023
2023tyq,17:05:33.729,+42:09:51.96,2023-10-03 04:41:20.003,19.1955,ABMag,g - ZTF,3.5389392751798967,3.534788860246263,G,-17.374077500860484,206.022901954,0.046042,"['256.389984' '42.16354' 'G' '206.022901954' '0.046042'
 '3.5389392751798967' '3.534788860246263']",,,,,,A. Munoz-Arancibia,04-Oct-2023
2023tyo,21:32:40.432,+13:02:14.06,2023-10-03 05:04:12.000,19.7088,ABMag,g - ZTF,4.068908124203003,4.85004734482838,G,-17.244666137979696,245.863028902,0.054821,"['323.169312' '13.038013' 'G' '245.863028902' '0.054821'
 '4.068908124203003' '4.85004734482838']",,,,,,A. Munoz-Arancibia,04-Oct-2023
2023tyz,23:57:17.352,+26:37:05.88,2023-10-03 08:01:02.784,19.5,ABMag,i - P1,4.212628773279152,6.760164332762347,G,-18.099145983402735,331.000916802,0.073123,"['359.32309' '26.617367' 'G' '331.000916802' '0.073123'
 '4.212628773279152' '6.760164332762347']",,,,,,D. O. Jones (UC Santa Cruz),04-Oct-2023
2023txm,00:59:21.740,-48:02:57.16,2023-10-02 22:20:09.024,18.624,ABMag,orange - ATLAS,4.31786352513098,7.753291748931137,G,-19.219211740105305,370.375582931,0.081342,"['14.839562' '-48.048225' 'G' '370.375582931' '0.081342'
 '4.31786352513098' '7.753291748931137']",,,,,,J. Tonry,04-Oct-2023
