TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info
2019aasz,15:17:49.199,+04:09:44.82,2019-03-01 10:36:12.384,16.5739,ABMag,r - ZTF,K. De (Caltech) on behalf of ZTF,0.5274023154471379,0.43229426998099385,G,-19.56641290038498,169.068453489,0.03528,"['229.454849' '4.162446' 'G' '169.068453489' '0.03528'
 '0.5274023154471379' '0.43229426998099385']",G,999,0.0,0.0,['229.457' '4.1621' 'G' '0.0' '0.0' '7.305449251423824' 'inf']
2023uah,01:50:15.468,-11:58:02.81,2023-10-03 11:00:02.304,19.75,ABMag,i - P1,K. C. Chambers,0.5369871130157886,inf,G,999,0.0,0.0,['27.5646' '-11.967474' 'G' '0.0' '0.0' '0.5369871130157886' 'inf'],,,,,
2023ubn,17:35:13.899,+27:31:01.89,2023-10-04 07:01:35.328,18.699,ABMag,cyan - ATLAS,J. Tonry,1.1586028309728622,3.0671202081345315,G,-19.98710672621294,546.036086352,0.116991,"['263.807739' '27.516909' 'G' '546.036086352' '0.116991'
 '1.1586028309728622' '3.0671202081345315']",,,,,
2023uan,22:48:17.508,-11:54:42.89,2023-10-04 09:54:44.064,20.24,ABMag,i - P1,D. O. Jones (UC Santa Cruz),1.4322808967983456,3.7217831218214674,G,-18.405739978485673,535.979273493,0.114992,"['342.072571' '-11.912058' 'G' '535.979273493' '0.114992'
 '1.4322808967983456' '3.7217831218214674']",,,,,
2022aeql,02:15:22.230,-05:18:28.73,2022-10-02 08:06:33.696,19.9012,ABMag,r - ZTF,K. De (Caltech) on behalf of ZTF,1.4780684450296064,1.512301386086238,G,-16.720644689715794,211.042021384,0.047533,"['33.843021' '-5.308095' 'G' '211.042021384' '0.047533'
 '1.4780684450296064' '1.512301386086238']",,,,,
2023uaf,00:26:33.041,+00:30:15.86,2023-10-03 11:33:20.736,18.96,ABMag,i - P1,K. C. Chambers,1.490895625886271,2.325873702570623,G,-18.57782010484953,321.783685107,0.071186,"['6.637707' '0.503993' 'G' '321.783685107' '0.071186' '1.490895625886271'
 '2.325873702570623']",,,,,
2023uad,22:29:08.622,-11:49:14.30,2023-10-04 06:56:38.976,18.8,ABMag,w - P1,K. C. Chambers,1.6019491289672543,inf,G,999,0.0,0.0,['337.286' '-11.8202' 'G' '0.0' '0.0' '1.6019491289672543' 'inf'],,,,,
2023uax,20:23:26.185,+16:39:50.77,2023-09-30 03:06:03.001,20.056,ABMag,g - ZTF,A. Munoz-Arancibia,1.6346475875169209,inf,G,999,0.0,0.0,['305.859436' '16.664427' 'G' '0.0' '0.0' '1.6346475875169209' 'inf'],,,,,
2023tzx,22:43:30.315,-14:48:36.15,2023-10-04 07:05:00.960,18.89,ABMag,w - P1,K. C. Chambers,1.676936559786478,3.166986300083787,G,-19.06277342366736,389.542354329,0.085311,"['340.876648' '-14.810376' 'G' '389.542354329' '0.085311'
 '1.676936559786478' '3.166986300083787']",G,-18.53999756490601,306.196,0.0678987039494,"['340.877' '-14.8106' 'G' '306.196' '0.0678987039494' '3.1249747582726983'
 '4.63896283891982']"
2023tzu,22:38:46.203,-02:21:22.93,2023-10-04 06:01:16.896,20.72,ABMag,w - P1,K. C. Chambers,2.3283083334517802,6.7238225120313,G,-18.15500440737671,595.663352529,0.126786,"['339.692352' '-2.356996' 'G' '595.663352529' '0.126786'
 '2.3283083334517802' '6.7238225120313']",,,,,
2023tzn,22:45:46.990,-47:09:23.62,2023-10-02 13:30:43.200,18.63,ABMag,G - Gaia,S.T. Hodgkin,2.7528643874035574,5.0786341661738845,G,-19.271936228157376,380.528549469,0.083447,"['341.444672' '-47.15649' 'G' '380.528549469' '0.083447'
 '2.7528643874035574' '5.0786341661738845']",,,,,
2023tze,21:17:28.595,-07:00:37.55,2023-10-03 19:47:02.976,18.864,ABMag,orange - ATLAS,J. Tonry,2.8185845354187475,5.415092680707452,G,-19.12599981229153,396.278,0.0867008533504,"['319.369' '-7.0112' 'G' '396.278' '0.0867008533504' '2.8185845354187475'
 '5.415092680707452']",,,,,
2023ubm,00:37:27.855,-04:34:16.89,2023-10-03 23:17:55.392,17.977,ABMag,orange - ATLAS,J. Tonry,3.1355575716862103,inf,G,999,0.0,0.0,['9.3669' '-4.57111' 'G' '0.0' '0.0' '3.1355575716862103' 'inf'],,,,,
2023tzq,06:12:22.463,-27:28:07.97,2023-10-03 14:35:36.384,19.51,ABMag,i - P1,K. C. Chambers,3.3149711518255374,4.36679097072513,G,-17.6605389171007,271.711351975,0.060637,"['93.092628' '-27.469213' 'G' '271.711351975' '0.060637'
 '3.3149711518255374' '4.36679097072513']",,,,,
2023ubc,16:28:06.673,+21:34:15.65,2023-10-04 03:11:52.999,19.5589,ABMag,r - ZTF,A. Munoz-Arancibia,4.0115832578814485,3.2218039048738745,G,-16.537142132655973,165.656479101,0.0374665387333,"['247.027' '21.57184' 'G' '165.656479101' '0.0374665387333'
 '4.0115832578814485' '3.2218039048738745']",,,,,
2023uam,05:47:17.073,-23:25:28.79,2023-10-04 14:58:00.768,20.44,ABMag,i - P1,D. O. Jones (UC Santa Cruz),4.962796306677093,12.5455965345922,G,-18.145949996443303,521.422778219,0.11209,"['86.821014' '-23.42329' 'G' '521.422778219' '0.11209' '4.962796306677093'
 '12.5455965345922']",,,,,
