,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023ugj,22:30:09.649,-24:50:56.48,2023-10-06 03:03:35.136,07-Oct-2023,19.006,ABMag,cyan - ATLAS,0.9711539214664523,1.2024173397358764,G,-18.029961477313527,255.38318295,0.057051,"['337.540375' '-24.849243' 'G' '255.38318295' '0.057051'
 '0.9711539214664523' '1.2024173397358764']",G,-18.8740011587374,376.704,0.0826547813274,"['337.541' '-24.84917' 'G' '376.704' '0.0826547813274' '2.653626438935407'
 '4.8463512134894']",J. Tonry
2023uem,20:08:24.466,-25:00:25.76,2023-10-06 01:11:53.952,07-Oct-2023,17.984,ABMag,cyan - ATLAS,1.885398736758462,0.9692423036721262,G,-17.143271412894947,106.036231001,0.02409,"['302.101379' '-25.007275' 'G' '106.036231001' '0.02409'
 '1.885398736758462' '0.9692423036721262']",,,,,,J. Tonry
2023ueh,01:16:38.237,-32:55:39.27,2023-10-06 04:48:59.616,07-Oct-2023,19.133,ABMag,cyan - ATLAS,1.8865330296924812,1.2197469496079083,G,-16.49215230284644,133.361496604,0.03058,"['19.159945' '-32.927563' 'G' '133.361496604' '0.03058'
 '1.8865330296924812' '1.2197469496079083']",,,,,,J. Tonry
2023uga,23:36:13.608,-37:29:00.76,2023-10-06 04:10:07.680,07-Oct-2023,19.119,ABMag,cyan - ATLAS,2.177545891651412,2.078642781168022,G,-17.35218839034558,196.896355742,0.043666,"['354.057281' '-37.483936' 'G' '196.896355742' '0.043666'
 '2.177545891651412' '2.078642781168022']",,,,,,J. Tonry
2023ugm,21:06:12.095,-35:07:38.84,2023-10-06 01:57:19.872,07-Oct-2023,19.312,ABMag,cyan - ATLAS,2.5165017595064287,inf,G,999,0.0,0.0,['316.551' '-35.12795' 'G' '0.0' '0.0' '2.5165017595064287' 'inf'],,,,,,J. Tonry
2023uei,23:17:31.886,-07:51:07.08,2023-10-03 21:29:17.376,07-Oct-2023,18.202,ABMag,orange - ATLAS,3.097720723958634,4.621904594466015,G,-19.23901924233576,307.754100718,0.068228,"['349.383636' '-7.85235' 'G' '307.754100718' '0.068228'
 '3.097720723958634' '4.621904594466015']",,,,,,J. Tonry
2023ugi,02:20:06.646,-35:51:22.16,2023-10-06 04:22:29.856,07-Oct-2023,19.43,ABMag,cyan - ATLAS,3.2960896850344166,inf,G,999,0.0,0.0,['35.0277' '-35.85524' 'G' '0.0' '0.0' '3.2960896850344166' 'inf'],,,,,,J. Tonry
2023uet,23:41:13.666,-17:43:21.73,2023-10-05 08:12:57.312,07-Oct-2023,21.32,ABMag,w - P1,3.773604299922932,inf,G,999,0.0,0.0,['355.308' '-17.72299' 'G' '0.0' '0.0' '3.773604299922932' 'inf'],,,,,,K. C. Chambers
2023ugh,02:31:34.198,-25:10:45.17,2023-10-06 04:23:08.736,07-Oct-2023,19.3,ABMag,cyan - ATLAS,3.7965836579589016,4.297917664189647,G,-17.541451252761444,233.501809561,0.0521058560529,"['37.8915' '-25.17866' 'G' '233.501809561' '0.0521058560529'
 '3.7965836579589016' '4.297917664189647']",,,,,,J. Tonry
2023ueo,23:32:22.890,-23:50:38.85,2023-10-05 08:02:51.648,07-Oct-2023,21.3,ABMag,w - P1,4.225083468660443,inf,G,999,0.0,0.0,['353.096' '-23.8431' 'G' '0.0' '0.0' '4.225083468660443' 'inf'],,,,,,K. C. Chambers
2023ufo*,03:05:08.436,+00:20:26.89,2023-10-06 09:35:57.002,07-Oct-2023,20.0486,ABMag,g - ZTF,4.236554454725778,3.9739035768392093,G,-16.38454832661921,193.477142828,0.0434206717103,"['46.285' '0.34197' 'G' '193.477142828' '0.0434206717103'
 '4.236554454725778' '3.9739035768392093']",,,,,,A. Munoz-Arancibia
2023ueu,00:42:29.922,-02:15:34.37,2023-10-05 09:46:24.672,07-Oct-2023,20.49,ABMag,w - P1,4.494655911362537,7.499515955509465,G,-17.19380958361035,344.161207453,0.07588,"['10.623814' '-2.260452' 'G' '344.161207453' '0.07588' '4.494655911362537'
 '7.499515955509465']",,,,,,K. C. Chambers
