TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023uil,07:02:50.559,-37:47:33.67,2023-09-24 08:17:52.800,08-Oct-2023,18.573,ABMag,orange - ATLAS,0.8474212587644147,0.46552895410212664,G,-16.698362380345017,113.311105339,0.031939,"['105.710365' '-37.792698' 'G' '113.311105339' '0.031939'
 '0.8474212587644147' '0.46552895410212664']",G,-16.6126980688707,108.928021079,0.0248778724389,"['105.71' '-37.7927' 'G' '108.928021079' '0.0248778724389'
 '1.8853692274570462' '0.9956596216737349']",J. Tonry
2023uhf,03:33:36.923,+06:02:42.02,2023-10-06 11:49:33.600,08-Oct-2023,20.23,ABMag,w - P1,1.969432754680832,3.9286626990719133,G,-17.841643599977036,411.461040502,0.089825,"['53.403805' '6.04446' 'G' '411.461040502' '0.089825' '1.969432754680832'
 '3.9286626990719133']",,,,,,K. C. Chambers
2023uiu,01:44:37.820,-21:01:53.83,2023-06-17 09:18:55.296,08-Oct-2023,18.739,ABMag,cyan - ATLAS,1.993250178682544,inf,G,999,0.0,0.0,['26.157' '-21.03172' 'G' '0.0' '0.0' '1.993250178682544' 'inf'],,,,,,J. Tonry
2023uiw,04:29:51.585,-67:19:06.47,2023-08-11 08:49:36.192,08-Oct-2023,18.651,ABMag,orange - ATLAS,2.6637113061288167,4.62599469655375,G,-19.119715548229433,358.21445725,0.078813,"['67.466148' '-67.319038' 'G' '358.21445725' '0.078813'
 '2.6637113061288167' '4.62599469655375']",,,,,,J. Tonry
2023uid,22:15:13.597,-26:31:31.24,2023-10-07 06:34:26.688,08-Oct-2023,21.13,ABMag,w - P1,3.2752510828062373,9.350174582308098,G,-17.720001270941115,588.844,0.125446712723,"['333.807' '-26.5262' 'G' '588.844' '0.125446712723' '3.2752510828062373'
 '9.350174582308098']",,,,,,K. C. Chambers
2023uhn*,22:58:08.529,+31:41:02.83,2023-10-06 05:50:27.168,08-Oct-2023,20.54,ABMag,w - P1,3.5179389527044687,9.162795855170241,G,-18.110824225361753,537.235676116,0.115242,"['344.536652' '31.684355' 'G' '537.235676116' '0.115242'
 '3.5179389527044687' '9.162795855170241']",,,,,,K. C. Chambers
2023uib*,23:34:26.528,-10:10:32.73,2023-10-07 07:40:18.624,08-Oct-2023,20.38,ABMag,w - P1,4.091693500235553,6.046126786781788,G,-17.039996445137252,304.789,0.0676013438007,"['353.611023' '-10.174729' 'G' '304.789' '0.0676013438007'
 '4.091693500235553' '6.046126786781788']",,,,,,K. C. Chambers
2023uip*,01:11:33.195,+14:09:59.22,2023-10-07 07:48:00.000,08-Oct-2023,20.34,ABMag,w - P1,4.5613215633669375,13.572678229759756,G,-18.599999981727105,613.762,0.130330055165,"['17.8892' '14.16738' 'G' '613.762' '0.130330055165' '4.5613215633669375'
 '13.572678229759756']",,,,,,K. C. Chambers
2023uht*,10:05:54.018,+37:04:51.73,2023-10-07 14:47:28.320,08-Oct-2023,18.457,ABMag,orange - ATLAS,5.681708589852997,4.245436736597258,G,-17.482342757299328,154.123389485,0.0348736674368,"['151.477' '37.0814' 'G' '154.123389485' '0.0348736674368'
 '5.681708589852997' '4.245436736597258']",,,,,,J. Tonry
2023uha*,03:33:15.427,+00:01:49.85,2023-10-06 12:22:07.968,08-Oct-2023,20.38,ABMag,w - P1,6.499485967924804,11.924889237328351,G,-17.510002382857838,378.443,0.0830151415076,"['53.3157' '0.0294' 'G' '378.443' '0.0830151415076' '6.499485967924804'
 '11.924889237328351']",,,,,,K. C. Chambers
2023uhq,17:46:41.614,+41:40:25.49,2023-10-06 05:08:41.568,08-Oct-2023,20.21,ABMag,z - P1,6.9889156286979075,7.544086565997387,G,-16.528109993543417,222.649640742,0.037271,"['266.671326' '41.672569' 'G' '222.649640742' '0.037271'
 '6.9889156286979075' '7.544086565997387']",,,,,,K. C. Chambers
2023ugv,09:44:31.690,-12:18:25.13,2023-10-06 05:25:26.400,08-Oct-2023,18.54,ABMag,G - Gaia,7.022732270202512,6.599654258046649,G,-17.897201027868938,193.838573723,0.043714,"['146.133972' '-12.306482' 'G' '193.838573723' '0.043714'
 '7.022732270202512' '6.599654258046649']",,,,,,S.T. Hodgkin
2023uhm,22:56:15.777,-17:51:38.02,2023-10-06 06:37:54.048,08-Oct-2023,20.87,ABMag,w - P1,9.647939717749715,13.804146567740105,G,-16.480000569011633,295.121,0.0655542627771,"['344.064' '-17.86267' 'G' '295.121' '0.0655542627771' '9.647939717749715'
 '13.804146567740105']",,,,,,K. C. Chambers
2023uic,21:15:07.663,-27:49:45.46,2023-10-07 05:33:39.744,08-Oct-2023,20.19,ABMag,w - P1,10.236532089643973,15.475867779236415,G,-17.27963645805153,311.836747187,0.06909,"['318.77887' '-27.828419' 'G' '311.836747187' '0.06909'
 '10.236532089643973' '15.475867779236415']",,,,,,K. C. Chambers
2023uii*,03:33:41.669,-00:26:54.21,2023-10-06 12:05:17.952,08-Oct-2023,20.6,ABMag,w - P1,13.502047263208937,83.94102987795368,G,-19.939999013341975,1282.33,0.252617736309,"['53.42' '-0.44937' 'G' '1282.33' '0.252617736309' '13.502047263208937'
 '83.94102987795368']",G,-19.939999013341975,1282.33,0.252617736309,"['53.4279' '-0.46105' 'G' '1282.33' '0.252617736309' '48.103263682147954'
 '299.05372176693174']",K. C. Chambers
2023ugn,02:25:46.155,+27:12:56.84,2023-10-06 12:59:02.400,08-Oct-2023,20.29,ABMag,w - P1,20.496519213685463,14.518041262334934,G,-15.533265228752335,146.100951975,0.0143329271665,"['36.440044' '27.221113' 'G' '146.100951975' '0.0143329271665'
 '20.496519213685463' '14.518041262334934']",,,,,,K. C. Chambers
2023uhc,01:32:38.284,-11:54:36.91,2023-10-06 09:35:30.624,08-Oct-2023,20.11,ABMag,w - P1,29.524287429084307,56.953622851240986,G,-17.888835319348907,397.893700931,0.087034,"['23.157812' '-11.902223' 'G' '397.893700931' '0.087034'
 '29.524287429084307' '56.953622851240986']",,,,,,K. C. Chambers
2023uhl,22:07:14.887,-24:24:59.98,2023-10-06 06:27:42.336,08-Oct-2023,21.5,ABMag,w - P1,29.558017353427527,146.6387994255524,G,-18.549993650240303,1023.29,0.207015583508,"['331.82' '-24.4205' 'G' '1023.29' '0.207015583508' '29.558017353427527'
 '146.6387994255524']",,,,,,K. C. Chambers
2023uja,03:24:47.977,+26:29:48.31,2023-10-07 14:11:50.784,08-Oct-2023,19.69,ABMag,w - P1,45.2728258907394,inf,G,999,0.0,0.0,['51.2073' '26.48606' 'G' '0.0' '0.0' '45.2728258907394' 'inf'],G,-17.703454363276354,301.086215364,0.066818,"['51.207359' '26.486069' 'G' '301.086215364' '0.066818'
 '45.345687266919676' '66.19142442760459']",K. C. Chambers
2023uig*,00:34:32.973,+30:54:22.46,2023-10-07 06:44:57.408,08-Oct-2023,21.18,ABMag,w - P1,47.84440193858204,427.96383868350915,G,-20.15000539134413,1845.02,0.345835732918,"['8.63985' '30.91936' 'G' '1845.02' '0.345835732918' '47.84440193858204'
 '427.96383868350915']",,,,,,K. C. Chambers
