TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023zrz,09:39:39.575,-23:21:08.23,2023-12-09 12:05:45.600,13-Dec-2023,19.27,ABMag,g - ZTF,0.08283744109682657,0.13384923731147275,G,-18.34407179761286,333.283919101,0.073602,"['144.914871' '-23.352283' 'G' '333.283919101' '0.073602'
 '0.08283744109682657' '0.13384923731147275']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zqy*,11:15:21.847,+31:31:24.92,2023-12-06 14:33:30.240,13-Dec-2023,18.744,ABMag,orange - ATLAS,0.14337041113827584,0.08583660522591274,G,-16.714190678995145,123.491804239,0.0273518836759,"['168.841' '31.52362' 'G' '123.491804239' '0.0273518836759'
 '0.14337041113827584' '0.08583660522591274']",,,,,,J. Tonry
2023zrx,04:08:22.448,+34:07:11.90,2023-12-12 04:48:00.000,13-Dec-2023,19.64,ABMag,r - ZTF,0.20843849322942246,0.3889730494523521,G,-18.286833598930528,384.916669846,0.084355,"['62.093544' '34.119915' 'G' '384.916669846' '0.084355'
 '0.20843849322942246' '0.3889730494523521']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsl,03:03:43.372,-15:29:04.27,2023-10-11 09:28:22.944,13-Dec-2023,19.4054,ABMag,g - ZTF,0.38064151316403894,0.07082199059807541,G,-13.514985556785483,38.3775380858,0.006991,"['45.930733' '-15.484624' 'G' '38.3775380858' '0.006991'
 '0.38064151316403894' '0.07082199059807541']",,,,,,K. De (Caltech) on behalf of ZTF
2023zpg,03:20:55.481,+08:00:17.94,2023-12-10 05:03:50.400,13-Dec-2023,18.74,ABMag,r - ZTF,0.3955436919735991,0.5656285112844051,G,-18.60880981413924,294.959210961,0.06552,"['50.231064' '8.005013' 'G' '294.959210961' '0.06552' '0.3955436919735991'
 '0.5656285112844051']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zor,09:37:35.890,-08:52:49.69,2023-12-10 15:05:26.592,13-Dec-2023,18.245,ABMag,cyan - ATLAS,0.46683530527610434,0.5335135081756236,G,-18.61703430084334,235.725659887,0.053044,"['144.399536' '-8.880599' 'G' '235.725659887' '0.053044'
 '0.46683530527610434' '0.5335135081756236']",,,,,,J. Tonry
2023zrw,05:50:53.168,-18:50:09.22,2023-12-10 08:13:55.200,13-Dec-2023,20.01,ABMag,g - ZTF,0.5389937702251469,1.6391330885568598,G,-18.97727802451048,627.271570817,0.132966,"['87.721687' '-18.83593' 'G' '627.271570817' '0.132966'
 '0.5389937702251469' '1.6391330885568598']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsa,09:22:13.086,-20:00:30.44,2023-12-09 09:34:33.600,13-Dec-2023,19.55,ABMag,r - ZTF,0.5619601453124033,0.6153450589174569,G,-17.219191673547794,225.85948561,0.050886,"['140.554611' '-20.008322' 'G' '225.85948561' '0.050886'
 '0.5619601453124033' '0.6153450589174569']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsm*,14:45:10.781,+03:19:58.05,2023-12-09 13:25:05.376,13-Dec-2023,18.7899,ABMag,r - ZTF,0.5865108845890684,0.5961325777170337,G,-17.817559564590187,209.648574086,0.047424,"['221.294907' '3.332954' 'G' '209.648574086' '0.047424'
 '0.5865108845890684' '0.5961325777170337']",,,,,,K. De (Caltech) on behalf of ZTF
2023zrq,10:35:57.937,-25:56:19.18,2023-12-12 12:02:52.800,13-Dec-2023,20.16,ABMag,g - ZTF,0.8244455941087147,1.8188418314421837,G,-18.130290328483415,455.04889667,0.098725,"['158.991333' '-25.938881' 'G' '455.04889667' '0.098725'
 '0.8244455941087147' '1.8188418314421837']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsk,23:32:24.945,-25:28:47.75,2023-11-20 02:34:04.800,13-Dec-2023,19.06,ABMag,g - ZTF,1.0280138623912027,3.4315268941143993,G,-20.12956784581453,688.515258287,0.144816,"['353.104248' '-25.479876' 'G' '688.515258287' '0.144816'
 '1.0280138623912027' '3.4315268941143993']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zsu,04:37:02.427,-45:33:15.94,2023-12-09 03:47:11.328,13-Dec-2023,19.751,ABMag,orange - ATLAS,1.0943717241766413,inf,G,999,0.0,0.0,['69.2604' '-45.5542' 'G' '0.0' '0.0' '1.0943717241766413' 'inf'],,,,,,J. Tonry
2023zoo*,12:41:51.983,+18:32:29.61,2023-12-09 14:28:26.976,13-Dec-2023,19.109,ABMag,cyan - ATLAS,1.391958546124034,inf,G,999,0.0,0.0,['190.467' '18.54161' 'G' '0.0' '0.0' '1.391958546124034' 'inf'],,,,,,J. Tonry
2023ztq,05:58:14.728,-30:30:00.02,2023-12-11 05:38:23.136,13-Dec-2023,19.658,ABMag,orange - ATLAS,1.4905696132534363,inf,G,999,0.0,0.0,['89.5611' '-30.50035' 'G' '0.0' '0.0' '1.4905696132534363' 'inf'],,,,,,J. Tonry
2023zpn,11:01:46.492,-03:21:10.89,2023-12-09 10:29:12.998,13-Dec-2023,19.8283,ABMag,g - ZTF,1.5510452298088033,4.9226528924931205,G,-19.25169942260701,654.636,0.13828065914,"['165.444' '-3.3527' 'G' '654.636' '0.13828065914' '1.5510452298088033'
 '4.9226528924931205']",,,,,,A. Munoz-Arancibia
2023zsc,09:09:32.786,-14:45:05.76,2023-12-10 10:26:24.000,13-Dec-2023,19.2,ABMag,r - ZTF,1.5569082890712322,3.714655421788989,G,-19.2604031816872,492.130902142,0.106219,"['137.386795' '-14.751993' 'G' '492.130902142' '0.106219'
 '1.5569082890712322' '3.714655421788989']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zti,02:26:42.437,-81:00:53.83,2023-12-09 01:07:54.624,13-Dec-2023,19.813,ABMag,orange - ATLAS,1.5938230703764948,2.803025847217558,G,-17.98506063388616,362.75393049,0.079758,"['36.675453' '-81.014565' 'G' '362.75393049' '0.079758'
 '1.5938230703764948' '2.803025847217558']",,,,,,J. Tonry
2023zqk,10:31:02.566,-24:28:53.91,2023-12-09 12:05:45.600,13-Dec-2023,19.52,ABMag,g - ZTF,1.6232711810240292,5.544354572324239,G,-19.719425256158157,704.506575966,0.147884,"['157.760254' '-24.481853' 'G' '704.506575966' '0.147884'
 '1.6232711810240292' '5.544354572324239']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zql*,13:12:30.412,+05:20:27.17,2023-12-09 12:11:31.200,13-Dec-2023,19.67,ABMag,g - ZTF,1.7499996776680704,2.040521599353998,G,-17.235641803578027,240.507354204,0.053882,"['198.12674' '5.340395' 'G' '240.507354204' '0.053882'
 '1.7499996776680704' '2.040521599353998']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zrr,09:08:40.175,-06:53:09.45,2023-12-12 10:23:31.200,13-Dec-2023,19.93,ABMag,r - ZTF,1.9651507924134053,7.111351743394133,G,-19.43490706353257,746.416811964,0.155875,"['137.166977' '-6.886312' 'G' '746.416811964' '0.155875'
 '1.9651507924134053' '7.111351743394133']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zqo*,12:46:26.582,+30:27:31.43,2023-12-08 15:13:16.608,13-Dec-2023,19.167,ABMag,orange - ATLAS,1.985106996542023,0.5679160331987902,G,-14.687626714175195,59.0099630685,0.0156697878349,"['191.611' '30.45822' 'G' '59.0099630685' '0.0156697878349'
 '1.985106996542023' '0.5679160331987902']",,,,,,J. Tonry
