TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023xvz*,11:22:46.079,+31:11:03.34,2023-10-17 12:24:28.800,16-Nov-2023,18.83,ABMag,r - ZTF,0.013441561387740617,0.03090470480616758,G,-19.5500000674908,474.242,0.102612561306,"['170.692' '31.18426' 'G' '474.242' '0.102612561306'
 '0.013441561387740617' '0.03090470480616758']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mlg*,09:38:36.345,+37:40:02.24,2018-11-07 12:25:55.200,16-Nov-2023,18.73,ABMag,r - ZTF,0.22611491834935757,0.4686161129489052,G,-19.42456566897425,427.477374931,0.093107,"['144.651382' '37.667244' 'G' '427.477374931' '0.093107'
 '0.22611491834935757' '0.4686161129489052']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xvw*,11:29:34.066,+35:42:48.26,2023-10-17 12:28:48.000,16-Nov-2023,18.16,ABMag,r - ZTF,0.44958793911185774,0.8248785216296753,G,-19.730002382857837,378.443,0.0830151415076,"['172.392' '35.71329' 'G' '378.443' '0.0830151415076'
 '0.44958793911185774' '0.8248785216296753']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mlh*,11:29:34.333,+21:43:32.62,2018-04-10 06:34:33.600,16-Nov-2023,18.88,ABMag,r - ZTF,0.69051711107043,0.47029589944434314,G,-16.858109401869964,140.482387794,0.031408,"['172.392853' '21.725771' 'G' '140.482387794' '0.031408'
 '0.69051711107043' '0.47029589944434314']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xwb*,12:31:59.391,+67:31:32.92,2023-11-07 12:36:00.000,16-Nov-2023,19.97,ABMag,g - ZTF,0.9372553232674155,2.2051250858418907,G,-18.46000223657392,485.289,0.104841502421,"['187.997' '67.52562' 'G' '485.289' '0.104841502421' '0.9372553232674155'
 '2.2051250858418907']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xvm*,11:47:51.005,+52:14:33.26,2023-11-12 11:46:28.004,16-Nov-2023,19.3478,ABMag,g - ZTF,1.1633908245817535,1.8762948403708668,G,-18.26220291592135,332.66,0.0734710567355,"['176.962' '52.24252' 'G' '332.66' '0.0734710567355' '1.1633908245817535'
 '1.8762948403708668']",A. Munoz-Arancibia
2023xwa*,11:53:48.991,+34:12:40.63,2023-10-17 12:36:00.000,16-Nov-2023,17.41,ABMag,r - ZTF,1.1826662614992658,1.9254255021897757,G,-20.220448226233028,335.806922947,0.074131,"['178.453735' '34.211327' 'G' '335.806922947' '0.074131'
 '1.1826662614992658' '1.9254255021897757']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xwc*,10:01:24.881,+01:00:30.15,2023-11-13 11:26:52.800,16-Nov-2023,19.51,ABMag,g - ZTF,1.3561264169860432,2.654467156866084,G,-18.52051156735161,403.74049716,0.088238,"['150.35376' '1.008009' 'G' '403.74049716' '0.088238' '1.3561264169860432'
 '2.654467156866084']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xvo*,11:20:24.288,+28:17:55.57,2023-11-13 12:45:18.144,16-Nov-2023,19.3039,ABMag,r - ZTF,2.9226032960442683,2.5668622169855855,G,-16.98638910425757,181.158126584,0.040994,"['170.101685' '28.298079' 'G' '181.158126584' '0.040994'
 '2.9226032960442683' '2.5668622169855855']",K. De (Caltech) on behalf of ZTF
2023xvl*,13:06:06.875,+59:13:05.57,2023-11-15 12:20:15.000,16-Nov-2023,18.8482,ABMag,r - ZTF,3.333589714702526,2.426390143739991,G,-17.034168094186818,150.132120542,0.03359,"['196.529739' '59.217476' 'G' '150.132120542' '0.03359'
 '3.333589714702526' '2.426390143739991']",A. Munoz-Arancibia
2023xve,17:55:38.997,+68:34:56.08,2023-11-11 02:49:55.200,16-Nov-2023,20.28,ABMag,r - ZTF,4.517929947565579,6.693848534373589,G,-17.145807607852888,305.605750211,0.067774,"['268.90976' '68.583008' 'G' '305.605750211' '0.067774'
 '4.517929947565579' '6.693848534373589']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
