TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023vif,19:22:13.334,+44:19:50.65,2023-10-16 03:45:44.997,19-Oct-2023,19.8375,ABMag,r - ZTF,0.4929374271707882,0.5993330272559504,G,-17.159007750250247,250.784996084,0.056093,"['290.55545' '44.330849' 'G' '250.784996084' '0.056093'
 '0.4929374271707882' '0.5993330272559504']",A. Munoz-Arancibia
2023vih,07:05:52.533,+26:30:32.34,2023-10-14 10:48:10.999,19-Oct-2023,19.8924,ABMag,g - ZTF,0.8237610559051046,inf,G,999,0.0,0.0,['106.468636' '26.508942' 'G' '0.0' '0.0' '0.8237610559051046' 'inf'],A. Munoz-Arancibia
2018mkr,21:28:07.556,-01:35:42.10,2018-11-13 01:45:02.016,19-Oct-2023,18.2656,ABMag,r - ZTF,1.574965263628153,1.183973829566032,G,-17.686881281861517,155.058742064,0.035448,"['322.03186' '-1.594805' 'G' '155.058742064' '0.035448'
 '1.574965263628153' '1.183973829566032']",K. De (Caltech) on behalf of ZTF
2023vgo*,10:12:19.765,+22:36:32.79,2023-10-16 14:40:38.784,19-Oct-2023,19.72,ABMag,w - P1,1.6101636009485552,1.4369159587240836,G,-16.604932482603125,184.07147674,0.0413404106702,"['153.081985' '22.609398' 'G' '184.07147674' '0.0413404106702'
 '1.6101636009485552' '1.4369159587240836']",K. C. Chambers
2023vhk*,10:04:56.310,+27:28:53.94,2023-10-18 14:23:28.896,19-Oct-2023,17.623,ABMag,cyan - ATLAS,1.6370276683180678,1.8337941434397838,G,-19.195598474265008,231.057300387,0.0521058560529,"['151.235' '27.48134' 'G' '231.057300387' '0.0521058560529'
 '1.6370276683180678' '1.8337941434397838']",J. Tonry
2023vim*,08:27:39.966,+19:21:13.32,2023-10-15 14:04:51.744,19-Oct-2023,20.22,ABMag,w - P1,1.9660551887080877,5.484924056538714,G,-18.580000236463647,575.44,0.122808271404,"['126.916' '19.35393' 'G' '575.44' '0.122808271404' '1.9660551887080877'
 '5.484924056538714']",K. C. Chambers
2023vht,01:17:11.932,-18:40:18.22,2023-10-18 08:01:39.996,19-Oct-2023,19.9628,ABMag,g - ZTF,2.368131157441844,4.658571919318349,G,-18.078560929405647,405.762759937,0.088654,"['19.300394' '-18.671583' 'G' '405.762759937' '0.088654'
 '2.368131157441844' '4.658571919318349']",A. Munoz-Arancibia
2023vgy*,07:45:35.804,+32:11:01.18,2023-10-16 13:39:25.920,19-Oct-2023,20.45,ABMag,w - P1,2.5788192923461195,3.8782337418940926,G,-17.008191015908128,310.197435599,0.068744,"['116.399162' '32.182945' 'G' '310.197435599' '0.068744'
 '2.5788192923461195' '3.8782337418940926']",K. C. Chambers
2023vhr*,10:33:51.656,+17:22:58.35,2023-10-18 12:26:30.002,19-Oct-2023,19.5056,ABMag,r - ZTF,2.98648472391993,5.354697646068098,G,-18.33439894440715,369.828,0.0812282506141,"['158.466019' '17.38323' 'G' '369.828' '0.0812282506141'
 '2.98648472391993' '5.354697646068098']",A. Munoz-Arancibia
2023vgj,09:13:32.970,-03:23:28.57,2023-10-14 09:36:00.000,19-Oct-2023,18.43,ABMag,G - Gaia,3.0731130048540374,4.189160193074807,G,-18.81486785382591,281.17297158,0.062783,"['138.38652' '-3.391254' 'G' '281.17297158' '0.062783'
 '3.0731130048540374' '4.189160193074807']",S.T. Hodgkin
2023vik,09:56:56.734,+14:15:53.88,2023-10-16 14:44:21.696,19-Oct-2023,21.03,ABMag,w - P1,3.5772820991098415,5.534193596202803,G,-16.489631456757223,319.099623187,0.070621,"['149.237091' '14.26424' 'G' '319.099623187' '0.070621'
 '3.5772820991098415' '5.534193596202803']",K. C. Chambers
2023vhu,22:36:51.340,-13:00:32.50,2023-10-14 04:34:39.003,19-Oct-2023,20.6037,ABMag,g - ZTF,4.202012835132777,7.090963106854562,G,-17.10466492179977,348.075122264,0.076698,"['339.215088' '-13.008783' 'G' '348.075122264' '0.076698'
 '4.202012835132777' '7.090963106854562']",A. Munoz-Arancibia
