TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023tpl,07:08:41.680,+54:46:35.09,2023-09-25 12:55:18.624,2023-09-26,17.692,ABMag,cyan - ATLAS,0.43831485259584485,0.31446990162064103,G,-18.159090153470018,147.985113763,0.032767,"['107.173645' '54.776535' 'G' '147.985113763' '0.032767'
 '0.43831485259584485' '0.31446990162064103']",,,,,,J. Tonry
2023tql*,00:13:48.317,+22:32:31.08,2023-09-19 09:42:50.996,2023-09-26,19.926,ABMag,g - ZTF,0.8043259709184643,2.1464339118841034,G,-18.777552812531223,550.440730457,0.117865,"['3.451457' '22.541782' 'G' '550.440730457' '0.117865'
 '0.8043259709184643' '2.1464339118841034']",,,,,,A. Munoz-Arancibia
2023tou,22:18:20.254,-17:46:08.13,2023-09-24 04:40:35.040,2023-09-26,21.6102,ABMag,g - Sloan,1.345748963355603,inf,G,999,0.0,0.0,['334.584' '-17.7689' 'G' '0.0' '0.0' '1.345748963355603' 'inf'],,,,,,Tomás Cabrera (CMU)
2023tot,22:27:53.070,-30:13:34.75,2023-09-24 03:42:57.312,2023-09-26,18.6378,ABMag,g - Sloan,1.6416675891966253,1.5349751811266328,G,-17.788406334054542,192.859602279,0.042698,"['336.971069' '-30.225866' 'G' '192.859602279' '0.042698'
 '1.6416675891966253' '1.5349751811266328']",,,,,,Tomás Cabrera (CMU)
2023tpw,07:05:26.262,+51:24:01.45,2023-09-25 10:22:27.998,2023-09-26,20.5138,ABMag,g - ZTF,2.1484317784425,2.944082641839248,G,-16.74246781137258,282.652975902,0.062648,"['106.358788' '51.400848' 'G' '282.652975902' '0.062648' '2.1484317784425'
 '2.944082641839248']",,,,,,A. Munoz-Arancibia
2023tog,22:04:20.455,-24:41:16.83,2023-09-24 04:03:06.912,2023-09-26,21.3456,ABMag,g - Sloan,2.6018057564502377,3.6715560882400142,G,-15.974402149997918,291.072,0.0646953623477,"['331.086' '-24.68783' 'G' '291.072' '0.0646953623477'
 '2.6018057564502377' '3.6715560882400142']",,,,,,Tomás Cabrera (CMU)
2023tqr*,07:54:40.820,+23:03:23.65,2023-09-25 14:42:31.968,2023-09-26,19.8,ABMag,w - P1,2.695496323156685,5.79946329133086,G,-18.435870966317527,443.786608745,0.096435,"['118.669533' '23.057121' 'G' '443.786608745' '0.096435'
 '2.695496323156685' '5.79946329133086']",,,,,,K. C. Chambers
2023toa,22:53:59.735,-28:34:14.88,2023-09-24 05:26:56.256,2023-09-26,21.6926,ABMag,g - Sloan,2.9223626085977883,11.410606568636759,G,-17.837398810432695,805.378,0.1669992235,"['343.498' '-28.571' 'G' '805.378' '0.1669992235' '2.9223626085977883'
 '11.410606568636759']",,,,,,Tomás Cabrera (CMU)
2023tqo*,10:16:19.550,+35:59:26.80,2023-09-25 22:55:17.184,2023-09-26,16.5,VegaMag,Clear - ,3.2747508877844815,3.475260544721853,G,-20.201171171981052,218.894189969,0.0494033647017,"['154.080353' '35.990944' 'G' '218.894189969' '0.0494033647017'
 '3.2747508877844815' '3.475260544721853']",,,,,,Mi Zhang
2023tpx,06:53:29.005,+27:24:49.58,2023-09-25 10:25:11.001,2023-09-26,19.4607,ABMag,g - ZTF,3.730357600015088,inf,G,999,0.0,0.0,['103.372' '27.41397' 'G' '0.0' '0.0' '3.730357600015088' 'inf'],G,-17.0861605785319,203.878822052,0.045712,"['103.372353' '27.413992' 'G' '203.878822052' '0.045712'
 '4.854778654410396' '4.79862062448631']",A. Munoz-Arancibia
2023tqp,04:25:59.365,-09:11:18.74,2023-09-25 14:00:21.312,2023-09-26,20.61,ABMag,w - P1,4.800060671042149,8.047498998399465,G,-17.084196688770618,345.811425203,0.076225,"['66.496094' '-9.188059' 'G' '345.811425203' '0.076225'
 '4.800060671042149' '8.047498998399465']",,,,,,K. C. Chambers
