TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023aapc*,09:37:12.320,+50:08:52.04,2023-12-17 13:29:16.800,2023-12-23,17.06,ABMag,G - Gaia,0.10858838172835918,0.7455651021672944,Q,-23.69563671935654,1416.20898002,0.275461643934,"['144.301344906' '50.1478181265' 'Q' '1416.20898002' '0.275461643934'
 '0.10858838172835918' '0.7455651021672944']",S.T. Hodgkin
2023aard,11:55:11.030,-31:27:12.46,2023-11-29 20:48:28.800,2023-12-23,19.64,ABMag,G - Gaia,1.3062824094818508,inf,G,999,0.0,0.0,['178.796' '-31.4531' 'G' '0.0' '0.0' '1.3062824094818508' 'inf'],S.T. Hodgkin
2023aaqp*,22:03:33.935,+13:07:09.97,2023-10-15 05:29:23.136,2023-12-23,21.62,ABMag,w - P1,1.7282673532953285,12.11116335693482,G,-19.180000344406505,1445.44,0.280389620195,"['330.891' '13.11915' 'G' '1445.44' '0.280389620195' '1.7282673532953285'
 '12.11116335693482']",K. C. Chambers
2023aarc,12:25:18.650,-44:55:09.95,2023-12-19 09:04:19.200,2023-12-23,18.79,ABMag,G - Gaia,1.9883085427085112,2.130147307982623,G,-17.931754961833846,220.97899412,0.049781,"['186.327255' '-44.91988' 'G' '220.97899412' '0.049781'
 '1.9883085427085112' '2.130147307982623']",S.T. Hodgkin
2023aaqg,18:38:08.010,+47:50:54.71,2023-10-23 05:12:14.976,2023-12-23,20,ABMag,w - P1,2.3376828793417395,5.292987418813187,G,-18.346701993558803,467.025289917,0.101153,"['279.532684' '47.848076' 'G' '467.025289917' '0.101153'
 '2.3376828793417395' '5.292987418813187']",K. C. Chambers
2023aapx,07:30:58.861,-51:51:01.86,2023-12-22 13:47:06.432,2023-12-23,17.83,ABMag,L - GOTO,2.663880511698662,2.275882552719224,G,-18.400301194882346,176.22204589,0.036573,"['112.746452' '-51.850525' 'G' '176.22204589' '0.036573'
 '2.663880511698662' '2.275882552719224']",K. Ulaczyk
2023aape,12:49:36.440,-45:31:46.06,2023-12-18 09:04:19.200,2023-12-23,17.71,ABMag,G - Gaia,2.8767982566645003,0.7017100799934083,G,-15.798367207389177,50.312215449,0.023975,"['192.402954' '-45.529312' 'G' '50.312215449' '0.023975'
 '2.8767982566645003' '0.7017100799934083']",S.T. Hodgkin
2023aarg,12:48:25.369,-21:50:46.43,2023-12-19 07:48:38.016,2023-12-23,18.632,ABMag,orange - ATLAS,3.2890983989546476,3.6786835018662263,G,-18.18320345727137,230.696333076,0.051886,"['192.10585' '-21.845327' 'G' '230.696333076' '0.051886'
 '3.2890983989546476' '3.6786835018662263']",J. Tonry
2023aapn,23:15:17.972,+17:49:35.18,2023-10-05 06:47:25.152,2023-12-23,21.68,ABMag,w - P1,3.4525726963865506,25.218458954529023,G,-19.21000422850024,1506.61,0.290635945318,"['348.824' '17.8269' 'G' '1506.61' '0.290635945318' '3.4525726963865506'
 '25.218458954529023']",K. C. Chambers
2023aart,00:08:00.458,-15:32:27.62,2023-12-07 05:07:24.672,2023-12-23,19.75,ABMag,w - P1,3.8256182492900948,9.88432274652319,G,-18.883352102005183,532.930309134,0.114385,"['2.002959' '-15.541329' 'G' '532.930309134' '0.114385'
 '3.8256182492900948' '9.88432274652319']",K. C. Chambers
2023aapm,03:49:22.144,-31:58:06.93,2023-12-17 10:51:19.584,2023-12-23,20.4,ABMag,L - GOTO,4.719719931527386,inf,G,999,0.0,0.0,['57.3415' '-31.96973' 'G' '0.0' '0.0' '4.719719931527386' 'inf'],K. Ulaczyk
