TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2020afhd,03:13:35.667,-02:09:06.21,2020-10-20 09:46:04.800,2024-01-14,19.99,ABMag,g - ZTF,0.4093432771407174,0.3223946230594355,G,-16.063626305103536,162.452074275,0.036176,"['48.398651' '-2.151832' 'G' '162.452074275' '0.036176'
 '0.4093432771407174' '0.3223946230594355']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2023aclh,15:59:03.758,+45:01:13.67,2023-12-17 15:18:17.280,2024-01-14,18.88,ABMag,cyan - ATLAS,0.8697088988238884,1.8320973922705146,G,-19.30999887969838,434.51,0.0945437272719,"['239.766' '45.02047' 'G' '434.51' '0.0945437272719' '0.8697088988238884'
 '1.8320973922705146']",J. Tonry,Yes
2023aclj,09:52:33.036,+00:59:03.19,2023-01-24 08:29:45.600,2024-01-14,19.63,ABMag,g - ZTF,1.167788602062553,1.3649147973417184,G,-17.280832215721095,241.082920075,0.054197,"['148.13797' '0.984166' 'G' '241.082920075' '0.054197' '1.167788602062553'
 '1.3649147973417184']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024yd,11:13:23.462,+25:30:14.25,2024-01-06 13:04:03.936,2024-01-14,19.96,ABMag,w - P1,2.738028494570314,2.888173514317606,G,-16.728052253434107,217.575730684,0.0491843345922,"['168.347' '25.50429' 'G' '217.575730684' '0.0491843345922'
 '2.738028494570314' '2.888173514317606']",K. C. Chambers,Yes
2024xt,11:14:56.009,+50:20:07.42,2024-01-13 10:42:43.776,2024-01-14,18.4561,ABMag,g - ZTF,2.9917969733167937,2.4794140204778436,G,-17.708110337027584,170.939357554,0.038304,"['168.734467' '50.334946' 'G' '170.939357554' '0.038304'
 '2.9917969733167937' '2.4794140204778436']",K. De (Caltech) on behalf of ZTF,Yes
2024xx,09:09:53.288,+35:42:19.77,2024-01-13 07:48:00.000,2024-01-14,19.59,ABMag,g - ZTF,3.3702011633543743,3.5703777143311837,G,-17.107417360281797,218.51611574,0.049249,"['137.47113' '35.70491' 'G' '218.51611574' '0.049249' '3.3702011633543743'
 '3.5703777143311837']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,Yes
2024yr,15:59:35.119,-13:09:12.49,2024-01-13 15:20:00.960,2024-01-14,17.818,ABMag,orange - ATLAS,3.9470357776360867,inf,G,999,0.0,0.0,['239.897' '-13.15435' 'G' '0.0' '0.0' '3.9470357776360867' 'inf'],J. Tonry,No
2024yg,05:06:04.646,-28:28:50.96,2024-01-13 02:57:15.840,2024-01-14,19.029,ABMag,orange - ATLAS,4.332917516103675,inf,G,999,0.0,0.0,['76.5185' '-28.48176' 'G' '0.0' '0.0' '4.332917516103675' 'inf'],J. Tonry,No
2024za,13:58:42.157,+27:57:33.86,2024-01-07 14:28:33.888,2024-01-14,21.29,ABMag,w - P1,4.343003916853193,7.895235437103221,G,-16.579999986996384,374.973,0.0822958911479,"['209.677' '27.9592' 'G' '374.973' '0.0822958911479' '4.343003916853193'
 '7.895235437103221']",K. C. Chambers,No
2024yk,11:16:59.494,-01:43:14.31,2024-01-05 09:14:24.000,2024-01-14,19.48,ABMag,g - ZTF,5.347530981358105,6.215195966896006,G,-17.41863325221068,239.732354317,0.0539861969931,"['169.247' '-1.72183' 'G' '239.732354317' '0.0539861969931'
 '5.347530981358105' '6.215195966896006']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
2024xy,09:32:37.534,+57:21:52.35,2024-01-06 09:28:48.000,2024-01-14,20.07,ABMag,r - ZTF,7.087526600418941,20.140462844282197,G,-18.76999939052301,586.138,0.124914782457,"['143.153' '57.36527' 'G' '586.138' '0.124914782457' '7.087526600418941'
 '20.140462844282197']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration,No
