TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024btu,14:27:06.295,+26:47:11.82,2024-02-05 14:01:07.104,2024-02-07,20.37,ABMag,w - P1,0.6580233739403807,2.4311747791714544,G,-19.039999971433534,762.079,0.158843239422,"['216.776138' '26.786453' 'G' '762.079' '0.158843239422'
 '0.6580233739403807' '2.4311747791714544']",,,,,,K. C. Chambers,Yes
2024bus,12:53:03.019,+45:00:45.93,2024-02-03 13:37:28.416,2024-02-07,18.61,ABMag,w - P1,1.5950648850019766,2.718646099591858,G,-19.1199972790009,351.56,0.0774255687128,"['193.263' '45.01243' 'G' '351.56' '0.0774255687128' '1.5950648850019766'
 '2.718646099591858']",G,-18.591409175197548,275.601663782,0.061404,"['193.263351' '45.012348' 'G' '275.601663782' '0.061404'
 '2.4577911380501827' '3.28398886462822']",K. C. Chambers,Yes
2024buq,11:16:37.548,-04:08:05.55,2024-02-04 12:36:38.880,2024-02-07,20.75,ABMag,w - P1,2.0601069722952716,4.9826939721842605,G,-17.739997878253362,498.884,0.107576333788,"['169.156' '-4.13452' 'G' '498.884' '0.107576333788' '2.0601069722952716'
 '4.9826939721842605']",,,,,,K. C. Chambers,No
2024bue,04:39:01.196,-02:31:37.04,2024-02-06 06:13:31.296,2024-02-07,19.86,ABMag,w - P1,2.8614418327734006,inf,G,999,0.0,0.0,['69.7555' '-2.52756' 'G' '0.0' '0.0' '2.8614418327734006' 'inf'],,,,,,K. C. Chambers,No
2024bui,04:31:12.998,-00:12:36.85,2024-02-06 06:12:31.680,2024-02-07,19.08,ABMag,w - P1,3.096574798145851,inf,G,999,0.0,0.0,['67.8033' '-0.21018' 'G' '0.0' '0.0' '3.096574798145851' 'inf'],,,,,,K. C. Chambers,No
2024buu,11:03:53.049,+01:29:31.22,2024-02-05 12:20:42.432,2024-02-07,20.8,ABMag,w - P1,3.4744884222393653,11.600201917260513,G,-18.38999906556101,688.652,0.144842322421,"['165.972' '1.49193' 'G' '688.652' '0.144842322421' '3.4744884222393653'
 '11.600201917260513']",,,,,,K. C. Chambers,Yes
2024buo,11:42:24.005,-05:16:41.65,2024-02-04 12:44:04.704,2024-02-07,20.62,ABMag,w - P1,3.81241879937054,12.099720929289822,G,-18.45999942260701,654.636,0.13828065914,"['175.599014' '-5.277895' 'G' '654.636' '0.13828065914' '3.81241879937054'
 '12.099720929289822']",,,,,,K. C. Chambers,No
2024bty,13:07:18.865,+25:33:26.81,2024-02-06 13:04:04.800,2024-02-07,19.225,ABMag,cyan - ATLAS,4.419715767549207,11.214044170318648,G,-19.36896527425008,523.350995796,0.112475,"['196.829208' '25.556347' 'G' '523.350995796' '0.112475'
 '4.419715767549207' '11.214044170318648']",,,,,,J. Tonry,Yes
2024bsy,10:22:55.764,+26:04:14.35,2024-02-01 14:13:13.728,2024-02-07,21.1,ABMag,w - P1,4.44148086941875,9.979361103262741,G,-17.23000037607418,463.447,0.100428350214,"['155.731' '26.07088' 'G' '463.447' '0.100428350214' '4.44148086941875'
 '9.979361103262741']",,,,,,K. C. Chambers,Yes
2024bup,09:47:39.676,+07:20:33.67,2024-02-05 10:10:31.008,2024-02-07,19.94,ABMag,w - P1,4.51078447588311,12.936810378025285,G,-18.92000134284844,591.562,0.12598074299,"['146.916' '7.34374' 'G' '591.562' '0.12598074299' '4.51078447588311'
 '12.936810378025285']",,,,,,K. C. Chambers,Yes
2024btx,11:54:55.428,+29:20:34.12,2024-02-06 11:31:11.136,2024-02-07,19.359,ABMag,cyan - ATLAS,5.235280689255774,5.232637974225439,G,-17.21202925261941,206.160685935,0.046751,"['178.732605' '29.342628' 'G' '206.160685935' '0.046751'
 '5.235280689255774' '5.232637974225439']",,,,,,J. Tonry,Yes
2024btw,16:13:54.955,-61:37:58.45,2024-01-27 09:15:37.000,2024-02-07,17.22,ABMag,BG-q - BlackGem,5.982524717457441,2.064048355927344,G,-17.041302495826393,71.1640242774,0.0153976276988,"['243.475677' '-61.632355' 'G' '71.1640242774' '0.0153976276988'
 '5.982524717457441' '2.064048355927344']",,,,,,H. Tranin,No
2024bto,15:11:03.595,+07:31:50.36,2024-01-27 06:13:07.968,2024-02-07,18.92,ABMag,L - GOTO,6.3481326106244085,5.747817196522075,G,-17.436410450585704,186.759236636,0.041495,"['227.76413' '7.532205' 'G' '186.759236636' '0.041495'
 '6.3481326106244085' '5.747817196522075']",,,,,,T. Killestein,No
