TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2019aaux,20:10:46.458,+01:07:10.93,2019-10-17 02:10:22.656,2024-04-13,18.7181,ABMag,r - ZTF,0.09307878491677934,0.08870859980123422,G,-17.749600761104652,196.580371841,0.04435,"['302.693573' '1.119677' 'G' '196.580371841' '0.04435'
 '0.09307878491677934' '0.08870859980123422']",,,,,,,,,,,K. De (Caltech) on behalf of ZTF,No
2024giu,09:11:45.110,+55:23:46.09,2024-04-09 06:55:14.304,2024-04-13,20.7994,ABMag,g - ZTF,0.2906122697819147,0.3251975324400948,G,-16.0168921414052,230.812023428,0.051666,"['137.937836' '55.396095' 'G' '230.812023428' '0.051666'
 '0.2906122697819147' '0.3251975324400948']",,,,,,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024ghb,12:10:44.280,+38:20:10.07,2024-04-08 16:30:43.200,2024-04-13,16.3,ABMag,G - Gaia,0.31032280128228906,0.15692181125917934,G,-18.791473792480797,104.302509715,0.032451,"['182.684464' '38.336212' 'G' '104.302509715' '0.032451'
 '0.31032280128228906' '0.15692181125917934']",,,,,,,,,,,S.T. Hodgkin,Yes
2024giq,10:55:35.005,+27:04:40.69,2024-04-09 04:52:18.336,2024-04-13,21.3811,ABMag,g - ZTF,0.4793213631843386,5.4979616743012905,G,-20.488900277651556,2365.92,0.426644193322,"['163.896' '27.07794' 'G' '2365.92' '0.426644193322' '0.4793213631843386'
 '5.4979616743012905']",,,,,,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024gjz,10:56:10.064,-01:43:24.16,2024-04-09 03:59:42.999,2024-04-13,20.2315,ABMag,r - ZTF,0.5011465853106694,1.2928240743302466,G,-18.398498941961872,532.108,0.114221157111,"['164.042' '-1.7235' 'G' '532.108' '0.114221157111' '0.5011465853106694'
 '1.2928240743302466']",,,,,,,,,,,A. Munoz-Arancibia,No
2024giy,16:03:57.638,+30:33:42.31,2024-04-09 10:33:16.128,2024-04-13,21.1622,ABMag,r - ZTF,0.5826634145506185,0.3928250120854559,G,-14.553832580635444,139.061373999,0.0315922057961,"['240.99' '30.56184' 'G' '139.061373999' '0.0315922057961'
 '0.5826634145506185' '0.3928250120854559']",,,,,,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024glo,08:15:59.061,+23:11:59.26,2024-04-07 04:51:10.944,2024-04-13,18.4662,ABMag,g - ZTF,0.6268672939696036,0.18761413000687413,G,-15.486375326785506,61.7326706128,0.0135048967524,"['123.996' '23.19964' 'G' '61.7326706128' '0.0135048967524'
 '0.6268672939696036' '0.18761413000687413']",G,-15.59695526610711,64.9577619322,0.021501,"['123.996094' '23.199533' 'G' '64.9577619322' '0.021501'
 '0.9414457108150496' '0.29648395897883634']",,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024gki,16:10:25.144,-16:13:59.87,2024-04-07 10:39:32.996,2024-04-13,20.1432,ABMag,g - ZTF,0.6510674510690283,1.1842145888743436,G,-17.72794778023792,375.171254991,0.082337,"['242.604904' '-16.233421' 'G' '375.171254991' '0.082337'
 '0.6510674510690283' '1.1842145888743436']",,,,,,,,,,,Jesper Sollerman (SU),No
2024giz,16:05:10.375,+17:45:30.40,2024-04-09 06:24:53.856,2024-04-13,20.8048,ABMag,g - ZTF,0.7264721649795617,0.5123987776119596,G,-15.009271196567909,145.48366705,0.0315922057961,"['241.293076' '17.758305' 'G' '145.48366705' '0.0315922057961'
 '0.7264721649795617' '0.5123987776119596']",,,,,,,,,,,K. De (Caltech) on behalf of ZTF,Yes
2024glb,12:20:28.080,+40:50:34.91,2024-04-08 10:33:36.000,2024-04-13,17.38,ABMag,G - Gaia,0.8401281090699056,2.272316177501914,G,-21.352741889860983,557.889744472,0.119341,"['185.116806' '40.843212' 'G' '557.889744472' '0.119341'
 '0.8401281090699056' '2.272316177501914']",,,,,,,,,,,S.T. Hodgkin,Yes
