TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023wfd*,08:55:19.256,+29:02:36.41,2023-10-17 14:00:55.872,03-Nov-2023,21.86,ABMag,w - P1,0.5553515786814837,2.346379190448547,Galaxy,-17.841276603455206,871.4757779175075,0.2115,"['133.830394' '29.043511' 'Galaxy' '871.4757779175075' '0.2115'
 '0.5553515786814837' '2.346379190448547']",Galaxy,-17.10953206384908,622.1661985347806,0.14876,"['133.829141' '29.042623' 'Galaxy' '622.1661985347806' '0.14876'
 '4.54131928506174' '13.698194118971506']",K. C. Chambers
2023wgx,22:06:02.223,+14:19:30.42,2023-10-28 04:59:20.996,03-Nov-2023,19.7412,ABMag,r - ZTF,0.6664253814426757,1.3853119813106491,Galaxy,-18.41990597138244,428.7668437419629,0.1014,"['331.509334' '14.324945' 'Galaxy' '428.7668437419629' '0.1014'
 '0.6664253814426757' '1.3853119813106491']",,,,,,A. Munoz-Arancibia
2023weo,23:16:05.307,+26:01:28.47,2023-10-08 07:01:01.632,03-Nov-2023,21.42,ABMag,w - P1,0.7591669572614066,2.782604879067367,Galaxy,-17.9726968914875,756.030607948377,0.1822,"['349.022274' '26.024422' 'Galaxy' '756.030607948377' '0.1822'
 '0.7591669572614066' '2.782604879067367']",Galaxy,-18.313169260581212,884.3696951480823,0.2148,"['349.021195' '26.024052' 'Galaxy' '884.3696951480823' '0.2148'
 '3.5149061895169464' '15.070319420183868']",K. C. Chambers
2023wgw*,10:15:03.591,+43:20:40.33,2023-11-02 11:18:14.003,03-Nov-2023,18.1541,ABMag,g - ZTF,0.7763398753250551,1.1340074932675237,Galaxy,-19.240845819766967,301.2930847853575,0.07076,"['153.764909' '43.344324' 'Galaxy' '301.2930847853575' '0.07076'
 '0.7763398753250551' '1.1340074932675237']",,,,,,A. Munoz-Arancibia
2023wga*,02:02:23.661,+12:47:17.97,2023-10-27 06:07:12.000,03-Nov-2023,19.36,ABMag,r - ZTF,0.8239885733138177,1.456813524785664,Galaxy,-18.449539543684985,364.67660979171796,0.08594,"['30.598814' '12.788265' 'Galaxy' '364.67660979171796' '0.08594'
 '0.8239885733138177' '1.456813524785664']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wfg,02:55:53.723,+00:07:56.71,2023-10-21 10:32:36.384,03-Nov-2023,21.02,ABMag,w - P1,0.8317486574962252,3.7310053114443624,Galaxy,-18.811294459638514,925.2495699878501,0.2253,"['43.974011' '0.132581' 'Galaxy' '925.2495699878501' '0.2253'
 '0.8317486574962252' '3.7310053114443624']",,,,,,K. C. Chambers
2023wdz,01:14:00.490,+05:37:34.66,2023-11-01 04:36:34.001,03-Nov-2023,19.3364,ABMag,r - ZTF,0.8513327600977272,3.2267447538724787,Galaxy,-20.129052000172887,781.7905202985299,0.1887,"['18.502152' '5.626085' 'Galaxy' '781.7905202985299' '0.1887'
 '0.8513327600977272' '3.2267447538724787']",,,,,,F. Forster
2023wgi,10:11:09.231,-03:18:14.23,2023-10-25 11:36:57.600,03-Nov-2023,20.12,ABMag,g - ZTF,0.944513397888692,2.0559476709093456,Galaxy,-18.141145334947634,448.98214143105145,0.1063,"['152.788438' '-3.304214' 'Galaxy' '448.98214143105145' '0.1063'
 '0.944513397888692' '2.0559476709093456']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wgd,23:51:05.663,+24:15:32.51,2023-11-02 09:56:17.376,03-Nov-2023,20.84,ABMag,i - P1,1.0035058436225706,3.1942797793986943,Galaxy,-18.246390898198396,656.565683164801,0.1573,"['357.773754' '24.258792' 'Galaxy' '656.565683164801' '0.1573'
 '1.0035058436225706' '3.1942797793986943']",,,,,,D. O. Jones (UC Santa Cruz)
2023whd,23:13:44.813,+28:59:51.88,2023-11-02 05:06:20.736,03-Nov-2023,21.33,ABMag,w - P1,1.0995401658005366,8.05484031472092,Galaxy,-19.56635484818264,1511.0226334401086,0.3826,"['348.436975' '28.997535' 'Galaxy' '1511.0226334401086' '0.3826'
 '1.0995401658005366' '8.05484031472092']",,,,,,K. C. Chambers
