TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter
2023yzc,00:19:07.200,+15:55:47.50,2023-12-06 03:36:00.000,07-Dec-2023,18.66,ABMag,r - ZTF,0.08123948372797316,0.25447625873359264,Galaxy,-20.391526247751163,646.1081950636537,0.1547,"['4.780014' '15.929843' 'Galaxy' '646.1081950636537' '0.1547'
 '0.08123948372797316' '0.25447625873359264']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023yzr*,16:58:08.340,+61:50:01.97,2023-12-03 07:01:55.200,07-Dec-2023,17.82,ABMag,G - Gaia,0.10735345324281674,0.7708815737697488,Galaxy,-23.032983895961955,1481.14227968475,0.37424,"['254.53474' '61.83391' 'Galaxy' '1481.14227968475' '0.37424'
 '0.10735345324281674' '0.7708815737697488']",,,,,,,,,,,S.T. Hodgkin
2023zah,00:47:13.592,-00:52:08.76,2023-12-06 04:10:33.600,07-Dec-2023,19.63,ABMag,r - ZTF,0.38682670546195136,0.8443343541952902,Galaxy,-18.637115721932954,450.2183006405837,0.1066,"['11.806695' '-0.869188' 'Galaxy' '450.2183006405837' '0.1066'
 '0.38682670546195136' '0.8443343541952902']",Galaxy,-20.370421216498524,1000.1939961809113,0.2447,"['11.806004' '-0.868408' 'Galaxy' '1000.1939961809113' '0.2447'
 '3.3671710382964943' '16.32767275163324']",Galaxy,-21.177550588435256,1450.4745653785503,0.3657,"['11.80695' '-0.870059' 'Galaxy' '1450.4745653785503' '0.3657'
 '3.6357071430984162' '25.566653052013816']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023yzz,03:02:25.741,+38:32:20.53,2023-12-06 09:23:30.912,07-Dec-2023,20.74,ABMag,w - P1,0.5027200001102262,1.8426396351093124,Galaxy,-18.652696891487505,756.030607948377,0.1822,"['45.607319' '38.538906' 'Galaxy' '756.030607948377' '0.1822'
 '0.5027200001102262' '1.8426396351093124']",,,,,,,,,,,K. C. Chambers
2023zaa,08:06:10.774,+34:41:58.25,2023-12-05 15:04:12.288,07-Dec-2023,20.63,ABMag,w - P1,0.5485987796942949,1.6959513360105536,Galaxy,-18.392918411510276,637.6519355577279,0.1526,"['121.544707' '34.699527' 'Galaxy' '637.6519355577279' '0.1526'
 '0.5485987796942949' '1.6959513360105536']",,,,,,,,,,,K. C. Chambers
2023zam*,23:14:45.386,+31:30:21.92,2023-12-06 02:54:14.400,07-Dec-2023,19.66,ABMag,g - ZTF,0.5908789433357367,1.2469598505521546,Galaxy,-18.53389544946621,435.2904006675356,0.10298,"['348.688954' '31.506187' 'Galaxy' '435.2904006675356' '0.10298'
 '0.5908789433357367' '1.2469598505521546']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zab,00:30:02.822,-20:17:29.74,2023-12-05 05:47:40.416,07-Dec-2023,21.64,ABMag,w - P1,0.7384896513427245,3.9892074163742537,Galaxy,-18.59483668568626,1114.2107317422788,0.2746,"['7.511809' '-20.291794' 'Galaxy' '1114.2107317422788' '0.2746'
 '0.7384896513427245' '3.9892074163742537']",,,,,,,,,,,K. C. Chambers
2023yym,02:00:16.146,+18:28:28.46,2023-12-04 05:20:04.128,07-Dec-2023,20.88,ABMag,w - P1,1.014878173234042,3.807664868391963,Galaxy,-18.563349689099415,773.8734333417191,0.1867,"['30.067521' '18.474414' 'Galaxy' '773.8734333417191' '0.1867'
 '1.014878173234042' '3.807664868391963']",,,,,,,,,,,K. C. Chambers
2023yys,08:43:47.725,+17:18:29.04,2023-10-15 14:14:02.976,07-Dec-2023,20.37,ABMag,w - P1,1.2788789824829334,8.742461456520617,Galaxy,-20.37614704684152,1410.033430167635,0.3545,"['130.949088' '17.308343' 'Galaxy' '1410.033430167635' '0.3545'
 '1.2788789824829334' '8.742461456520617']",,,,,,,,,,,K. C. Chambers
2023yzl,05:17:33.242,-06:13:14.30,2023-12-05 11:14:51.360,07-Dec-2023,20.8,ABMag,w - P1,1.4252028064230629,4.453210594589594,Galaxy,-18.246108489620052,644.4981839149962,0.1543,"['79.388861' '-6.220455' 'Galaxy' '644.4981839149962' '0.1543'
 '1.4252028064230629' '4.453210594589594']",,,,,,,,,,,K. C. Chambers
2023yyk,03:51:08.472,+03:41:20.15,2023-12-04 09:17:32.352,07-Dec-2023,20.26,ABMag,w - P1,1.4591150358107696,3.26639351676672,Galaxy,-18.062020526579094,461.74702427694797,0.1094,"['57.785469' '3.688562' 'Galaxy' '461.74702427694797' '0.1094'
 '1.4591150358107696' '3.26639351676672']",,,,,,,,,,,K. C. Chambers
2023yzj*,08:13:50.451,+14:23:10.14,2023-12-05 15:06:10.656,07-Dec-2023,20.49,ABMag,w - P1,1.6347126317600968,3.111744024149918,Galaxy,-17.479937894273906,392.6337056229807,0.09267,"['123.459812' '14.385914' 'Galaxy' '392.6337056229807' '0.09267'
 '1.6347126317600968' '3.111744024149918']",,,,,,,,,,,K. C. Chambers
2023yzw,01:18:16.280,-01:00:14.45,2023-12-05 06:59:36.960,07-Dec-2023,20.81,ABMag,w - P1,1.730745731685275,4.20858872020024,Galaxy,-17.691641753998436,501.5663023507573,0.1191,"['19.568181' '-1.004346' 'Galaxy' '501.5663023507573' '0.1191'
 '1.730745731685275' '4.20858872020024']",Galaxy,-20.138854729529566,1547.9999627842226,0.393,"['19.567706' '-1.003153' 'Galaxy' '1547.9999627842226' '0.393'
 '3.1329070745217' '23.512203186557155']",,,,,,K. C. Chambers
2023yyl,05:36:12.239,+05:27:36.70,2023-12-04 09:11:13.056,07-Dec-2023,20.88,ABMag,w - P1,1.8621426021710143,8.461657597278522,Galaxy,-18.979338223447396,937.2763196591611,0.2284,"['84.050725' '5.459753' 'Galaxy' '937.2763196591611' '0.2284'
 '1.8621426021710143' '8.461657597278522']",,,,,,,,,,,K. C. Chambers
2023yyq,01:35:20.047,+19:34:23.03,2023-12-04 05:12:40.896,07-Dec-2023,21.01,ABMag,w - P1,3.636475915212052,11.702839275753824,Galaxy,-18.10017829106715,663.7975699747069,0.1591,"['23.833118' '19.572131' 'Galaxy' '663.7975699747069' '0.1591'
 '3.636475915212052' '11.702839275753824']",,,,,,,,,,,K. C. Chambers
2023yzf,07:55:30.248,+10:25:44.69,2023-12-05 14:07:56.640,07-Dec-2023,19.89,ABMag,w - P1,3.6539344120860533,6.2580810006550545,Galaxy,-17.850527828703306,353.2690299081271,0.0832,"['118.875089' '10.42949' 'Galaxy' '353.2690299081271' '0.0832'
 '3.6539344120860533' '6.2580810006550545']",,,,,,,,,,,K. C. Chambers
