TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023zev,01:54:52.955,+11:34:35.62,2023-12-09 03:38:52.800,10-Dec-2023,18.87,ABMag,r - ZTF,0.13070107402795614,0.47327517091300586,Galaxy,-20.49629848907227,746.895250571451,0.1799,"['28.720642' '11.576525' 'Galaxy' '746.895250571451' '0.1799'
 '0.13070107402795614' '0.47327517091300586']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zhc,23:51:51.978,+24:42:06.43,2023-12-08 07:04:34.176,10-Dec-2023,20.87,ABMag,g - P1,0.1501039260250044,0.6554965241571149,Galaxy,-18.903017374328396,900.748349202317,0.219,"['357.966607' '24.701816' 'Galaxy' '900.748349202317' '0.219'
 '0.1501039260250044' '0.6554965241571149']",D. O. Jones (UC Santa Cruz)
2023zgo*,08:48:54.899,+31:47:00.82,2023-11-10 11:08:09.600,10-Dec-2023,20.32,ABMag,r - ZTF,0.19362624296724468,0.8964199125062234,Galaxy,-19.579862048384165,954.9319181607183,0.23296,"['132.228708' '31.783518' 'Galaxy' '954.9319181607183' '0.23296'
 '0.19362624296724468' '0.8964199125062234']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2021aiat*,09:02:22.075,+09:21:52.66,2021-01-13 10:04:48.000,10-Dec-2023,20.51,ABMag,g - ZTF,0.22466905724031616,0.9908295751012838,Galaxy,-19.284404158410485,909.6636310565661,0.22129,"['135.591916' '9.364631' 'Galaxy' '909.6636310565661' '0.22129'
 '0.22466905724031616' '0.9908295751012838']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgc*,10:23:44.586,+54:00:31.68,2023-12-09 07:46:33.600,10-Dec-2023,19.09,ABMag,r - ZTF,0.2275756621206339,0.2296367709673049,Galaxy,-17.501703748254503,208.1329067964809,0.04864,"['155.935705' '54.008752' 'Galaxy' '208.1329067964809' '0.04864'
 '0.2275756621206339' '0.2296367709673049']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgn,08:39:23.704,+46:16:05.15,2023-12-09 07:40:48.000,10-Dec-2023,19.27,ABMag,r - ZTF,0.22758351459855902,0.6487131899174623,Galaxy,-19.57668530721008,587.9454874322167,0.1403,"['129.848836' '46.268056' 'Galaxy' '587.9454874322167' '0.1403'
 '0.22758351459855902' '0.6487131899174623']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgg*,13:06:31.202,+49:51:39.27,2023-12-09 10:42:14.400,10-Dec-2023,18.72,ABMag,r - ZTF,0.23810355343639564,0.16706239691152452,Galaxy,-17.08268982262348,144.72313595359856,0.03371,"['196.629963' '49.860849' 'Galaxy' '144.72313595359856' '0.03371'
 '0.23810355343639564' '0.16706239691152452']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zfl,07:44:54.121,+07:41:44.76,2023-11-12 09:05:45.600,10-Dec-2023,20.3,ABMag,r - ZTF,0.3711676850195498,1.5815597411226014,Galaxy,-19.419702881871384,878.9022502058249,0.2134,"['116.225586' '7.695703' 'Galaxy' '878.9022502058249' '0.2134'
 '0.3711676850195498' '1.5815597411226014']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zek,06:16:26.204,+84:31:02.23,2023-12-09 04:49:26.400,10-Dec-2023,19.79,ABMag,g - ZTF,0.39487755074657616,0.7431679339832981,Galaxy,-18.155248257274373,388.19474447780857,0.0916,"['94.108119' '84.517245' 'Galaxy' '388.19474447780857' '0.0916'
 '0.39487755074657616' '0.7431679339832981']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zgy,09:20:38.017,+26:40:04.78,2023-12-09 08:38:24.000,10-Dec-2023,19.41,ABMag,r - ZTF,0.4030412474045422,1.1559717459261043,Galaxy,-19.450114290418465,591.5927704706884,0.1412,"['140.158505' '26.667928' 'Galaxy' '591.5927704706884' '0.1412'
 '0.4030412474045422' '1.1559717459261043']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
