TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023xul,21:40:10.451,-07:29:28.65,2023-10-09 04:33:36.000,15-Nov-2023,20.49,ABMag,g - ZTF,0.39707108967983423,1.3764860570368656,Galaxy,-18.781643410466575,715.0372747791519,0.1719,"['325.043482' '-7.491382' 'Galaxy' '715.0372747791519' '0.1719'
 '0.39707108967983423' '1.3764860570368656']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xsj,22:32:27.072,+05:14:13.86,2023-11-12 05:08:06.144,15-Nov-2023,20.7,ABMag,r - P1,0.5470256523675815,1.3681645960185596,Galaxy,-17.862778941854824,515.8884305393499,0.1226,"['338.112648' '5.23717' 'Galaxy' '515.8884305393499' '0.1226'
 '0.5470256523675815' '1.3681645960185596']",D. O. Jones (UC Santa Cruz)
2023xug,09:21:25.168,+16:10:25.29,2023-11-07 12:25:55.200,15-Nov-2023,19.58,ABMag,g - ZTF,0.5943017443789554,1.7849429243336288,Galaxy,-19.38021230899446,619.5016419716413,0.1481,"['140.354706' '16.173633' 'Galaxy' '619.5016419716413' '0.1481'
 '0.5943017443789554' '1.7849429243336288']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xuf,10:54:13.642,+08:27:49.56,2023-11-04 11:39:50.400,15-Nov-2023,19.96,ABMag,g - ZTF,0.7345020750866453,4.655828323831253,Galaxy,-20.622145320538102,1307.4619659646319,0.3264,"['163.557045' '8.463801' 'Galaxy' '1307.4619659646319' '0.3264'
 '0.7345020750866453' '4.655828323831253']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xti,08:08:04.754,+57:33:20.66,2023-11-10 10:42:14.400,15-Nov-2023,20.56,ABMag,r - ZTF,0.8681155398064878,1.5568877213004917,Galaxy,-17.28052448130568,369.9175161183357,0.0872,"['122.019801' '57.55598' 'Galaxy' '369.9175161183357' '0.0872'
 '0.8681155398064878' '1.5568877213004917']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xtw,01:31:14.451,+05:22:46.00,2023-11-05 05:15:21.600,15-Nov-2023,20.2,ABMag,g - ZTF,0.8783381783294815,2.295911740801047,Galaxy,-18.45859280839294,539.1611136394631,0.1283,"['22.81041' '5.3793' 'Galaxy' '539.1611136394631' '0.1283'
 '0.8783381783294815' '2.295911740801047']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xuh*,08:43:08.050,+11:05:07.04,2023-11-02 10:03:21.600,15-Nov-2023,19.34,ABMag,r - ZTF,1.1477272473410374,1.5784754338505556,Galaxy,-17.92412134202262,283.67709338319634,0.06656,"['130.783693' '11.085571' 'Galaxy' '283.67709338319634' '0.06656'
 '1.1477272473410374' '1.5784754338505556']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xty*,08:07:00.895,+47:27:35.29,2023-11-10 09:50:24.000,15-Nov-2023,19.82,ABMag,g - ZTF,1.1860088087976823,3.233586163770097,Galaxy,-18.930108281929726,562.3693674172774,0.134,"['121.753969' '47.459516' 'Galaxy' '562.3693674172774' '0.134'
 '1.1860088087976823' '3.233586163770097']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xtz,06:49:55.655,+64:27:50.61,2023-11-04 09:47:31.200,15-Nov-2023,20.62,ABMag,r - ZTF,1.2416106556186899,3.2651100969323323,Galaxy,-18.05168766008823,542.4222951657133,0.1291,"['102.482595' '64.464226' 'Galaxy' '542.4222951657133' '0.1291'
 '1.2416106556186899' '3.2651100969323323']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xsl,08:58:03.716,+04:00:19.21,2023-11-11 15:17:15.936,15-Nov-2023,19.9,ABMag,g - P1,1.5367704892809273,10.895142717051655,Galaxy,-20.925245222691935,1462.3423063128232,0.369,"['134.515532' '4.004912' 'Galaxy' '1462.3423063128232' '0.369'
 '1.5367704892809273' '10.895142717051655']",D. O. Jones (UC Santa Cruz)
2023xsi,22:48:11.241,+23:42:58.02,2023-05-27 13:49:37.632,15-Nov-2023,20.69,ABMag,g - P1,1.7941220019120234,2.0698907838676943,Galaxy,-16.19260295958988,237.96911304877685,0.0557,"['342.046411' '23.715807' 'Galaxy' '237.96911304877685' '0.0557'
 '1.7941220019120234' '2.0698907838676943']",D. O. Jones (UC Santa Cruz)
2023xtj,08:09:28.605,+04:59:41.74,2023-11-05 10:39:21.600,15-Nov-2023,20.28,ABMag,g - ZTF,3.5206946316082943,13.04675507199546,Galaxy,-19.13649642267611,764.362345700636,0.1843,"['122.369207' '4.99395' 'Galaxy' '764.362345700636' '0.1843'
 '3.5206946316082943' '13.04675507199546']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xsk*,10:21:51.510,+41:07:53.09,2023-11-11 15:21:08.352,15-Nov-2023,20.19,ABMag,g - P1,4.03709219668985,7.4597676028691255,Galaxy,-17.715408817181252,381.13757236960925,0.0899,"['155.463663' '41.130558' 'Galaxy' '381.13757236960925' '0.0899'
 '4.03709219668985' '7.4597676028691255']",D. O. Jones (UC Santa Cruz)
