TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023vcp*,16:04:47.895,+07:06:51.29,2023-09-04 07:45:27.072,17-Oct-2023,19.74,ABMag,r - P1,0.023388059258457435,0.03548790912940984,Galaxy,-17.737556798573966,312.9762334778607,0.07355,"['241.199569' '7.114248' 'Galaxy' '312.9762334778607' '0.07355'
 '0.023388059258457435' '0.03548790912940984']",,,,,,D. O. Jones (UC Santa Cruz)
2023vcf,16:25:57.329,+28:23:14.84,2023-06-22 07:00:59.040,17-Oct-2023,20.54,ABMag,r - P1,0.037652165965654724,0.44330954336306017,Galaxy,-21.38671124898334,2428.5231613923424,0.6609,"['246.488866' '28.387446' 'Galaxy' '2428.5231613923424' '0.6609'
 '0.037652165965654724' '0.44330954336306017']",,,,,,D. O. Jones (UC Santa Cruz)
2023vdf,08:33:30.368,+41:24:02.27,2023-10-14 10:51:38.998,17-Oct-2023,20.4663,ABMag,g - ZTF,0.11186236705905055,0.42076398179220614,Galaxy,-18.982598421943987,775.853429870669,0.1872,"['128.376517' '41.400602' 'Galaxy' '775.853429870669' '0.1872'
 '0.11186236705905055' '0.42076398179220614']",,,,,,A. Munoz-Arancibia
2023vej*,07:39:16.430,+27:37:53.62,2023-10-12 14:04:09.408,17-Oct-2023,19.41,ABMag,w - P1,0.22906763500820568,0.38371416730257835,Galaxy,-18.282346177203205,345.5168529826413,0.08134,"['114.81849' '27.631504' 'Galaxy' '345.5168529826413' '0.08134'
 '0.22906763500820568' '0.38371416730257835']",,,,,,K. C. Chambers
2023vcv,23:34:39.617,+46:39:27.20,2023-10-06 06:53:03.002,17-Oct-2023,20.2199,ABMag,g - ZTF,0.4087378732683279,0.7519766395562223,Galaxy,-17.676023007858117,379.4762511864204,0.0895,"['353.665227' '46.657593' 'Galaxy' '379.4762511864204' '0.0895'
 '0.4087378732683279' '0.7519766395562223']",,,,,,Julien Peloton
2023vdr,02:29:39.347,+03:43:33.03,2023-10-11 09:30:25.001,17-Oct-2023,19.8313,ABMag,g - ZTF,0.4896107957038293,1.233297072641374,Galaxy,-18.746909242914214,519.5673460684621,0.1235,"['37.41383' '3.72577' 'Galaxy' '519.5673460684621' '0.1235'
 '0.4896107957038293' '1.233297072641374']",,,,,,A. Munoz-Arancibia
2023vdc,10:20:43.741,+44:46:59.82,2023-10-16 12:19:17.000,17-Oct-2023,19.6305,ABMag,g - ZTF,0.5180837414849515,1.525578603031552,Galaxy,-19.286798793002372,607.378980977286,0.1451,"['155.182236' '44.78314' 'Galaxy' '607.378980977286' '0.1451'
 '0.5180837414849515' '1.525578603031552']",,,,,,A. Munoz-Arancibia
2023vdi,23:26:51.304,+21:07:47.31,2023-10-11 05:58:13.002,17-Oct-2023,20.7172,ABMag,g - ZTF,0.5332553066480265,0.9713911504878268,Galaxy,-17.15722044934953,375.73710932412666,0.0886,"['351.713907' '21.129739' 'Galaxy' '375.73710932412666' '0.0886'
 '0.5332553066480265' '0.9713911504878268']",,,,,,A. Munoz-Arancibia
2023vdd*,09:51:53.812,+23:44:19.77,2023-10-16 11:58:48.003,17-Oct-2023,19.5681,ABMag,r - ZTF,0.7453687212086603,1.9639532179503019,Galaxy,-19.10782553841254,543.4819283644479,0.12936,"['147.973991' '23.738839' 'Galaxy' '543.4819283644479' '0.12936'
 '0.7453687212086603' '1.9639532179503019']",Galaxy,-20.263194459638513,925.2495699878501,0.2253,"['147.974079' '23.73937' 'Galaxy' '925.2495699878501' '0.2253'
 '2.0137669055077256' '9.033227709971397']",A. Munoz-Arancibia
2023vda,09:59:23.050,+29:48:49.41,2023-10-13 11:05:42.003,17-Oct-2023,20.0367,ABMag,g - ZTF,1.0202772944877223,2.367370653667814,Galaxy,-18.363165855283338,478.60052541923346,0.1135,"['149.846266' '29.813931' 'Galaxy' '478.60052541923346' '0.1135'
 '1.0202772944877223' '2.367370653667814']",,,,,,A. Munoz-Arancibia
