TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023vfb,22:56:11.359,-00:03:59.21,2023-10-17 06:36:56.160,18-Oct-2023,20.78,ABMag,g - P1,0.23309268074360218,0.8763174931666907,Galaxy,-18.667789888675408,775.4574589881165,0.1871,"['344.047318' '-0.066511' 'Galaxy' '775.4574589881165' '0.1871'
 '0.23309268074360218' '0.8763174931666907']",D. O. Jones (UC Santa Cruz)
2023vfj,08:27:50.727,+26:50:08.44,2023-10-15 10:48:24.002,18-Oct-2023,20.2975,ABMag,g - ZTF,0.3145685728378875,1.984993129742744,Galaxy,-20.274844045602194,1301.5738336395862,0.3248,"['126.961397' '26.835596' 'Galaxy' '1301.5738336395862' '0.3248'
 '0.3145685728378875' '1.984993129742744']",A. Munoz-Arancibia
2023vga,08:39:56.223,+64:32:38.20,2023-10-15 10:44:14.997,18-Oct-2023,19.7272,ABMag,g - ZTF,0.37856485058064954,1.0880010329115783,Galaxy,-19.137370765911125,592.8081328495505,0.1415,"['129.984071' '64.543879' 'Galaxy' '592.8081328495505' '0.1415'
 '0.37856485058064954' '1.0880010329115783']",A. Munoz-Arancibia
2023vgd,22:55:20.186,-19:03:43.32,2023-10-14 05:04:10.998,18-Oct-2023,20.3822,ABMag,g - ZTF,0.6181040693230915,2.652488839687979,Galaxy,-19.352885478296844,885.1504523937163,0.215,"['343.834105' '-19.062205' 'Galaxy' '885.1504523937163' '0.215'
 '0.6181040693230915' '2.652488839687979']",A. Munoz-Arancibia
2023vgc,17:08:24.631,+30:21:15.67,2023-10-13 03:15:35.997,18-Oct-2023,20.1748,ABMag,g - ZTF,0.8039111164133271,1.74186379023945,Galaxy,-18.076356451261137,446.92154377250966,0.1058,"['257.102647' '30.35413' 'Galaxy' '446.92154377250966' '0.1058'
 '0.8039111164133271' '1.74186379023945']",A. Munoz-Arancibia
2023vfs,22:52:51.087,-10:27:26.92,2023-10-15 05:26:59.997,18-Oct-2023,20.8175,ABMag,g - ZTF,0.9352389224299861,4.458277919920663,Galaxy,-19.1458484918933,983.263003006549,0.2403,"['343.213125' '-10.457507' 'Galaxy' '983.263003006549' '0.2403'
 '0.9352389224299861' '4.458277919920663']",A. Munoz-Arancibia
2023vfl,01:40:54.466,+16:18:12.98,2023-10-17 08:22:29.997,18-Oct-2023,20.5523,ABMag,g - ZTF,1.4348734251280133,5.262060112654899,Galaxy,-18.841536730097854,756.4275639893054,0.1823,"['25.227147' '16.303952' 'Galaxy' '756.4275639893054' '0.1823'
 '1.4348734251280133' '5.262060112654899']",A. Munoz-Arancibia
2023vgb,01:42:07.926,+17:42:28.84,2023-10-13 09:08:15.996,18-Oct-2023,20.5366,ABMag,g - ZTF,1.7943733841620053,14.465893698871463,Galaxy,-20.567687919126755,1662.867264604523,0.4257,"['25.532814' '17.707555' 'Galaxy' '1662.867264604523' '0.4257'
 '1.7943733841620053' '14.465893698871463']",A. Munoz-Arancibia
2023vet*,01:25:04.530,-08:48:49.89,2023-10-15 08:53:50.208,18-Oct-2023,20.14,ABMag,w - P1,2.026815531949516,5.406850894084426,Galaxy,-18.562776512795345,550.2439834847914,0.13102,"['21.268317' '-8.813972' 'Galaxy' '550.2439834847914' '0.13102'
 '2.026815531949516' '5.406850894084426']",K. C. Chambers
2023vfu,21:56:12.693,+44:12:42.06,2023-10-13 06:26:35.998,18-Oct-2023,20.8695,ABMag,g - ZTF,2.3017496722931186,5.115986226179353,Galaxy,-17.43698204870213,458.45467924467806,0.1086,"['329.052189' '44.212081' 'Galaxy' '458.45467924467806' '0.1086'
 '2.3017496722931186' '5.115986226179353']",A. Munoz-Arancibia
2023vfa,23:44:18.974,-00:56:15.89,2023-10-16 06:38:52.800,18-Oct-2023,20.34,ABMag,w - P1,2.612357634315677,6.761360230106261,Galaxy,-18.297132879819,533.8590090220395,0.127,"['356.079739' '-0.937999' 'Galaxy' '533.8590090220395' '0.127'
 '2.612357634315677' '6.761360230106261']",K. C. Chambers
2023ves,01:42:20.935,-04:40:49.97,2023-10-15 08:55:39.936,18-Oct-2023,20.59,ABMag,w - P1,3.0794723311688617,11.701431135811044,Galaxy,-18.880939039669737,783.768505282258,0.1892,"['25.586424' '-4.680251' 'Galaxy' '783.768505282258' '0.1892'
 '3.0794723311688617' '11.701431135811044']",K. C. Chambers
2023vew,04:30:32.818,-08:25:21.47,2023-10-17 11:47:36.096,18-Oct-2023,21.24,ABMag,g - P1,3.735843024954787,14.660422048043758,Galaxy,-18.30091493386035,809.4368775885033,0.1957,"['67.636874' '-8.42366' 'Galaxy' '809.4368775885033' '0.1957'
 '3.735843024954787' '14.660422048043758']",D. O. Jones (UC Santa Cruz)
2023vez,00:20:18.860,-14:32:19.22,2023-10-15 07:47:07.296,18-Oct-2023,19.23,ABMag,w - P1,4.293182552411321,1.7122019869857426,Galaxy,-15.346003870908103,82.26228603049921,0.0191,"['5.077523' '-14.538065' 'Galaxy' '82.26228603049921' '0.0191'
 '4.293182552411321' '1.7122019869857426']",K. C. Chambers
