TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter
2023xbk,22:46:23.255,-01:48:11.05,2023-11-08 04:56:47.904,2023-11-09,18.1,ABMag,r - P1,0.06367903716106385,0.09707563415922979,Galaxy,-19.387694406643824,314.44079188514746,0.0739,"['341.596898' '-1.803087' 'Galaxy' '314.44079188514746' '0.0739'
 '0.06367903716106385' '0.09707563415922979']",,,,,,D. O. Jones (UC Santa Cruz)
2023xca,23:40:00.187,-09:02:24.69,2023-10-09 08:06:43.200,2023-11-09,20.66,ABMag,g - ZTF,0.16395240781758477,0.18445622399173436,Galaxy,-16.168003239128925,232.06019231778865,0.0543,"['355.000815' '-9.040163' 'Galaxy' '232.06019231778865' '0.0543'
 '0.16395240781758477' '0.18445622399173436']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2020afgk,00:21:59.900,-19:05:00.02,2020-09-18 08:34:04.800,2023-11-09,19.07,ABMag,r - ZTF,0.17469990597354582,0.4137025426237631,Galaxy,-19.37410326010349,488.4506051793934,0.1159,"['5.499634' '-19.083331' 'Galaxy' '488.4506051793934' '0.1159'
 '0.17469990597354582' '0.4137025426237631']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wzp,08:46:40.556,+60:58:53.33,2023-10-05 10:39:21.600,2023-11-09,19.78,ABMag,g - ZTF,0.17940773411188815,0.684468369098631,Galaxy,-19.699686775778304,786.9322703959774,0.19,"['131.668933' '60.981524' 'Galaxy' '786.9322703959774' '0.19'
 '0.17940773411188815' '0.684468369098631']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wyf,09:52:35.200,+59:14:36.93,2023-10-14 11:22:33.600,2023-11-09,19.62,ABMag,r - ZTF,0.26125372098193184,0.7994778987603913,Galaxy,-19.380845554269452,631.2030821463292,0.151,"['148.146601' '59.243656' 'Galaxy' '631.2030821463292' '0.151'
 '0.26125372098193184' '0.7994778987603913']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwd,23:55:31.215,+13:59:22.28,2023-10-10 05:58:33.600,2023-11-09,20.16,ABMag,g - ZTF,0.30200937536905187,0.9466097732202745,Galaxy,-18.892878460443125,646.5106628918095,0.1548,"['358.880058' '13.989606' 'Galaxy' '646.5106628918095' '0.1548'
 '0.30200937536905187' '0.9466097732202745']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wyg,09:39:52.287,+55:29:29.20,2023-10-13 10:45:07.200,2023-11-09,20.31,ABMag,g - ZTF,0.32362528128714146,0.6753183980455573,Galaxy,-17.85945636935384,430.41884114412693,0.1018,"['144.967739' '55.491388' 'Galaxy' '430.41884114412693' '0.1018'
 '0.32362528128714146' '0.6753183980455573']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023wwi,22:20:30.323,+28:22:19.34,2023-10-07 08:45:36.000,2023-11-09,20.18,ABMag,g - ZTF,0.3262099044468139,0.5025841272082711,Galaxy,-17.33068379281938,317.7874620200575,0.0747,"['335.126335' '28.372129' 'Galaxy' '317.7874620200575' '0.0747'
 '0.3262099044468139' '0.5025841272082711']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2018mle,22:48:04.361,-17:28:30.82,2018-11-08 03:31:40.800,2023-11-09,19.4,ABMag,g - ZTF,0.3327941600207487,0.6350266542992119,Galaxy,-18.57520695495436,393.5875850363197,0.0929,"['342.018075' '-17.475214' 'Galaxy' '393.5875850363197' '0.0929'
 '0.3327941600207487' '0.6350266542992119']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xaq*,11:35:45.282,+21:08:21.64,2023-10-25 12:37:26.400,2023-11-09,20.37,ABMag,r - ZTF,0.345886516927752,1.1700447681003412,Galaxy,-18.84846989557455,697.7405755058925,0.16757,"['173.938572' '21.139343' 'Galaxy' '697.7405755058925' '0.16757'
 '0.345886516927752' '1.1700447681003412']",,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
