TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter
2023xod,12:03:44.489,+35:40:02.37,2023-11-11 14:41:48.768,2023-11-13,18.459,ABMag,cyan - ATLAS,0.05515155659988599,0.35852028453052326,Galaxy,-22.17790545536793,1340.8527624428277,0.3355,"['180.935367' '35.66734' 'Galaxy' '1340.8527624428277' '0.3355'
 '0.05515155659988599' '0.35852028453052326']",J. Tonry
2023xpp*,08:48:36.085,+09:07:08.29,2023-11-10 12:08:38.003,2023-11-13,18.8157,ABMag,g - ZTF,0.19015498334576234,0.2535442612888299,Galaxy,-18.38115603515096,275.0243880593604,0.0645,"['132.150321' '9.118928' 'Galaxy' '275.0243880593604' '0.0645'
 '0.19015498334576234' '0.2535442612888299']",F. Forster
2023xpo,12:13:08.997,+54:45:01.85,2023-11-12 11:46:28.004,2023-11-13,19.3697,ABMag,g - ZTF,0.31870302129248895,0.6260681262476423,Galaxy,-18.66860273278236,405.1917055254579,0.0957,"['183.287638' '54.750531' 'Galaxy' '405.1917055254579' '0.0957'
 '0.31870302129248895' '0.6260681262476423']",F. Forster
2023xon,23:44:49.903,-07:07:39.26,2023-11-11 19:28:29.280,2023-11-13,19.402,ABMag,cyan - ATLAS,0.3198609891530537,0.5491168613841914,Galaxy,-18.343643184398715,354.1022096920504,0.0834,"['356.20801' '-7.127534' 'Galaxy' '354.1022096920504' '0.0834'
 '0.3198609891530537' '0.5491168613841914']",J. Tonry
2023xoe*,08:19:27.599,+23:17:57.75,2023-11-10 11:08:09.600,2023-11-13,19.77,ABMag,r - ZTF,0.46237470155551913,0.9085788296164213,Galaxy,-18.268968412181184,405.31593879566356,0.09573,"['124.865133' '23.29935' 'Galaxy' '405.31593879566356' '0.09573'
 '0.46237470155551913' '0.9085788296164213']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xob,01:44:47.047,+16:01:04.75,2023-11-12 05:09:36.000,2023-11-13,20.03,ABMag,r - ZTF,0.8781565305736488,1.627967728755752,Galaxy,-17.882494947015886,382.3833638566573,0.0902,"['26.196282' '16.017965' 'Galaxy' '382.3833638566573' '0.0902'
 '0.8781565305736488' '1.627967728755752']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xps,13:32:15.551,+10:24:20.29,2023-11-10 13:04:48.000,2023-11-13,19.59,ABMag,r - ZTF,1.0021810004705352,13.682599634058176,Galaxy,-22.65823793704047,2816.0968539609944,0.7935,"['203.065075' '10.405682' 'Galaxy' '2816.0968539609944' '0.7935'
 '1.0021810004705352' '13.682599634058176']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xoz,11:31:28.562,+26:33:16.30,2023-11-09 11:35:31.200,2023-11-13,19.34,ABMag,g - ZTF,1.1332882988632698,5.275179792855588,Galaxy,-20.571609973247515,960.1122141671106,0.2343,"['172.869057' '26.554216' 'Galaxy' '960.1122141671106' '0.2343'
 '1.1332882988632698' '5.275179792855588']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xoy*,11:47:22.228,+35:01:07.78,2023-10-17 12:31:40.800,2023-11-13,17.75,ABMag,r - ZTF,1.1449787135366918,1.4890933604013254,Galaxy,-19.392748238294594,268.2561255008955,0.06289,"['176.842235' '35.018769' 'Galaxy' '268.2561255008955' '0.06289'
 '1.1449787135366918' '1.4890933604013254']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xpr*,12:29:36.179,-03:42:44.26,2023-11-10 13:06:14.400,2023-11-13,19.35,ABMag,r - ZTF,1.2598575145084907,3.1962078485476586,Galaxy,-19.24369358040235,523.2855184037704,0.12441,"['187.400504' '-3.712041' 'Galaxy' '523.2855184037704' '0.12441'
 '1.2598575145084907' '3.1962078485476586']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xol,09:02:16.770,+08:37:17.38,2023-11-08 11:25:26.400,2023-11-13,19.99,ABMag,g - ZTF,1.4701163577253151,4.150018379608699,Galaxy,-18.835617216815532,582.2686976355319,0.1389,"['135.569592' '8.621197' 'Galaxy' '582.2686976355319' '0.1389'
 '1.4701163577253151' '4.150018379608699']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xpg,08:35:29.673,+44:02:50.90,2023-11-06 11:24:01.002,2023-11-13,20.955,ABMag,g - ZTF,1.5141342439032397,5.046433781038687,Galaxy,-18.231226651948255,687.4566705652132,0.165,"['128.873322' '44.047118' 'Galaxy' '687.4566705652132' '0.165'
 '1.5141342439032397' '5.046433781038687']",F. Forster
2023xoa,01:17:26.696,+14:03:38.17,2023-11-07 04:46:33.600,2023-11-13,20.28,ABMag,g - ZTF,1.6919030055816864,2.252461791600047,Galaxy,-16.913535520254932,274.6041549031477,0.0644,"['19.361707' '14.060504' 'Galaxy' '274.6041549031477' '0.0644'
 '1.6919030055816864' '2.252461791600047']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023xpi,01:31:45.444,+17:52:43.96,2023-11-07 04:43:26.000,2023-11-13,21.2314,ABMag,g - ZTF,2.2455386701956632,7.405620029299167,Galaxy,-17.93193010046545,680.2460366259157,0.1632,"['22.939063' '17.878317' 'Galaxy' '680.2460366259157' '0.1632'
 '2.2455386701956632' '7.405620029299167']",F. Forster
2023xpd*,08:58:21.943,+30:20:02.09,2023-11-12 11:22:20.001,2023-11-13,19.4654,ABMag,g - ZTF,2.62321875298652,2.4562572605848625,Galaxy,-16.963922381366206,193.13655308679563,0.0451,"['134.59182' '30.333268' 'Galaxy' '193.13655308679563' '0.0451'
 '2.62321875298652' '2.4562572605848625']",F. Forster
2023xop,01:51:25.223,+12:16:37.54,2023-11-11 09:25:36.192,2023-11-13,19.253,ABMag,cyan - ATLAS,2.7116537108156304,6.32429413337107,Galaxy,-19.1580148285962,481.0641192374556,0.1141,"['27.855844' '12.276913' 'Galaxy' '481.0641192374556' '0.1141'
 '2.7116537108156304' '6.32429413337107']",J. Tonry
2023xok,09:22:04.359,+18:06:39.80,2023-11-07 12:25:55.200,2023-11-13,20.36,ABMag,g - ZTF,2.7846521468148047,3.984950378750386,Galaxy,-16.990385496705272,295.1733194836312,0.0693,"['140.518222' '18.111827' 'Galaxy' '295.1733194836312' '0.0693'
 '2.7846521468148047' '3.984950378750386']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
1997fi,10:48:23.750,+26:24:56.00,1997-05-09 04:46:00.000,2023-11-13,16,ABMag,B - Johnson,2.9382977810773583,10.617076054857057,Galaxy,-23.361671272214423,745.3053769778271,0.1795,"['162.099853' '26.415711' 'Galaxy' '745.3053769778271' '0.1795'
 '2.9382977810773583' '10.617076054857057']",Liana Druzhbina
2023xpy,02:11:08.715,-02:33:52.99,2023-11-12 08:54:09.216,2023-11-13,21.43,ABMag,w - P1,3.0364990213114185,21.628117796198293,Galaxy,-19.405353569818487,1469.1654749186755,0.3709,"['32.78559' '-2.564283' 'Galaxy' '1469.1654749186755' '0.3709'
 '3.0364990213114185' '21.628117796198293']",K. C. Chambers
2023xpf*,10:43:57.993,+22:20:13.26,2023-11-12 11:10:31.996,2023-11-13,19.3657,ABMag,g - ZTF,3.237126570081257,3.67839880909919,Galaxy,-17.483921330336567,234.38200553753464,0.05485,"['160.990965' '22.337666' 'Galaxy' '234.38200553753464' '0.05485'
 '3.237126570081257' '3.67839880909919']",F. Forster
2023xow,01:51:30.453,+29:06:11.20,2023-11-11 10:12:50.976,2023-11-13,19.261,ABMag,cyan - ATLAS,3.264240278100918,3.9994935948224204,Galaxy,-17.752240097294692,252.7248919039046,0.0592,"['27.876313' '29.102356' 'Galaxy' '252.7248919039046' '0.0592'
 '3.264240278100918' '3.9994935948224204']",J. Tonry
2023xph,00:51:39.743,-05:12:03.55,2023-11-10 07:38:22.001,2023-11-13,20.1144,ABMag,g - ZTF,4.3695724401713125,9.76434689380424,Galaxy,-18.2037469479168,460.9240715869106,0.1092,"['12.916739' '-5.201407' 'Galaxy' '460.9240715869106' '0.1092'
 '4.3695724401713125' '9.76434689380424']",F. Forster
2023xpe,10:35:14.120,+52:47:23.96,2023-11-10 10:56:38.003,2023-11-13,20.4224,ABMag,r - ZTF,4.596719354698534,29.26038860727959,Galaxy,-20.1688861673552,1312.9773478053285,0.3279,"['158.810861' '52.790345' 'Galaxy' '1312.9773478053285' '0.3279'
 '4.596719354698534' '29.26038860727959']",F. Forster
2023xof,05:01:04.574,+12:33:27.64,2023-11-10 09:15:50.400,2023-11-13,20.4,ABMag,g - ZTF,4.608640135543242,5.373575693783467,Galaxy,-16.505578531827226,240.50034647062077,0.0563,"['75.269109' '12.558957' 'Galaxy' '240.50034647062077' '0.0563'
 '4.608640135543242' '5.373575693783467']",C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
