TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter
2023aahe,03:02:45.635,+19:31:05.46,2023-12-12 04:53:29.003,2023-12-18,20.6183,ABMag,r - ZTF,0.008419015050789588,0.049906232537680006,Galaxy,-19.818293166480903,1222.6963993988227,0.3035,"['45.690146' '19.518181' 'Galaxy' '1222.6963993988227' '0.3035'
 '0.008419015050789588' '0.049906232537680006']",Galaxy,-20.020382785104847,1341.9506870726896,0.3358,"['45.691389' '19.517585' 'Galaxy' '1341.9506870726896' '0.3358'
 '4.736368924225553' '30.81462925059315']",,,,,,F. Forster
2023aagn,08:31:12.273,+38:56:27.27,2023-12-13 08:40:57.999,2023-12-18,20.9591,ABMag,r - ZTF,0.02918202585104291,0.12567143591023372,Galaxy,-18.783631368114015,888.272615795427,0.2158,"['127.801147' '38.940905' 'Galaxy' '888.272615795427' '0.2158'
 '0.02918202585104291' '0.12567143591023372']",Galaxy,-19.879433583703992,1471.3185712197642,0.3715,"['127.801803' '38.940986' 'Galaxy' '1471.3185712197642' '0.3715'
 '1.8842988255766833' '13.440993188488536']",Galaxy,-19.890519258029656,1478.8490667644996,0.3736,"['127.80067' '38.93971' 'Galaxy' '1478.8490667644996' '0.3736'
 '4.508234693812862' '32.32252166957381']",F. Forster
2023aahd,02:18:18.752,+21:35:12.82,2023-12-13 04:30:37.999,2023-12-18,20.6986,ABMag,g - ZTF,0.10443214713826768,0.7521889470756931,Galaxy,-20.160989366852483,1485.6546731447397,0.3755,"['34.578162' '21.586883' 'Galaxy' '1485.6546731447397' '0.3755'
 '0.10443214713826768' '0.7521889470756931']",,,,,,,,,,,F. Forster
2023aahv,02:43:45.503,-02:06:53.45,2023-09-25 13:43:58.080,2023-12-18,21.5,ABMag,w - P1,0.132843914961822,0.69757976102805,Galaxy,-18.673386695640005,1083.1219051405603,0.2664,"['40.939629' '-2.114831' 'Galaxy' '1083.1219051405603' '0.2664'
 '0.132843914961822' '0.69757976102805']",,,,,,,,,,,K. C. Chambers
2023aajv,09:29:26.548,+23:40:08.43,2023-12-16 12:18:37.152,2023-12-18,21.38,ABMag,w - P1,0.37563900139732087,1.371783259208182,Galaxy,-18.004699772630193,753.2514121343228,0.1815,"['142.360726' '23.668979' 'Galaxy' '753.2514121343228' '0.1815'
 '0.37563900139732087' '1.371783259208182']",,,,,,,,,,,K. C. Chambers
2023aakh,01:57:18.569,-03:22:34.20,2023-12-16 06:53:24.576,2023-12-18,19.91,ABMag,w - P1,0.42245138054054776,0.576183779430883,Galaxy,-17.33604713730428,281.32571250029224,0.066,"['29.327369' '-3.376284' 'Galaxy' '281.32571250029224' '0.066'
 '0.42245138054054776' '0.576183779430883']",,,,,,,,,,,K. C. Chambers
2023aagk,04:18:49.607,+07:43:05.55,2023-12-16 06:04:57.000,2023-12-18,19.6881,ABMag,r - ZTF,0.4837465178442949,3.540409396911361,Galaxy,-21.206203830519534,1509.5961032445732,0.3822,"['64.706617' '7.718099' 'Galaxy' '1509.5961032445732' '0.3822'
 '0.4837465178442949' '3.540409396911361']",,,,,,,,,,,F. Forster
2023aajd*,15:10:07.086,+10:06:39.88,2023-05-20 09:24:28.800,2023-12-18,19.31,ABMag,r - ZTF,0.4895941126594453,0.8336802172516579,Galaxy,-18.417942212240806,351.22744338997967,0.08271,"['227.529475' '10.110951' 'Galaxy' '351.22744338997967' '0.08271'
 '0.4895941126594453' '0.8336802172516579']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023aake,07:46:14.246,+34:41:27.34,2023-12-16 10:14:06.144,2023-12-18,20.56,ABMag,w - P1,0.5076225702911089,1.5722507567663613,Galaxy,-18.46703010928284,638.8604776637435,0.1529,"['116.559487' '34.691021' 'Galaxy' '638.8604776637435' '0.1529'
 '0.5076225702911089' '1.5722507567663613']",,,,,,,,,,,K. C. Chambers
2023aakg,09:35:09.013,+22:17:32.48,2023-12-16 12:19:42.816,2023-12-18,20.3,ABMag,w - P1,0.7102506721358829,2.271883689087177,Galaxy,-18.796997866811257,659.7806483651084,0.1581,"['143.787675' '22.292193' 'Galaxy' '659.7806483651084' '0.1581'
 '0.7102506721358829' '2.271883689087177']",,,,,,,,,,,K. C. Chambers
2023aahx,01:41:37.605,+05:55:33.34,2023-10-19 09:38:31.200,2023-12-18,21.92,ABMag,w - P1,0.7706816461295787,6.172738810100493,Galaxy,-19.170140088472394,1652.0683748858282,0.4226,"['25.406789' '5.925739' 'Galaxy' '1652.0683748858282' '0.4226'
 '0.7706816461295787' '6.172738810100493']",,,,,,,,,,,K. C. Chambers
2023aaic,13:00:54.520,-01:22:19.04,2023-12-17 06:12:07.488,2023-12-18,20.24,ABMag,L - GOTO,0.9876636949647261,3.8021534930491385,Galaxy,-19.25922844242898,794.0460478116024,0.1918,"['195.226893' '-1.371976' 'Galaxy' '794.0460478116024' '0.1918'
 '0.9876636949647261' '3.8021534930491385']",,,,,,,,,,,G. Ramsay
2023aaho,12:21:57.785,+14:35:32.20,2023-12-15 15:03:17.856,2023-12-18,20.22,ABMag,w - P1,1.172239030326839,1.8488104253197692,Galaxy,-17.341506686370934,325.31293901187655,0.0765,"['185.4905' '14.592471' 'Galaxy' '325.31293901187655' '0.0765'
 '1.172239030326839' '1.8488104253197692']",,,,,,,,,,,K. C. Chambers
2023aags,07:22:04.593,+37:31:56.82,2023-12-11 08:46:11.001,2023-12-18,20.8064,ABMag,g - ZTF,1.2912364594823247,4.316072622475085,Galaxy,-18.38614048190451,689.4584463532633,0.1655,"['110.5187' '37.532541' 'Galaxy' '689.4584463532633' '0.1655'
 '1.2912364594823247' '4.316072622475085']",,,,,,,,,,,F. Forster
2023aakd,08:47:10.046,+10:20:33.85,2023-12-16 10:59:36.384,2023-12-18,20.46,ABMag,w - P1,1.4439068182249304,5.572352019769651,Galaxy,-19.044622550564306,796.0209725221465,0.1923,"['131.792218' '10.342925' 'Galaxy' '796.0209725221465' '0.1923'
 '1.4439068182249304' '5.572352019769651']",,,,,,,,,,,K. C. Chambers
2023aagp*,08:41:05.253,+53:57:27.17,2023-12-14 10:21:23.000,2023-12-18,20.8043,ABMag,g - ZTF,1.5196398709438317,5.559174629130822,Galaxy,-18.58417385082461,754.5617219529502,0.18183,"['130.271345' '53.957271' 'Galaxy' '754.5617219529502' '0.18183'
 '1.5196398709438317' '5.559174629130822']",,,,,,,,,,,F. Forster
2023aaka,07:32:26.447,+28:29:22.70,2023-12-16 10:19:42.240,2023-12-18,20.81,ABMag,w - P1,1.5289193713482503,3.0249328801928654,Galaxy,-17.24378146289577,408.0903192977854,0.0964,"['113.109713' '28.489622' 'Galaxy' '408.0903192977854' '0.0964'
 '1.5289193713482503' '3.0249328801928654']",,,,,,,,,,,K. C. Chambers
2023aahz,01:36:44.984,-06:17:12.52,2023-12-12 05:51:21.600,2023-12-18,19.97,ABMag,g - ZTF,1.5500740970574474,3.787720305750076,Galaxy,-18.542252882127784,504.0232569912569,0.1197,"['24.187811' '-6.287022' 'Galaxy' '504.0232569912569' '0.1197'
 '1.5500740970574474' '3.787720305750076']",,,,,,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023aahs,02:41:03.785,+04:59:15.59,2023-09-20 10:43:58.080,2023-12-18,21.35,ABMag,w - P1,1.555509514279113,2.127901720421841,Galaxy,-15.902520135284249,282.1655747170472,0.0662,"['40.265692' '4.987239' 'Galaxy' '282.1655747170472' '0.0662'
 '1.555509514279113' '2.127901720421841']",,,,,,,,,,,K. C. Chambers
2023aahu,03:30:08.393,+00:35:52.70,2023-09-19 14:19:31.296,2023-12-18,21.39,ABMag,w - P1,1.6071476762819592,5.256520858149829,Galaxy,-17.755338702679374,674.633247671232,0.1618,"['52.534812' '0.597555' 'Galaxy' '674.633247671232' '0.1618'
 '1.6071476762819592' '5.256520858149829']",,,,,,,,,,,K. C. Chambers
2023aajp,11:54:20.040,+02:32:10.25,2023-12-16 14:33:46.656,2023-12-18,19.61,ABMag,w - P1,1.6424232188703602,2.1196306606552637,Galaxy,-17.516001250819883,266.19521844993193,0.0624,"['178.583584' '2.536629' 'Galaxy' '266.19521844993193' '0.0624'
 '1.6424232188703602' '2.1196306606552637']",,,,,,,,,,,K. C. Chambers
2023aagy,08:29:15.854,+46:23:11.80,2023-12-13 09:42:11.002,2023-12-18,20.8128,ABMag,g - ZTF,1.7310722440249076,4.729906966671225,Galaxy,-17.942012694138196,563.5890399267506,0.1343,"['127.315461' '46.386859' 'Galaxy' '563.5890399267506' '0.1343'
 '1.7310722440249076' '4.729906966671225']",,,,,,,,,,,F. Forster
