TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Reporter,SDSS_image
2023acfi,23:53:40.867,+18:55:26.24,2023-12-30 06:52:56.064,2024-01-01,15.598,ABMag,orange - ATLAS,0.132331409700262,0.901600166312529,Galaxy,-25.140880885737204,1405.3230744773423,0.3532,"['358.420243' '18.923969' 'Galaxy' '1405.3230744773423' '0.3532'
 '0.132331409700262' '0.901600166312529']",J. Tonry,No
2023acgb,16:09:05.214,+50:00:42.70,2023-12-29 15:28:01.344,2024-01-01,18.028,ABMag,orange - ATLAS,0.2297709109962314,1.7259908164859936,Galaxy,-22.922842838079028,1549.4178952589039,0.3934,"['242.271626' '50.011856' 'Galaxy' '1549.4178952589039' '0.3934'
 '0.2297709109962314' '1.7259908164859936']",J. Tonry,No
2023acgd,00:03:20.117,+36:29:56.67,2023-12-29 07:08:49.056,2024-01-01,18.851,ABMag,orange - ATLAS,0.30369341938660815,0.7830219438883611,Galaxy,-19.777818424350826,531.8187989292055,0.1265,"['0.833721' '36.499101' 'Galaxy' '531.8187989292055' '0.1265'
 '0.30369341938660815' '0.7830219438883611']",J. Tonry,No
2023acey,13:39:00.524,+45:14:02.23,2023-12-30 14:42:00.000,2024-01-01,19.44,ABMag,i - P1,0.33816842849947804,0.4600593149842181,Galaxy,-17.80052951142471,280.6117823617968,0.06583,"['204.752123' '45.233869' 'Galaxy' '280.6117823617968' '0.06583'
 '0.33816842849947804' '0.4600593149842181']",K. C. Chambers,Yes
2023acem,01:53:34.900,+03:51:51.22,2023-12-30 05:56:21.408,2024-01-01,20.78,ABMag,w - P1,0.45087447115207974,1.1562580449588278,Galaxy,-17.837121273664742,528.9617329889147,0.1258,"['28.3953' '3.864274' 'Galaxy' '528.9617329889147' '0.1258'
 '0.45087447115207974' '1.1562580449588278']",K. C. Chambers,No
2023acfr,16:01:31.397,+23:28:45.73,2023-12-28 15:22:57.216,2024-01-01,18.395,ABMag,orange - ATLAS,0.5345022830703794,3.2483523575260667,Galaxy,-22.095693504011333,1253.5414550547277,0.3118,"['240.380824' '23.479221' 'Galaxy' '1253.5414550547277' '0.3118'
 '0.5345022830703794' '3.2483523575260667']",J. Tonry,No
2023acei,01:21:31.318,+02:36:32.89,2023-12-30 05:47:00.672,2024-01-01,20.98,ABMag,w - P1,0.6402862423720368,1.577293127219401,Galaxy,-17.549816868755276,508.1165887131742,0.1207,"['20.38061' '2.609269' 'Galaxy' '508.1165887131742' '0.1207'
 '0.6402862423720368' '1.577293127219401']",K. C. Chambers,No
2023acfg,10:56:37.621,+09:41:26.22,2023-12-28 11:24:52.704,2024-01-01,18.044,ABMag,orange - ATLAS,0.7699714494156052,6.49783024844567,Galaxy,-23.159594364326114,1740.6797332963044,0.4482,"['164.156929' '9.69049' 'Galaxy' '1740.6797332963044' '0.4482'
 '0.7699714494156052' '6.49783024844567']",J. Tonry,No
2023acds,12:45:06.003,+37:04:28.30,2023-12-30 13:05:46.752,2024-01-01,19.55,ABMag,i - P1,0.7887240580892028,1.0347732552673163,Galaxy,-17.61172620238857,270.610871844619,0.06345,"['191.275179' '37.074702' 'Galaxy' '270.610871844619' '0.06345'
 '0.7887240580892028' '1.0347732552673163']",K. C. Chambers,Yes
2023acdx,04:20:14.397,+31:22:43.48,2023-12-28 09:59:17.952,2024-01-01,18.269,ABMag,orange - ATLAS,0.8100585688713666,0.346641161341878,Galaxy,-16.459944219113837,88.26506468583898,0.0205,"['65.060166' '31.37891' 'Galaxy' '88.26506468583898' '0.0205'
 '0.8100585688713666' '0.346641161341878']",J. Tonry,No
2023aceq,01:10:52.790,+03:08:59.63,2023-12-30 05:43:58.368,2024-01-01,21.62,ABMag,w - P1,0.8165296461794166,4.4122647872092,Galaxy,-18.61557371465685,1114.5889750785998,0.2747,"['17.719743' '3.149825' 'Galaxy' '1114.5889750785998' '0.2747'
 '0.8165296461794166' '4.4122647872092']",K. C. Chambers,No
2023acec,13:15:41.332,+47:31:47.84,2023-12-30 14:44:45.888,2024-01-01,19.98,ABMag,i - P1,0.8731213069016381,3.369565969597909,Galaxy,-19.524622550564306,796.0209725221465,0.1923,"['198.922567' '47.529902' 'Galaxy' '796.0209725221465' '0.1923'
 '0.8731213069016381' '3.369565969597909']",K. C. Chambers,No
2023acgx,03:55:39.326,-06:15:03.92,2023-12-31 06:36:52.704,2024-01-01,20.78,ABMag,w - P1,0.944194277523551,8.754164382301584,Galaxy,-20.627892332845512,1912.3988178700579,0.4989,"['58.913844' '-6.250827' 'Galaxy' '1912.3988178700579' '0.4989'
 '0.944194277523551' '8.754164382301584']",K. C. Chambers,No
2023acfx,23:40:55.706,+08:52:27.15,2023-12-30 06:03:16.992,2024-01-01,18.908,ABMag,orange - ATLAS,0.9570472058881825,0.7858339537189803,Galaxy,-17.23611281529289,169.36456969944174,0.0395,"['355.232137' '8.873944' 'Galaxy' '169.36456969944174' '0.0395'
 '0.9570472058881825' '0.7858339537189803']",J. Tonry,No
2023acex,01:31:59.562,+00:38:24.62,2023-12-30 05:48:52.992,2024-01-01,20.62,ABMag,w - P1,1.0489927928006189,1.860122666239346,Galaxy,-17.195971068254355,365.7583197736125,0.0862,"['22.998307' '0.640432' 'Galaxy' '365.7583197736125' '0.0862'
 '1.0489927928006189' '1.860122666239346']",K. C. Chambers,Yes
2023acgu,02:06:50.937,-05:39:57.63,2023-12-31 05:27:05.760,2024-01-01,21.79,ABMag,w - P1,1.4348057839837645,7.65313741664796,Galaxy,-18.417357629295914,1100.1997092918307,0.2709,"['31.711906' '-5.666232' 'Galaxy' '1100.1997092918307' '0.2709'
 '1.4348057839837645' '7.65313741664796']",K. C. Chambers,No
2023acek,01:52:24.821,-08:27:35.36,2023-12-30 05:20:40.416,2024-01-01,21.17,ABMag,w - P1,2.239060357339724,2.9307081100338106,Galaxy,-15.986659492455203,269.98018990553845,0.0633,"['28.102796' '-8.459892' 'Galaxy' '269.98018990553845' '0.0633'
 '2.239060357339724' '2.9307081100338106']",K. C. Chambers,No
2023acer,01:38:47.539,-03:33:49.75,2023-12-30 05:15:58.752,2024-01-01,20.29,ABMag,w - P1,2.462651878486934,9.362348890498424,Galaxy,-19.182034651227973,784.1640537106399,0.1893,"['24.697624' '-3.563308' 'Galaxy' '784.1640537106399' '0.1893'
 '2.462651878486934' '9.362348890498424']",K. C. Chambers,No
2023aceg,01:45:26.701,-02:34:11.51,2023-12-30 05:17:52.800,2024-01-01,21.77,ABMag,w - P1,2.4891384108679353,7.665805214645064,Galaxy,-17.24466933170879,635.2341920553405,0.152,"['26.360655' '-2.57021' 'Galaxy' '635.2341920553405' '0.152'
 '2.4891384108679353' '7.665805214645064']",K. C. Chambers,No
