TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Reporter,SDSS_image
2024eoc,12:19:24.603,+18:04:15.22,2024-03-17 09:38:57.984,2024-03-18,18.85,ABMag,orange - ATLAS,0.335542402538228,0.3091504015219123,Galaxy,-17.544237690956813,190.04110115707257,0.04437,"['184.852471' '18.07081' 'Galaxy' '190.04110115707257' '0.04437'
 '0.335542402538228' '0.3091504015219123']",,,,,,J. Tonry,Yes
2024emx,16:43:13.782,+09:54:16.64,2024-03-16 02:34:11.712,2024-03-18,17.547,ABMag,cyan - ATLAS,0.37290565162297745,0.24923652711901098,Galaxy,-18.15018929447496,137.8598681812539,0.0321,"['250.807442' '9.90452' 'Galaxy' '137.8598681812539' '0.0321'
 '0.37290565162297745' '0.24923652711901098']",,,,,,J. Tonry,No
2024enr,15:22:03.506,+15:12:01.27,2024-03-16 12:53:15.072,2024-03-18,19.209,ABMag,orange - ATLAS,0.48766349717359864,1.0965531976486587,Galaxy,-19.12267295038968,463.8041070721947,0.1099,"['230.514468' '15.200356' 'Galaxy' '463.8041070721947' '0.1099'
 '0.48766349717359864' '1.0965531976486587']",,,,,,J. Tonry,No
2024enn,13:49:14.207,+11:46:06.06,2024-03-16 00:10:55.776,2024-03-18,19.309,ABMag,cyan - ATLAS,0.5436836165324018,1.5668256635576245,Galaxy,-19.561497817394713,594.4284177214151,0.1419,"['207.309221' '11.768201' 'Galaxy' '594.4284177214151' '0.1419'
 '0.5436836165324018' '1.5668256635576245']",,,,,,J. Tonry,No
2024ena,08:23:04.634,+60:15:16.89,2024-03-16 09:03:48.096,2024-03-18,18.985,ABMag,orange - ATLAS,0.7337569562365022,1.2839601232735085,Galaxy,-18.802122187229457,360.9312099866657,0.08504,"['125.769352' '60.254489' 'Galaxy' '360.9312099866657' '0.08504'
 '0.7337569562365022' '1.2839601232735085']",,,,,,J. Tonry,Yes
2024eng,11:32:19.888,-06:48:23.23,2024-03-15 22:40:05.664,2024-03-18,19.452,ABMag,cyan - ATLAS,0.9103816603833966,2.7093070589030197,Galaxy,-19.48829930707625,613.8466094966401,0.1467,"['173.082615' '-6.806414' 'Galaxy' '613.8466094966401' '0.1467'
 '0.9103816603833966' '2.7093070589030197']",,,,,,J. Tonry,No
2024enm,13:05:20.262,-00:50:24.94,2024-03-15 10:16:05.376,2024-03-18,19.077,ABMag,orange - ATLAS,0.9939083059572286,1.6843934096026634,Galaxy,-18.640611733714405,349.560495868007,0.08231,"['196.334523' '-0.840003' 'Galaxy' '349.560495868007' '0.08231'
 '0.9939083059572286' '1.6843934096026634']",,,,,,J. Tonry,Yes
2024enx,16:53:12.735,+49:48:06.28,2024-03-14 14:11:17.088,2024-03-18,18.757,ABMag,orange - ATLAS,1.0508552259063562,0.5609306115460245,Galaxy,-16.451956930859,110.10103109949807,0.0256,"['253.302871' '49.80148' 'Galaxy' '110.10103109949807' '0.0256'
 '1.0508552259063562' '0.5609306115460245']",,,,,,J. Tonry,No
2024enz,09:36:51.996,+55:44:31.37,2024-03-14 09:34:04.224,2024-03-18,19.039,ABMag,orange - ATLAS,1.2267629075610256,4.449260506323967,Galaxy,-20.33076165828512,748.087385622146,0.1802,"['144.217054' '55.742301' 'Galaxy' '748.087385622146' '0.1802'
 '1.2267629075610256' '4.449260506323967']",,,,,,J. Tonry,No
2024enb,16:29:49.070,+00:49:00.85,2024-03-16 02:28:18.336,2024-03-18,19.13,ABMag,cyan - ATLAS,1.6966956254058174,1.5154339035804236,Galaxy,-17.196790960890805,184.22908375131482,0.043,"['247.453987' '0.816907' 'Galaxy' '184.22908375131482' '0.043'
 '1.6966956254058174' '1.5154339035804236']",Galaxy,-18.30384303983109,306.73872494763873,0.07206,"['247.453535' '0.814562' 'Galaxy' '306.73872494763873' '0.07206'
 '9.058570239293815' '13.47110219817319']",J. Tonry,Yes
2024emy,11:14:18.059,-00:20:27.66,2024-03-15 22:30:12.960,2024-03-18,19.633,ABMag,cyan - ATLAS,1.9235900160940236,2.04595180688182,Galaxy,-17.073040092015372,219.38554967995336,0.0513,"['168.57515' '-0.340491' 'Galaxy' '219.38554967995336' '0.0513'
 '1.9235900160940236' '2.04595180688182']",,,,,,J. Tonry,No
2024enc,14:02:28.196,+07:31:08.53,2024-03-16 00:12:53.280,2024-03-18,19.27,ABMag,cyan - ATLAS,2.10143911245273,6.2950653663845335,Galaxy,-19.684542830386132,617.8863001298472,0.1477,"['210.618058' '7.518909' 'Galaxy' '617.8863001298472' '0.1477'
 '2.10143911245273' '6.2950653663845335']",,,,,,J. Tonry,No
2024enj,16:19:44.128,-04:36:36.55,2024-03-16 02:21:04.608,2024-03-18,19.405,ABMag,cyan - ATLAS,4.686598832585551,9.873470799055408,Galaxy,-18.785185996268908,434.5474434986157,0.1028,"['244.932604' '-4.60982' 'Galaxy' '434.5474434986157' '0.1028'
 '4.686598832585551' '9.873470799055408']",,,,,,J. Tonry,No
2024eny,16:39:55.566,+48:45:57.89,2024-03-14 13:36:15.840,2024-03-18,18.236,ABMag,orange - ATLAS,6.674525899994273,57.976461495997206,Galaxy,-23.030282079406543,1791.6633746036382,0.4631,"['249.980235' '48.764433' 'Galaxy' '1791.6633746036382' '0.4631'
 '6.674525899994273' '57.976461495997206']",,,,,,J. Tonry,No
2024env,07:50:30.664,+14:44:42.30,2024-03-15 07:33:15.264,2024-03-18,18.951,ABMag,orange - ATLAS,6.691597780207919,14.191213823331138,Galaxy,-19.253574242581735,437.4363292484835,0.1035,"['117.626352' '14.743825' 'Galaxy' '437.4363292484835' '0.1035'
 '6.691597780207919' '14.191213823331138']",,,,,,J. Tonry,No
