TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter,SDSS_image
2024hzg,15:52:13.221,+46:42:18.19,2024-04-28 09:25:33.004,2024-05-04,20.7008,ABMag,g - ZTF,0.17035195815125123,1.5940189253518833,Galaxy,-20.727057382512726,1930.0629612211221,0.5042,"['238.055058' '46.70501' 'Galaxy' '1930.0629612211221' '0.5042'
 '0.17035195815125123' '1.5940189253518833']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hxx,11:11:29.260,+29:45:27.29,2024-04-22 05:50:45.000,2024-05-04,19.7558,ABMag,g - ZTF,0.1784348892295664,0.4731142568029628,Galaxy,-18.933756964404992,546.9043691105611,0.1302,"['167.87187' '29.757552' 'Galaxy' '546.9043691105611' '0.1302'
 '0.1784348892295664' '0.4731142568029628']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hxm,07:42:06.666,+22:33:21.24,2024-04-29 04:21:21.003,2024-05-04,19.4069,ABMag,g - ZTF,0.24468452128164467,1.9187283308457068,Galaxy,-21.63726062236146,1617.4546934166601,0.4127,"['115.527707' '22.555874' 'Galaxy' '1617.4546934166601' '0.4127'
 '0.24468452128164467' '1.9187283308457068']",,,,,,,,,,,Sophia Risin (UC Berkeley),No
2024hzj,14:53:02.963,+09:21:53.15,2024-04-30 08:04:47.001,2024-05-04,20.3639,ABMag,g - ZTF,0.26363230313012076,0.7943809407534151,Galaxy,-18.603376626168483,621.5203102540228,0.1486,"['223.262368' '9.364694' 'Galaxy' '621.5203102540228' '0.1486'
 '0.26363230313012076' '0.7943809407534151']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hxs,10:05:10.141,+59:15:54.89,2024-04-16 05:14:16.998,2024-05-04,20.293,ABMag,r - ZTF,0.2998900078462485,1.0968899454810652,Galaxy,-19.095130965987707,754.4425828168547,0.1818,"['151.292247' '59.265164' 'Galaxy' '754.4425828168547' '0.1818'
 '0.2998900078462485' '1.0968899454810652']",Galaxy,-20.7549222070137,1620.2589959312422,0.4135,"['151.28772' '59.265209' 'Galaxy' '1620.2589959312422' '0.4135'
 '8.343243105604115' '65.5381542885421']",,,,,,Gabrielle Stewart (UC Berkeley),No
2024hza,20:56:54.717,+15:13:17.85,2024-04-30 10:46:08.000,2024-05-04,19.9117,ABMag,r - ZTF,0.32720364720590667,1.0300461366211453,Galaxy,-19.150618373430728,649.3273181873203,0.1555,"['314.227925' '15.221693' 'Galaxy' '649.3273181873203' '0.1555'
 '0.32720364720590667' '1.0300461366211453']",Galaxy,-inf,inf,inf,['314.230302' '15.222587' 'Galaxy' 'inf' 'inf' '8.754039926911904' 'inf'],,,,,,A. Munoz-Arancibia,No
2024hzi,15:30:39.545,+29:16:35.90,2024-04-30 08:08:51.996,2024-05-04,20.674,ABMag,g - ZTF,0.3318317919573773,1.3117044743690403,Galaxy,-18.882715703686927,815.3482449977713,0.1972,"['232.664708' '29.276713' 'Galaxy' '815.3482449977713' '0.1972'
 '0.3318317919573773' '1.3117044743690403']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hyx,08:10:48.331,+20:27:04.32,2024-05-03 04:11:19.997,2024-05-04,19.95,ABMag,r - ZTF,0.36716824153365524,0.9988920190661895,Galaxy,-18.795392834221463,561.1494826327536,0.1337,"['122.7013' '20.45113' 'Galaxy' '561.1494826327536' '0.1337'
 '0.36716824153365524' '0.9988920190661895']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hws,09:57:09.534,+62:01:04.62,2024-05-02 23:30:30.528,2024-05-04,19.35,ABMag,L - GOTO,0.37531139263283186,2.5491541739823567,Galaxy,-21.382147440303832,1400.972105006776,0.352,"['149.289897' '62.018016' 'Galaxy' '1400.972105006776' '0.352'
 '0.37531139263283186' '2.5491541739823567']",,,,,,,,,,,B. Gompertz,No
2024hzy,15:46:06.266,+32:44:09.63,2024-03-20 12:08:04.997,2024-05-04,20.6579,ABMag,r - ZTF,0.4523941361673565,2.8514707137839226,Galaxy,-19.911985407789235,1300.1009677324969,0.3244,"['236.525969' '32.735963' 'Galaxy' '1300.1009677324969' '0.3244'
 '0.4523941361673565' '2.8514707137839226']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hyq,20:04:02.759,+09:43:45.44,2024-04-30 11:09:49.003,2024-05-04,20.1796,ABMag,g - ZTF,0.6247129604092623,1.5575144562078806,Galaxy,-18.376283517382227,514.2528455405857,0.1222,"['301.01152' '9.729117' 'Galaxy' '514.2528455405857' '0.1222'
 '0.6247129604092623' '1.5575144562078806']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hzr,16:38:05.536,+39:30:22.50,2024-05-01 13:28:28.416,2024-05-04,20.6,ABMag,w - P1,0.6337784901606709,0.49531153514676535,Galaxy,-15.436830399121014,161.2003868984201,0.03758,"['249.523236' '39.506132' 'Galaxy' '161.2003868984201' '0.03758'
 '0.6337784901606709' '0.49531153514676535']",,,,,,,,,,,K. C. Chambers,Yes
2024hxg,10:02:39.343,+03:46:49.45,2024-04-30 05:54:30.997,2024-05-04,20.0586,ABMag,r - ZTF,0.9140867106232182,2.4795907003162574,Galaxy,-18.680488685070173,559.5227339322302,0.1333,"['150.663729' '3.780246' 'Galaxy' '559.5227339322302' '0.1333'
 '0.9140867106232182' '2.4795907003162574']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hxq,23:39:18.920,+31:30:58.41,2024-04-20 11:51:09.996,2024-05-04,19.7944,ABMag,r - ZTF,0.9634183190984793,8.322283082261318,Galaxy,-21.45986358683339,1781.7744104018498,0.4602,"['354.828648' '31.516441' 'Galaxy' '1781.7744104018498' '0.4602'
 '0.9634183190984793' '8.322283082261318']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hzm,09:06:04.368,+56:39:54.29,2024-04-29 05:15:21.004,2024-05-04,19.9011,ABMag,r - ZTF,1.0342724782804726,2.364824112120671,Galaxy,-18.466845048383917,471.6165203483406,0.1118,"['136.5184' '56.665346' 'Galaxy' '471.6165203483406' '0.1118'
 '1.0342724782804726' '2.364824112120671']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hxw,15:55:35.058,+39:55:21.48,2024-04-30 08:15:49.999,2024-05-04,20.4178,ABMag,g - ZTF,1.0738447441536099,1.6298357708275617,Galaxy,-17.06033741284653,313.0599291139154,0.07357,"['238.895977' '39.922922' 'Galaxy' '313.0599291139154' '0.07357'
 '1.0738447441536099' '1.6298357708275617']",,,,,,,,,,,Daniel Perley (LJMU),Yes
2024hxv,09:30:28.866,+03:50:21.97,2024-04-29 04:28:10.004,2024-05-04,19.3194,ABMag,g - ZTF,1.277237018535682,2.337452937042454,Galaxy,-18.565082556329017,377.482229356607,0.08902,"['142.619935' '3.83954' 'Galaxy' '377.482229356607' '0.08902'
 '1.277237018535682' '2.337452937042454']",,,,,,,,,,,Daniel Perley (LJMU),Yes
2024hzc,14:42:04.173,+09:25:35.04,2024-04-30 08:04:47.001,2024-05-04,21.0329,ABMag,g - ZTF,1.5098132898823378,4.178888663937783,Galaxy,-17.74991344962306,570.9034795055303,0.1361,"['220.517743' '9.42663' 'Galaxy' '570.9034795055303' '0.1361'
 '1.5098132898823378' '4.178888663937783']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hwx,07:30:11.060,+17:39:36.40,2024-05-02 17:05:54.816,2024-05-04,20,VegaMag,Clear - ,1.5876884652833168,9.856858220851374,Galaxy,-20.536991766862663,1280.5553454691772,0.3191,"['112.545659' '17.659935' 'Galaxy' '1280.5553454691772' '0.3191'
 '1.5876884652833168' '9.856858220851374']",,,,,,,,,,,V. Lipunov,No
2024hwp,09:17:28.938,-02:04:54.15,2024-05-03 04:30:25.920,2024-05-04,19,ABMag,r - ZTF,1.79928000734015,2.2743471941114866,Galaxy,-18.08091571091292,260.7252797908878,0.0611,"['139.37043' '-2.08123' 'Galaxy' '260.7252797908878' '0.0611'
 '1.79928000734015' '2.2743471941114866']",,,,,,,,,,,J. Nordin,No
2024hzb,15:01:37.255,+08:23:58.69,2024-04-30 09:19:31.999,2024-05-04,20.4232,ABMag,r - ZTF,1.833460726712305,10.582996333872561,Galaxy,-19.955610835951795,1190.5898264239618,0.2949,"['225.404838' '8.399305' 'Galaxy' '1190.5898264239618' '0.2949'
 '1.833460726712305' '10.582996333872561']",Galaxy,-19.53333015874216,980.1804401195557,0.2395,"['225.406885' '8.401675' 'Galaxy' '980.1804401195557' '0.2395'
 '9.415450558373262' '44.7426812135002']",,,,,,A. Munoz-Arancibia,No
2024hxj,07:54:48.958,+34:17:05.66,2024-04-29 04:46:40.995,2024-05-04,19.3535,ABMag,r - ZTF,1.9481275005050618,3.6546589133673804,Galaxy,-18.584773034610993,386.94978253414394,0.0913,"['118.70439' '34.284476' 'Galaxy' '386.94978253414394' '0.0913'
 '1.9481275005050618' '3.6546589133673804']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hyu,14:34:00.262,+44:56:45.28,2024-04-30 07:49:22.996,2024-05-04,20.8533,ABMag,g - ZTF,2.0989102935466573,5.041305564736808,Galaxy,-17.62157138766177,495.4208470653836,0.1176,"['218.501174' '44.945331' 'Galaxy' '495.4208470653836' '0.1176'
 '2.0989102935466573' '5.041305564736808']",,,,,,,,,,,A. Munoz-Arancibia,No
2024hxr,09:22:55.339,+63:07:35.11,2024-04-20 06:58:03.000,2024-05-04,19.9327,ABMag,g - ZTF,2.191394669658545,12.090357812966857,Galaxy,-20.348018431007272,1138.0037317460374,0.2809,"['140.729276' '63.126266' 'Galaxy' '1138.0037317460374' '0.2809'
 '2.191394669658545' '12.090357812966857']",,,,,,,,,,,Daniel Perley (LJMU),No
2024hyv,10:55:29.032,+66:37:01.10,2024-05-01 07:07:04.996,2024-05-04,20.3684,ABMag,g - ZTF,2.3161175683049327,6.7520333986438725,Galaxy,-18.52709557104916,601.3109523505132,0.1436,"['163.869401' '66.617139' 'Galaxy' '601.3109523505132' '0.1436'
 '2.3161175683049327' '6.7520333986438725']",,,,,,,,,,,A. Munoz-Arancibia,No
