TNS_ID,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2023whs,ZTF23abfaevu,,0.55,0.32,20.1901,19.8656,2023-09-26T11:12:58.996795,1,1,rising/peak,,SN,2.94,20.1901,19.7514,19.7016,19.2919,0.41,0.0045,60203.4,60213.5,49.8854393,44.08145545
2023wht,ZTF23abehizu,,,,19.4286,,2023-09-25T04:39:33.998413,2,2,,,SN,1.68,19.4286,,18.5548,17.7189,0.84,0.020375,60204.2,60212.2,255.52709655,1.1657099
2023whv,ZTF23abdmkih,,0.3,0.15,20.3583,20.2131,2023-10-07T05:28:09.998413,9,5,,fading,SN,2.93,19.7791,19.5667,19.321,18.2684,1.05,0.0135417,60200.3,60224.2,329.32752983333336,10.903967333333334
2023why,ZTF23abgomoz,,0.59,0.59,20.0932,19.5064,2023-09-25T03:38:52.998733,2,2,rising/peak,,SN,0.44,20.0932,19.5064,18.9271,18.2747,0.65,0.0197917,60198.2,60212.2,246.61102355,4.752333350000001
2023wia,ZTF23abgnydo,,,,,19.7813,2023-09-25T12:33:50.002548,4,4,,,SN,5.77,,19.7195,-999.0,-999.0,0.0,0.5,60211.5,60212.5,154.324590675,34.7256871
2023wic,ZTF23abcvivc,,0.25,0.62,20.3772,19.7587,2023-10-17T05:09:13.000312,8,4,,fading,SN,0.69,19.7412,19.7041,21.7327,21.3235,0.41,,60204.3,60234.2,358.3375128133333,-5.886774373333333
2023wie,ZTF23abcynsv,,,,,18.6251,2023-11-15T10:13:54.998397,1,1,,,NT,0.46,,18.6251,18.3142,17.5623,0.75,0.387039,60263.4,60263.4,143.8272309,34.4886227
2023wif,ZTF23abioest,,,,,19.5312,2023-10-07T09:33:08.997138,1,1,,,NT,0.3,,19.5312,17.6407,16.9965,0.64,0.215131,60224.4,60224.4,25.0189997,-4.7655663
2023wig,ZTF23abgznvq,,0.44,0.52,20.4663,19.9474,2023-10-21T09:09:37.998718,14,10,,fading,SN,1.03,19.5997,19.1781,19.4652,18.6889,0.78,,60213.4,60238.4,61.45146798333334,26.514427422222223
2023wih,ZTF23abgncqj,,0.31,0.58,20.3815,19.8016,2023-10-21T12:11:36.997428,15,7,,fading,SN,0.06,19.6841,19.3452,19.2255,18.5562,0.67,0.00458333,60211.5,60238.5,112.1441932125,65.26800586875
2023wii,ZTF23abfwupu,,0.01,0.14,20.299,20.1637,2023-10-14T07:30:18.999374,14,8,,fading,SN,0.51,19.5877,19.7159,19.1056,18.6816,0.42,,60207.4,60231.3,16.77588997142857,27.404597121428573
2023wik,ZTF23abgnzpm,,,,,20.032,2023-09-25T12:16:10.997749,1,1,,fading,SN,0.08,,19.4613,22.1607,21.4467,0.71,0.0319167,60202.5,60212.5,128.61628834545454,1.7422151045454546
2023wip,ZTF23abgowir,,0.31,0.7,20.3705,19.6691,2023-09-27T04:13:00.998405,5,5,rising/peak,,SN,2.86,20.3705,19.6691,19.5314,19.3412,0.19,0.0436667,60203.2,60214.2,256.43385286666665,28.176558016666664
2023wiw,ZTF23abfzaks,,,,,19.5411,2023-09-27T12:21:23.999031,4,4,,,NT,0.97,,19.4934,19.4259,18.4683,0.96,0.0055,60207.5,60214.5,146.50116595,30.50699755
2023wix,ZTF18acesbul,,,,,19.4189,2023-10-06T12:16:02.003509,7,7,,fading,NT,1.37,,19.0152,19.3994,18.5315,0.87,0.003125,60211.5,60223.5,154.22357244285715,23.94954051428571
2023wiy,ZTF23abhaxcd,,,,,20.1453,2023-10-16T11:58:06.003837,4,1,,fading,SN,1.07,,19.7163,20.1254,19.9296,0.2,,60213.5,60233.5,160.0685351857143,40.11231395714286
2023wiz,ZTF23abgujxg,,,,,19.7864,2023-10-03T08:34:26.002563,3,3,,,SN,0.79,,19.6906,19.4297,18.776,0.65,0.000833333,60212.4,60220.4,113.25436053333334,73.19395213333334
2023wja,ZTF23abhakyg,,,,20.2355,,2023-12-15T12:03:02.001586,2,2,,,VS,0.87,20.2355,,18.0045,17.2813,0.72,0.0687381,60290.5,60293.5,108.44596685,6.26622175
2023wjk,ZTF23abhuuyz,,0.14,0.43,20.2885,19.8585,2023-10-21T06:25:06.003822,10,8,,fading,VS,1.09,19.5248,19.7656,19.3978,18.707,0.69,0.00791667,60220.3,60238.3,23.44747028333333,-3.48101305
2023wjl,ZTF23abghkdc,,0.18,0.51,20.4454,19.9305,2023-11-06T04:49:27.998413,14,1,,fading,SN,1.72,19.2283,19.2379,20.9481,19.96,0.99,0.5,60226.3,60254.2,355.02908550000006,-0.4830069277777777
2023wjm,ZTF23abhvscg,,-0.05,0.06,19.4886,19.432,2023-10-06T03:14:33.996467,2,2,rising/peak,,SN,2.22,19.3862,19.432,21.4549,21.149,0.31,,60209.1,60223.1,252.1192473571429,12.47680387142857
2023wjv,ZTF23abfnkjp,,0.07,0.7,19.9185,19.2235,2023-10-15T10:48:24.001937,5,2,,fading,NT,0.33,19.0377,19.0882,18.7175,18.1126,0.6,0.0221667,60206.5,60232.5,129.62361388888888,23.470248544444445
2023wjw,ZTF23abianmz,,0.18,0.42,20.5839,20.1628,2023-10-24T09:41:24.000007,11,7,,fading,SN,4.49,19.7366,19.6682,19.1267,18.5189,0.61,0.00395833,60222.2,60241.4,32.11542992142857,34.824742321428566
2023wka,ZTF23abhvutu,,0.16,0.23,20.3582,20.1251,2023-10-18T04:12:48.003829,9,8,,fading,SN,3.67,19.5897,19.4157,-999.0,20.225,-1019.23,0.5,60221.2,60235.2,268.8353993307693,73.94544028461539
2023wkb,ZTF23abiebzh,,0.41,0.54,20.3238,19.7845,2023-10-21T10:04:03.002891,3,2,,fading,SN,31.47,19.8392,19.7051,-999.0,19.796,-1018.8,0.5,60211.5,60238.4,111.61995135714288,15.38252652857143
2023wke,ZTF23abihgby,,,,19.7633,,2023-10-22T06:38:21.998420,6,5,,fading,NT,1.0,19.5155,,19.7948,-999.0,1018.79,0.5,60221.4,60239.3,357.9520434888889,-2.762620833333333
2023wkf,ZTF23abiirfh,,,,,19.9982,2023-11-13T11:00:26.997131,2,2,,fading,SN,0.31,,19.7384,18.2568,17.4568,0.8,0.0238333,60251.4,60261.5,85.46477669999999,-16.3893797
2023wki,ZTF23abikiql,,0.67,0.67,19.9979,19.3275,2023-10-07T04:16:46.001289,2,2,rising/peak,,SN,15.62,19.9979,19.3275,18.0597,17.8226,0.24,0.0605833,60224.1,60224.2,246.3116035,30.32499625
2023wkk,ZTF23abibrsn,,0.16,0.62,20.4569,19.8355,2023-10-15T05:33:54.000007,8,8,,fading,NT,0.41,19.8326,19.7769,19.4881,18.497,0.99,0.00125,60220.4,60232.2,15.194483119999996,-5.63826838
2023wkl,ZTF18aaddnfu,,0.3,0.36,19.6901,19.3301,2023-10-16T11:46:47.997131,6,6,,fading,NT,0.47,19.0255,18.8343,17.9879,17.698,0.29,0.0134167,60222.5,60233.5,137.44038011666666,38.24958466666666
2023wkm,ZTF23abhbwko,,,,,19.9831,2023-10-17T10:12:25.997749,3,2,,fading,SN,1.75,,19.6866,19.8129,19.1342,0.68,0.0298333,60213.5,60234.4,121.6064078,45.6859016
2023wkn,ZTF23abhvvol,,-0.11,-0.2,19.433,19.6364,2023-10-17T03:14:41.003509,6,5,,,SN,0.08,19.3775,19.5882,19.315,18.7544,0.56,0.00208333,60212.2,60234.1,249.1213669,43.6544576125
2023wkp,ZTF23abipvbr,,,,,19.9858,2023-10-15T12:32:34.998733,11,11,,fading,SN,2.01,,19.5102,20.6147,20.0025,0.61,0.007625,60223.5,60232.5,150.47093682352943,1.820649947058824
2023wkr,ZTF23abipyqe,,,,,19.8965,2023-10-18T12:41:48.001930,18,18,,fading,SN,3.87,,18.8108,19.7809,19.7757,0.01,,60216.5,60235.5,168.6470792,36.064687475
2023wks,ZTF19abpvcfm,,0.03,0.17,20.1116,19.9394,2023-05-22T09:37:35.999031,6,6,rising/peak,,SN,0.25,20.0728,19.8866,20.6932,20.1555,0.54,0.212375,60057.5,60086.4,306.15452903846153,-0.3576039076923077
2023wks,ZTF23aalupjy,,-0.08,-0.02,19.364,19.3817,2023-11-20T03:03:49.996780,13,5,,fading,VS,0.13,19.0618,19.2485,20.6932,20.1555,0.54,0.212375,60239.2,60268.1,306.15450090588234,-0.3576433235294117
2023wkw,ZTF23abgvxil,,,,,19.6005,2023-10-05T12:29:39.001937,3,3,,,NT,0.82,,19.6005,20.1488,19.8551,0.29,0.0009375,60212.5,60222.5,158.9024571,29.8255395
2023wkz,ZTF23abefxhn,,0.71,0.73,19.5918,18.8649,2023-10-17T03:16:44.002563,5,3,,fading,SN,0.29,19.2939,18.1689,17.8841,17.2031,0.68,0.0483333,60212.2,60234.1,251.22477608333332,55.23448565000001
2023wla,ZTF20aainjkz,,0.24,0.09,19.3944,19.306,2023-12-15T13:20:34.002227,8,8,,,VS,0.46,19.3944,19.2499,17.731,17.0524,0.68,0.5,60287.2,60293.6,136.19826211111112,79.19785483333334
2023wla,ZTF23abidsyg,,0.28,0.39,19.5456,19.1552,2023-12-16T13:32:06.999351,10,10,,,VS,0.19,19.3944,19.1552,17.731,17.0524,0.68,0.5,60287.2,60294.6,136.19837675454548,79.1978594181818
2023wlb,ZTF23abevsat,,,,19.8165,,2023-12-12T05:06:04.000335,3,2,,fading,AGN,0.1,19.5915,,19.8835,19.445,0.44,0.0025,60260.2,60290.2,20.901201675000003,-6.308250374999999
2023wle,ZTF23abnoike,,,,19.9116,,2023-11-10T12:27:49.999671,1,1,,,SN,2.63,19.7206,,19.9124,19.8875,0.02,0.00125,60251.5,60258.5,164.516698675,56.611515325000006
2023wlt,ZTF23aboktvd,,,,,20.0905,2023-11-03T05:42:09.996467,1,1,,,SN,3.14,,20.0905,20.2344,19.3944,0.84,0.00666667,60251.2,60251.2,350.2733128,-18.4330329
2023wly,ZTF23abongxq,,-0.11,0.02,19.0942,19.0737,2023-11-13T12:29:50.000633,8,8,,,SN,3.23,18.8977,19.0724,20.3519,19.6982,0.65,0.00125,60251.5,60261.5,167.1011788125,50.33045435
2023wmz,ZTF23abowvez,,-0.23,-0.03,19.4131,19.4392,2023-11-14T06:14:09.000946,6,6,rising/peak,,SN,3.08,19.4048,19.4392,20.5858,20.2149,0.37,0.0045,60251.2,60262.3,11.1120633,1.99538332
2023wna,ZTF23abnphhz,,,,,18.7932,2023-11-03T03:50:18.003829,2,2,,,SN,0.35,,18.6774,17.5356,17.3948,0.14,0.136375,60242.1,60251.2,268.23174650000004,23.341804033333336
2023wnf,ZTF23abjkfaq,,,,,18.526,2023-10-27T11:59:53.001609,21,21,,fading,SN,2.03,,18.1241,-999.0,-999.0,0.0,0.144512,60229.5,60244.5,158.92547311739128,5.616164643478261
2023wnf,ZTF23aboniag,,1.54,0.8,19.8999,19.0959,2023-11-09T12:27:40.003189,23,3,,fading,SN,1.75,19.8999,18.1241,-999.0,-999.0,0.0,0.144512,60229.5,60257.5,158.92547787307691,5.616176488461538
2023wng,ZTF23abkavte,SN Ia,,,,20.3528,2023-12-12T03:30:07.997756,3,2,,fading,SN,1.06,,19.4348,19.6501,18.8051,0.85,0.058756,60261.2,60290.1,356.05908967500005,22.80232765
2023wnj,ZTF23abiwkyg,,0.0,-0.08,20.1612,20.2421,2023-10-25T10:47:38.002548,15,11,,fading,SN,2.0,19.9614,19.8443,20.3455,20.0032,0.34,0.007,60223.3,60242.4,16.15161713913043,43.08549799565217
