tns_name,objectId,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mlf,ZTF17aaapmss,,0.52,0.72,19.3898,18.6736,2023-11-12T11:52:37.001274,10.0,10.0,rising/peak,,NT,0.09,19.3898,18.6736,19.1671,18.1126,1.05,0.0104583,60252.5,60260.5,176.71860201818183,13.825025409090909
2020afgm,ZTF20abijege,,0.53,0.53,19.1469,18.6172,2023-11-03T12:34:12.000015,2.0,2.0,rising/peak,,NT,0.18,19.1469,18.6172,17.438,16.6836,0.75,0.0681964,60251.5,60251.5,169.7619306,65.393798
2020afgn,ZTF19acmhgmy,,0.59,0.59,19.6185,19.0334,2023-11-02T07:04:02.000648,1.0,1.0,rising/peak,,AGN,0.28,19.6185,19.0334,21.3389,20.4881,0.85,0.0427917,60250.2,60250.3,44.440049200000004,18.784802499999998
2021aiar,ZTF21ablgdhg,,0.12,0.09,19.6381,19.5474,2023-11-13T05:36:49.996795,3.0,3.0,,,SN,1.45,19.5271,19.4379,18.718,17.9613,0.76,0.0025,60250.2,60261.2,19.144516971428573,19.443020785714282
2022aeqw,ZTF19aadnuma,,0.18,0.12,17.6092,17.4867,2023-12-12T11:39:04.003189,1.0,1.0,rising/peak,,AGN,0.26,17.6092,17.4867,16.259,16.0813,0.18,0.218613,60260.6,60290.5,182.29161380000002,-4.755309233333333
2022aeqw,ZTF19aamaqww,,,,,18.0708,2022-11-19T12:51:42.001922,1.0,1.0,,fading,AGN,1.72,,17.7055,16.259,16.0813,0.18,0.218613,59900.5,59902.5,182.2920447333333,-4.7554367
2022aeqw,ZTF20aareduh,,,,,17.6852,2023-11-11T13:06:53.997138,7.0,7.0,,fading,AGN,0.8,,17.4737,16.259,16.0813,0.18,0.218613,60253.5,60259.5,182.29175933846156,-4.75529716923077
2022aeqw,ZTF22abunqaw,,,,,17.6481,2023-11-08T13:11:14.000633,5.0,5.0,,,AGN,0.95,,17.4737,16.259,16.0813,0.18,0.218613,60253.5,60256.5,182.29184873999998,-4.75529107
2023xcr,ZTF23aboibzh,,0.15,0.01,19.2332,19.2188,2023-11-15T11:36:22.003181,4.0,4.0,,fading,SN,1.46,18.9658,19.0801,21.8551,21.3095,0.55,0.5,60244.5,60263.5,153.68845986666668,19.636585277777776
2023xcw,ZTF23abonqwe,,,,,19.398,2023-11-03T13:03:25.004142,1.0,1.0,,,SN,2.29,,19.3521,-999.0,20.7198,-1019.72,0.5,60250.5,60251.5,186.54693659999998,10.304878800000001
2023xcx,ZTF23abonlhs,,0.11,0.27,19.563,19.2885,2023-11-14T10:32:19.000335,5.0,5.0,,fading,SN,4.44,19.2526,19.1156,19.3213,18.8184,0.5,0.025875,60250.4,60262.4,121.44195099230768,-7.4663995384615385
