TNS_ID,ZTF_ID,type,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2018mlq,ZTF18abyanoj,,0.29,0.32,20.6665,20.3493,2018-10-06T08:58:30.999359,3,1,,fading,SN,3.91,20.2541,19.9873,19.647,19.1207,0.53,0.028958,58382.3,58397.4,31.160256125000004,21.658829925000003
2023aacm,ZTF23abuffws,,,,20.4098,,2023-12-16T08:54:22.003204,1,1,,,SN,1.19,20.4098,,21.6272,20.9954,0.63,0.00845833,60287.4,60294.4,123.52002611,36.24725343
2023aacn,ZTF23abueqwh,,,,20.6473,,2023-12-15T11:46:04.002243,1,1,,,SN,1.75,20.511,,21.559,20.7611,0.8,,60287.4,60293.5,138.55303776666668,48.12626736666666
2023aacp,ZTF23abudkkb,,0.27,0.42,20.6486,20.2313,2023-12-15T11:01:01.997749,1,1,rising/peak,,SN,2.39,20.6431,20.2313,21.1845,20.5109,0.67,,60287.4,60293.5,132.57862161666668,36.2822501
2023aacq,ZTF23abudgwv,,0.11,0.22,20.476,20.2522,2023-12-15T13:00:15.001914,1,1,rising/peak,,SN,1.42,20.3081,20.2522,21.0731,20.3256,0.75,,60287.4,60293.5,123.47345402499998,15.993860508333333
2023aacu,ZTF23abudaao,,-0.07,-0.39,20.0491,20.4354,2023-12-18T11:11:24.000007,1,1,,,SN,1.54,20.0491,20.3657,20.6181,20.3872,0.23,,60289.4,60296.5,125.2616302142857,30.881461292857143
2023aacv,ZTF23abubpvo,,-0.1,0.08,20.9649,20.8821,2023-12-15T11:54:34.004142,1,1,,fading,SN,1.68,20.5251,20.8821,20.2658,19.2642,1.0,,60287.3,60293.5,117.50916991666666,39.4758673
2023aacz,ZTF23abtxlrv,,0.14,0.04,20.7505,20.7147,2023-12-15T04:06:46.998703,1,1,rising/peak,,SN,30.49,20.7505,20.7147,20.8495,20.0737,0.78,0.0108333,60290.2,60293.2,42.32990802857143,20.52698912857144
2023aada,ZTF23abtmrpq,,0.09,0.1,20.3111,20.2064,2023-12-16T10:42:57.997428,7,7,,,NT,1.23,20.1537,20.2064,19.5764,18.9016,0.67,0.041875,60289.4,60294.4,137.96378018181815,57.2439793909091
2023aadd,ZTF23abspgkp,,-0.12,-0.19,20.1578,20.347,2023-12-18T11:16:11.003517,1,1,,fading,SN,3.91,19.9452,20.347,21.1149,20.1923,0.92,0.185256,60287.4,60296.5,130.54075317692306,50.02373000769231
