TNS_ID,ZTF_ID,type,Days_ago,g_minus_r_mean,g_minus_r_latest,g,r,latest_utc,N_obs,N_obs_14_day,rising,fading,sherlock,offsetArcsec,g_max,r_max,g_host,r_host,g_minus_r_host,sg_score,disc_mjd,latest_mjd,ra,decl
2024knv,ZTF24aaqyenl,,0.7267472892999649,-0.3,-0.3,19.4478,19.7481,2024-06-08T08:11:06.996475,2,2,rising/peak,,SN,3.28,19.4478,19.7481,18.3315,18.0201,0.31,0.0172917,60469.3,60469.3,225.7774559,14.1497307
2024knh,ZTF24aapppma,,8.755786689464003,0.24,-0.15,19.4201,19.5656,2024-06-08T06:35:04.004158,3,3,rising/peak,,SN,2.6,19.4201,19.5656,19.5939,19.2069,0.39,0.00166667,60461.3,60469.3,222.58648702,-1.8071939799999999
2024kmt,ZTF24aaozpfj,,11.8681824891828,-0.04,-0.14,20.2861,20.43,2024-06-01T06:05:59.000625,1,1,rising/peak,,SN,2.47,20.2861,20.43,21.1688,20.8796,0.29,0.00125,60458.2,60462.3,200.8809052,0.091914
2024kpm,ZTF24aapzwzz,,11.60371488938108,-0.04,-0.13,20.1425,20.2708,2024-06-01T10:28:40.002243,1,1,,,SN,3.27,20.1425,20.0982,21.4968,21.2594,0.24,0.00575,60458.4,60462.4,325.7021867,19.4505609
2024kmv,ZTF24aaoatcr,,8.657869989518076,0.01,-0.03,20.2915,20.3245,2024-06-02T08:56:51.000022,4,4,,fading,SN,0.77,19.974,19.9016,20.9238,20.3382,0.59,,60439.5,60463.4,272.6995932,41.73113215
2024kng,ZTF24aapzmaf,,7.5874417894519866,-0.13,-0.01,19.6371,19.646,2024-06-03T10:04:53.002540,3,3,rising/peak,,SN,0.79,19.6371,19.646,-999.0,-999.0,0.0,-999.0,60462.4,60464.4,326.5801859333333,-7.318571899999999
2024kof,ZTF24aaqegmv,,6.639235789421946,0.56,0.16,19.7792,19.6176,2024-06-08T10:33:38.998085,3,3,rising/peak,,VS,0.5,19.7792,19.6176,19.3864,18.4647,0.92,,60463.4,60469.4,311.83000200000004,27.282384125
2024kna,ZTF24aaptmeq,,4.570647789165378,,,,19.3373,2024-06-07T11:16:21,5,5,,fading,SN,1.33,,18.8938,19.2049,19.0595,0.15,0.00958333,60461.5,60468.5,30.83744805,30.010757775000002
2024knq,ZTF24aaqvpcl,,1.6590157891623676,,,19.9492,,2024-06-07T10:06:46.998703,1,1,,,SN,3.78,19.9492,,18.7635,18.2295,0.53,0.517414,60468.4,60468.4,284.3109531,32.0047463
2024knr,ZTF24aaqubvf,,0.7697449894621968,,,20.237,,2024-06-08T08:12:28.998725,3,3,,,SN,1.9,20.1543,,20.0014,19.1238,0.88,0.004375,60463.3,60469.3,226.95939793333332,20.019940566666666
2024knt,ZTF24aaqiylh,,1.705057489220053,,,,20.2602,2024-06-07T08:57:59.999038,1,1,,,SN,4.11,,20.2602,19.7793,18.8957,0.88,0.00816667,60468.4,60468.4,244.2954307,25.7987956
2024knw,ZTF24aaqtutz,,1.6857982892543077,,,20.1307,,2024-06-07T09:45:20.001579,1,1,,,SN,0.4,20.1307,,19.4113,19.1105,0.3,0.00666667,60468.4,60468.4,258.3754121,32.0122098
2024kny,ZTF24aaqyfob,,0.8201616895385087,,,,20.264,2024-06-08T06:39:10.995857,1,1,,,SN,25.82,,20.264,-999.0,21.9219,-1020.92,0.5,60469.3,60469.3,214.704925,10.8372112
2024kog,ZTF24aaqzpbo,,0.7659833892248571,,,18.7434,,2024-06-08T08:48:03.000953,1,1,,,SN,3.39,18.7434,,20.6539,20.3,0.35,0.00125,60463.3,60469.4,214.1298354,49.9555632
