TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,Reporter
2023uua,03:35:15.387,-18:04:51.17,2023-10-11 11:40:43.968,14-Oct-2023,21.29,ABMag,w - P1,0,['m0185'],['03:38:59'],['-17:52:18'],K. C. Chambers
2023uus,10:48:53.368,+33:06:48.85,2023-10-13 14:47:47.328,14-Oct-2023,18.613,ABMag,cyan - ATLAS,2,['m6257'],['10:50:27'],['+32:34:18'],J. Tonry
2020afeu,08:59:24.894,+73:47:16.88,2020-11-23 09:24:59.040,14-Oct-2023,19.9854,ABMag,g - ZTF,0,['m9250'],['08:43:38'],['+73:28:18'],Patrick Aleo (UIUC)
2021ahwb,09:18:44.084,+39:49:00.96,2021-01-07 08:14:55.680,14-Oct-2023,19.9165,ABMag,g - ZTF,2,['m6935'],['09:15:24'],['+39:23:18'],Patrick Aleo (UIUC)
2020affc,02:57:49.391,-14:37:35.70,2020-10-20 08:37:33.024,14-Oct-2023,20.6316,ABMag,r - ZTF,2,['m0505'],['03:00:43'],['-15:08:42'],Patrick Aleo (UIUC)
2021ahwn,13:51:32.732,+54:21:40.52,2021-02-10 09:16:05.088,14-Oct-2023,21.2488,ABMag,g - ZTF,2,['m8227'],['13:59:12'],['+54:23:06'],Patrick Aleo (UIUC)
2018mgx,12:02:49.321,+50:39:50.74,2018-12-12 11:53:18.240,14-Oct-2023,20.507,ABMag,g - ZTF,2,['m7909'],['12:05:06'],['+50:17:42'],Patrick Aleo (UIUC)
2018mgz,12:14:47.739,+29:11:44.37,2018-11-05 11:49:12.000,14-Oct-2023,19.4125,ABMag,r - ZTF,2,['m5976'],['12:19:41'],['+29:50:42'],Patrick Aleo (UIUC)
2018miq,23:34:09.297,+22:05:33.38,2018-09-09 07:19:04.224,14-Oct-2023,20.0928,ABMag,r - ZTF,2,['m5134'],['23:32:19'],['+21:39:54'],Patrick Aleo (UIUC)
2018mjl,03:09:08.466,-03:03:22.83,2018-10-31 07:56:02.112,14-Oct-2023,20.2293,ABMag,r - ZTF,0,['m2009'],['03:11:40'],['-02:52:30'],Patrick Aleo (UIUC)
2019aatj,12:25:34.741,+64:30:42.78,2019-01-11 10:45:06.336,14-Oct-2023,20.0881,ABMag,r - ZTF,2,['m8828'],['12:24:47'],['+63:55:42'],Patrick Aleo (UIUC)
2020affo,12:02:25.759,+58:54:00.81,2020-10-29 11:57:19.296,14-Oct-2023,19.7001,ABMag,g - ZTF,2,['m8500'],['12:03:29'],['+58:28:30'],Patrick Aleo (UIUC)
2020affu,07:53:32.265,+85:36:53.76,2020-11-05 06:36:32.832,14-Oct-2023,19.8452,ABMag,g - ZTF,0,['m9530'],['08:39:13'],['+85:44:30'],Patrick Aleo (UIUC)
