TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2023uem,20:08:24.466,-25:00:25.76,2023-10-06 01:11:53.952,07-Oct-2023,17.984,ABMag,cyan - ATLAS,0.929,Galaxy,2MASX J20082433-2500261,['2MASX J20082433-2500261' '302.102' '-25.007' '0.929' 'inf' 'Galaxy' 'G'],J. Tonry
2023ugj,22:30:09.649,-24:50:56.48,2023-10-06 03:03:35.136,07-Oct-2023,19.006,ABMag,cyan - ATLAS,1.279,EmissionG,2MASX J22300969-2450572,"['2MASX J22300969-2450572' '337.541' '-24.849' '1.279' 'inf' 'EmissionG'
 'EmG']",J. Tonry
2023uga,23:36:13.608,-37:29:00.76,2023-10-06 04:10:07.680,07-Oct-2023,19.119,ABMag,cyan - ATLAS,1.671,Galaxy,2MASX J23361374-3729021,['2MASX J23361374-3729021' '354.057' '-37.484' '1.671' 'inf' 'Galaxy' 'G'],J. Tonry
2023ugm,21:06:12.095,-35:07:38.84,2023-10-06 01:57:19.872,07-Oct-2023,19.312,ABMag,cyan - ATLAS,2.515,Galaxy,LEDA  652956,['LEDA  652956' '316.551' '-35.128' '2.515' 'inf' 'Galaxy' 'G'],J. Tonry
2023uet,23:41:13.666,-17:43:21.73,2023-10-05 08:12:57.312,07-Oct-2023,21.32,ABMag,w - P1,2.97,Galaxy,LEDA  878552,['LEDA  878552' '355.307' '-17.723' '2.97' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023ugi,02:20:06.646,-35:51:22.16,2023-10-06 04:22:29.856,07-Oct-2023,19.43,ABMag,cyan - ATLAS,3.227,Galaxy,LEDA  643785,['LEDA  643785' '35.028' '-35.855' '3.227' 'inf' 'Galaxy' 'G'],J. Tonry
2023ufo,03:05:08.436,+00:20:26.89,2023-10-06 09:35:57.002,07-Oct-2023,20.0486,ABMag,g - ZTF,4.188,Galaxy,SDSS J030508.42+002031.0,['SDSS J030508.42+002031.0' '46.285' '0.342' '4.188' 'inf' 'Galaxy' 'G'],A. Munoz-Arancibia
2023ugh,02:31:34.198,-25:10:45.17,2023-10-06 04:23:08.736,07-Oct-2023,19.3,ABMag,cyan - ATLAS,4.211,Galaxy,2dFGRS TGS158Z157,['2dFGRS TGS158Z157' '37.891' '-25.179' '4.211' 'inf' 'Galaxy' 'G'],J. Tonry
2023uez,00:51:01.706,-17:56:16.84,2023-10-05 09:12:09.216,07-Oct-2023,20.62,ABMag,w - P1,4.279,Galaxy,LEDA  875120,['LEDA  875120' '12.758' '-17.938' '4.279' 'inf' 'Galaxy' 'G'],K. C. Chambers
2023ueq,02:18:07.616,+06:31:28.65,2023-10-05 12:15:14.112,07-Oct-2023,19.37,ABMag,w - P1,4.681,Galaxy,LEDA 1302449,['LEDA 1302449' '34.531' '6.526' '4.681' 'inf' 'Galaxy' 'G'],K. C. Chambers
