TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Reporter
2023zvj,05:54:18.640,+78:31:22.66,2023-12-11 06:51:50.400,14-Dec-2023,18.4,ABMag,G - Gaia,0.033,Galaxy,Gaia DR3 552510094812720256,"['Gaia DR3 552510094812720256' '88.578' '78.523' '0.033' 'inf' 'Galaxy'
 'G']",,,,S.T. Hodgkin
2023zyg*,12:49:10.095,+34:20:43.65,2023-12-09 12:27:21.600,14-Dec-2023,19.73,ABMag,g - ZTF,0.057,Seyfert1,SDSS J124910.09+342043.6,"['SDSS J124910.09+342043.6' '192.292' '34.345' '0.057' 'inf' 'Seyfert1'
 'Sy1']",,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zwt*,11:26:42.166,+39:47:10.46,2023-12-09 11:16:48.000,14-Dec-2023,19.49,ABMag,g - ZTF,0.11,EmissionG,2MASX J11264216+3947102,"['2MASX J11264216+3947102' '171.676' '39.786' '0.11' 'inf' 'EmissionG'
 'EmG']",,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zxs,04:52:42.594,+12:36:24.49,2023-12-09 06:56:09.600,14-Dec-2023,20.19,ABMag,r - ZTF,0.144,QSO,ICRF J045242.6+123624,['ICRF J045242.6+123624' '73.178' '12.607' '0.144' 'inf' 'QSO' 'QSO'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zyd,10:00:41.544,+02:04:16.39,2023-12-09 11:05:16.800,14-Dec-2023,19.77,ABMag,g - ZTF,0.283,Galaxy,UVISTADR1 J100041.53+020416.2,"['UVISTADR1 J100041.53+020416.2' '150.173' '2.071' '0.283' 'inf' 'Galaxy'
 'G']",,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2019aatz*,11:13:58.781,+14:13:41.31,2019-02-26 06:21:36.000,14-Dec-2023,20.55,ABMag,r - ZTF,0.532,Seyfert1,SDSS J111358.74+141341.2,"['SDSS J111358.74+141341.2' '168.495' '14.228' '0.532' 'inf' 'Seyfert1'
 'Sy1']",,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zvp*,14:04:57.288,-01:50:21.43,2023-12-12 13:07:40.800,14-Dec-2023,19.68,ABMag,r - ZTF,0.574,Galaxy,LEDA 1108626,['LEDA 1108626' '211.239' '-1.839' '0.574' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zyq*,14:34:43.810,+46:17:19.84,2023-12-09 12:18:43.200,14-Dec-2023,19.77,ABMag,g - ZTF,0.644,Galaxy,SDSS J143443.82+461719.0,['SDSS J143443.82+461719.0' '218.683' '46.289' '0.644' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zvr,14:04:52.567,-03:40:22.00,2023-12-12 13:12:00.000,14-Dec-2023,19.58,ABMag,r - ZTF,0.696,Galaxy,2dFGRS TGN143Z245,['2dFGRS TGN143Z245' '211.219' '-3.673' '0.696' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zyh,09:51:22.781,+58:02:26.29,2023-12-09 07:22:04.800,14-Dec-2023,20,ABMag,g - ZTF,0.701,Galaxy,SDSSCGB 17740.3,['SDSSCGB 17740.3' '147.845' '58.04' '0.701' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zyl,15:13:30.647,+66:24:12.33,2023-10-04 03:47:31.200,14-Dec-2023,19.96,ABMag,g - ZTF,0.727,Galaxy,LEDA 2686847,['LEDA 2686847' '228.377' '66.404' '0.727' 'inf' 'Galaxy' 'G'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
2023zvu*,14:42:01.776,+01:57:03.10,2023-12-12 13:09:07.200,14-Dec-2023,19.87,ABMag,r - ZTF,0.776,Seyfert1,GAMA 251811,['GAMA 251811' '220.507' '1.951' '0.776' 'inf' 'Seyfert1' 'Sy1'],,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
