TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter
2018mhb*,12:34:29.095,+43:35:08.68,2018-12-12 12:10:45.408,2023-10-14,20.9214,ABMag,g - ZTF,0.085,Galaxy,2MASX J12342901+4335082,['2MASX J12342901+4335082' '188.621' '43.586' '0.085' 'inf' 'Galaxy' 'G'],Patrick Aleo (UIUC)
2021ahvo*,10:03:13.798,+28:39:44.53,2021-01-04 10:38:24.576,2023-10-14,19.5035,ABMag,r - ZTF,0.086,Galaxy,SDSS J100313.78+283944.6,['SDSS J100313.78+283944.6' '150.807' '28.662' '0.086' 'inf' 'Galaxy' 'G'],Patrick Aleo (UIUC)
2021ahwt,12:40:53.371,-06:14:52.88,2021-01-01 13:00:47.808,2023-10-14,19.374,ABMag,r - ZTF,0.097,Galaxy,LCRS B123818.4-055826,['LCRS B123818.4-055826' '190.222' '-6.248' '0.097' 'inf' 'Galaxy' 'G'],Patrick Aleo (UIUC)
2023uum,20:31:08.790,-41:54:52.27,2023-10-11 05:52:48.000,2023-10-14,18.46,ABMag,G - Gaia,0.119,Galaxy,Gaia DR3 6679727550435552640,"['Gaia DR3 6679727550435552640' '307.787' '-41.915' '0.119' 'inf' 'Galaxy'
 'G']",S.T. Hodgkin
2018mgt*,10:06:32.651,+14:24:50.61,2018-12-05 13:07:27.840,2023-10-14,19.9617,ABMag,g - ZTF,0.178,Galaxy,SDSS J100632.66+142450.5,['SDSS J100632.66+142450.5' '151.636' '14.414' '0.178' 'inf' 'Galaxy' 'G'],Patrick Aleo (UIUC)
2021ahxx,12:29:53.831,-15:29:27.81,2021-03-21 06:49:00.192,2023-10-14,19.6514,ABMag,g - ZTF,0.179,Galaxy,Gaia DR3 3526701108213757952,"['Gaia DR3 3526701108213757952' '187.474' '-15.491' '0.179' 'inf' 'Galaxy'
 'G']",Patrick Aleo (UIUC)
2020afex*,14:09:19.014,+13:52:40.26,2020-12-15 13:04:31.584,2023-10-14,20.1687,ABMag,g - ZTF,0.254,BLLac,2WHSP J140919.0+135240,['2WHSP J140919.0+135240' '212.329' '13.878' '0.254' 'inf' 'BLLac' 'BLL'],Patrick Aleo (UIUC)
2021ahwv*,11:51:01.930,+15:21:11.63,2021-01-09 09:36:12.960,2023-10-14,20.1769,ABMag,g - ZTF,0.257,Seyfert1,SDSS J115101.90+152111.5,"['SDSS J115101.90+152111.5' '177.758' '15.353' '0.257' 'inf' 'Seyfert1'
 'Sy1']",Patrick Aleo (UIUC)
2023uvf*,09:34:24.751,+32:58:34.18,2023-10-13 11:06:23.000,2023-10-14,19.4841,ABMag,g - ZTF,0.312,Galaxy,Gaia DR3 797140058919691136,"['Gaia DR3 797140058919691136' '143.603' '32.976' '0.312' 'inf' 'Galaxy'
 'G']",F. Forster
2019aati,02:10:46.438,-05:57:59.17,2019-08-04 11:27:54.144,2023-10-14,20.4941,ABMag,g - ZTF,0.336,Galaxy,GAMA 1304163,['GAMA 1304163' '32.694' '-5.966' '0.336' 'inf' 'Galaxy' 'G'],Patrick Aleo (UIUC)
