TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Reporter,SDSS_image
2024mci,02:45:25.560,-05:57:00.68,2024-06-18 12:20:09.600,2024-06-23,18.86,ABMag,G - Gaia,0.079,QSO,QSO J0245-0556,['QSO J0245-0556' '41.357' '-5.95' '0.079' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,No
2024mcn,22:36:32.420,+20:33:01.19,2024-05-18 13:22:04.800,2024-06-23,18.41,ABMag,G - Gaia,0.109,QSO,SDSS J223632.43+203301.1,['SDSS J223632.43+203301.1' '339.135' '20.55' '0.109' 'inf' 'QSO' 'QSO'],,,,,,,S.T. Hodgkin,Yes
2024mkm,07:15:27.220,-25:56:01.75,2024-06-18 21:14:24.000,2024-06-23,18.48,ABMag,G - Gaia,0.171,BLLac,NVSS J071527-255600,['NVSS J071527-255600' '108.863' '-25.934' '0.171' 'inf' 'BLLac' 'BLL'],,,,,,,S.T. Hodgkin,No
2024miw,14:09:57.654,+02:23:53.92,2024-02-14 14:16:29.856,2024-06-23,21.37,ABMag,w - P1,0.716,Galaxy,GAMA 341579,['GAMA 341579' '212.49' '2.398' '0.716' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mew,11:42:12.876,+17:48:31.10,2024-04-08 06:13:09.696,2024-06-23,21.43,ABMag,w - P1,1.351,Galaxy,SDSSCGB 20042.3,['SDSSCGB 20042.3' '175.554' '17.808' '1.351' 'inf' 'Galaxy' 'G'],Galaxy,SDSSCGB 20042.5,['SDSSCGB 20042.5' '175.555' '17.809' '3.618' 'inf' 'Galaxy' 'G'],Compact_Gr_G,SDSSCGB 20042,['SDSSCGB 20042' '175.553' '17.81' '4.64' 'inf' 'Compact_Gr_G' 'CGG'],K. C. Chambers,No
2024mby,11:13:11.018,+13:31:18.08,2024-04-10 10:22:28.992,2024-06-23,20.62,ABMag,w - P1,1.41,Galaxy,[RGD2013] J111310.940+133118.913,"['[RGD2013] J111310.940+133118.913' '168.296' '13.522' '1.41' 'inf'
 'Galaxy' 'G']",,,,,,,K. C. Chambers,No
2024mkg,13:33:28.206,+26:02:38.62,2024-06-22 04:56:16.999,2024-06-23,19.2668,ABMag,g - ZTF,1.445,Galaxy,NGP9 F380-0046499,['NGP9 F380-0046499' '203.367' '26.044' '1.445' 'inf' 'Galaxy' 'G'],,,,,,,F. Forster,No
2024miy,12:45:07.192,+26:27:18.53,2024-02-14 11:06:06.912,2024-06-23,18.9,ABMag,w - P1,1.574,Galaxy,SDSS J124507.11+262719.7,['SDSS J124507.11+262719.7' '191.28' '26.455' '1.574' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mjn,21:09:15.071,+00:17:01.67,2024-06-14 13:44:56.832,2024-06-23,21.94,ABMag,w - P1,1.674,Galaxy,SDSS J210915.17+001702.3,['SDSS J210915.17+001702.3' '317.313' '0.284' '1.674' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mbf,16:02:25.262,+53:29:21.49,2024-06-15 06:15:07.001,2024-06-23,19.8204,ABMag,g - ZTF,1.861,EmissionG,2MASX J16022516+5329201,"['2MASX J16022516+5329201' '240.605' '53.489' '1.861' 'inf' 'EmissionG'
 'EmG']",,,,,,,Eli Gendreau-Distler (UC Berkeley),Yes
2024mco,13:57:32.198,+06:09:36.54,2024-04-08 10:17:19.680,2024-06-23,20.09,ABMag,w - P1,2.227,Galaxy,SDSS J135732.34+060936.4,['SDSS J135732.34+060936.4' '209.385' '6.16' '2.227' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mkj,08:56:27.120,-25:12:15.73,2024-06-18 21:38:52.800,2024-06-23,18.84,ABMag,G - Gaia,2.797,Seyfert2,LEDA   96427,['LEDA   96427' '134.114' '-25.205' '2.797' 'inf' 'Seyfert2' 'Sy2'],,,,,,,S.T. Hodgkin,No
2024mbk,03:03:03.247,+45:07:59.69,2024-06-18 11:08:59.997,2024-06-23,19.3302,ABMag,r - ZTF,3.026,Galaxy,2MASX J03030341+4508023,['2MASX J03030341+4508023' '45.764' '45.134' '3.026' 'inf' 'Galaxy' 'G'],,,,,,,Veda Arikatla (UC Berkeley),No
2024mcb,17:02:58.101,+02:51:33.57,2024-04-10 11:44:15.648,2024-06-23,20.38,ABMag,w - P1,3.042,Galaxy,LEDA 1239323,['LEDA 1239323' '255.741' '2.859' '3.042' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mcu,09:36:21.784,-05:36:12.39,2024-03-31 06:08:09.024,2024-06-23,20.82,ABMag,w - P1,3.132,Galaxy,LEDA 1042616,['LEDA 1042616' '144.091' '-5.604' '3.132' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mbi,12:37:45.530,-14:38:20.76,2024-06-17 10:35:02.400,2024-06-23,18.46,ABMag,G - Gaia,3.22,Galaxy,2MASX J12374564-1438231,['2MASX J12374564-1438231' '189.44' '-14.64' '3.22' '1.842' 'Galaxy' 'G'],,,,,,,S.T. Hodgkin,No
2024mfc,15:28:19.638,-11:50:14.88,2024-03-17 14:47:47.328,2024-06-23,20.6,ABMag,w - P1,3.387,Galaxy,LEDA  106082,['LEDA  106082' '232.083' '-11.838' '3.387' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mkk,14:18:45.540,+05:50:01.97,2024-06-19 17:11:02.400,2024-06-23,18.25,ABMag,G - Gaia,3.607,Galaxy,Z  47-2,['Z  47-2' '214.69' '5.835' '3.607' 'inf' 'Galaxy' 'G'],,,,,,,S.T. Hodgkin,Yes
2024mds,13:05:28.691,+48:13:42.72,2024-03-29 12:35:34.080,2024-06-23,20.32,ABMag,i - P1,3.917,Galaxy,LEDA 2313039,['LEDA 2313039' '196.368' '48.229' '3.917' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mbg,13:37:21.545,+24:24:58.91,2024-06-18 05:18:56.001,2024-06-23,19.8944,ABMag,g - ZTF,4.577,EmissionG,2MASX J13372156+2425037,"['2MASX J13372156+2425037' '204.34' '24.418' '4.577' 'inf' 'EmissionG'
 'EmG']",,,,,,,Jesper Sollerman (SU),No
2024mgn,08:36:33.078,-11:13:27.87,2024-03-17 07:01:11.136,2024-06-23,20.85,ABMag,w - P1,4.612,Galaxy,LEDA  968427,['LEDA  968427' '129.137' '-11.225' '4.612' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mfh,14:38:27.718,+13:38:47.00,2024-04-01 13:38:35.808,2024-06-23,21.11,ABMag,w - P1,4.777,Galaxy,LEDA 1436552,['LEDA 1436552' '219.614' '13.646' '4.777' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mdo,12:47:44.750,-17:47:26.35,2024-03-19 10:51:42.912,2024-06-23,20.91,ABMag,w - P1,4.837,Galaxy,LEDA  877454,['LEDA  877454' '191.937' '-17.79' '4.837' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024men,13:56:09.700,+29:05:38.12,2024-03-29 13:09:51.264,2024-06-23,20.99,ABMag,i - P1,4.888,AGN,LEDA   84081,['LEDA   84081' '209.042' '29.093' '4.888' 'inf' 'AGN' 'AGN'],GinPair,[KVS2002] IRAS 13539+2920 NW,"['[KVS2002] IRAS 13539+2920 NW' '209.042' '29.093' '6.051' 'inf' 'GinPair'
 'GiP']",GinPair,[KVS2002] IRAS 13539+2920 SE,"['[KVS2002] IRAS 13539+2920 SE' '209.043' '29.093' '8.787' 'inf' 'GinPair'
 'GiP']",K. C. Chambers,Yes
2024mim,13:56:01.438,-18:43:23.66,2024-02-15 14:01:35.616,2024-06-23,21.19,ABMag,w - P1,4.912,Galaxy,LEDA  864512,['LEDA  864512' '209.007' '-18.724' '4.912' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mbd,12:22:31.736,+13:40:00.47,2024-06-21 04:39:35.000,2024-06-23,19.6312,ABMag,g - ZTF,5.322,Galaxy,LEDA  169145,['LEDA  169145' '185.632' '13.665' '5.322' 'inf' 'Galaxy' 'G'],,,,,,,Jesper Sollerman (SU),Yes
2024mfz,12:22:08.533,-05:19:01.94,2024-04-02 09:40:38.208,2024-06-23,20.59,ABMag,w - P1,5.691,Galaxy,LEDA 1046321,['LEDA 1046321' '185.537' '-5.318' '5.691' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mgp,11:20:02.858,+41:00:36.36,2024-04-05 07:31:22.944,2024-06-23,21.25,ABMag,w - P1,5.749,Galaxy,2MASX J11200315+4100316,['2MASX J11200315+4100316' '170.013' '41.009' '5.749' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,Yes
2024mhz,13:46:41.569,-11:53:21.61,2024-02-20 14:55:37.344,2024-06-23,21.1,ABMag,w - P1,6.391,Galaxy,[FBC2017] J134641.5-115315.3,"['[FBC2017] J134641.5-115315.3' '206.673' '-11.888' '6.391' 'inf' 'Galaxy'
 'G']",,,,,,,K. C. Chambers,No
2024mkh,09:46:09.367,-30:38:05.43,2024-06-22 17:40:45.696,2024-06-23,17.583,ABMag,orange - ATLAS,6.55,Galaxy,2MASX J09460904-3038117,['2MASX J09460904-3038117' '146.538' '-30.636' '6.55' 'inf' 'Galaxy' 'G'],,,,,,,J. Tonry,No
2024mdc,13:39:28.307,+07:27:13.46,2024-04-08 10:10:31.872,2024-06-23,20.26,ABMag,w - P1,7.069,Galaxy,LEDA 1322132,['LEDA 1322132' '204.869' '7.452' '7.069' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mdt,13:48:23.126,-08:16:37.83,2024-03-19 11:56:50.784,2024-06-23,20.15,ABMag,w - P1,7.133,Galaxy,RASSCALS SS2b239.033,['RASSCALS SS2b239.033' '207.098' '-8.278' '7.133' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mem,16:18:50.560,-24:11:59.85,2024-03-19 14:49:38.784,2024-06-23,20.9,ABMag,w - P1,7.898,Galaxy,6dFGS gJ161850.0-241159,['6dFGS gJ161850.0-241159' '244.708' '-24.2' '7.898' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
2024mfo,14:24:08.317,-23:08:39.33,2024-03-17 13:21:43.200,2024-06-23,21.29,ABMag,w - P1,9.864,Galaxy,LEDA  804299,['LEDA  804299' '216.036' '-23.142' '9.864' 'inf' 'Galaxy' 'G'],,,,,,,K. C. Chambers,No
