TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Reporter,SDSS_image
2024txk,15:43:04.487,+22:02:17.31,2024-08-24 03:48:34.997,2024-08-31,20.4172,ABMag,g - ZTF,1.303,Galaxy,SDSS J154304.42+220216.3,['SDSS J154304.42+220216.3' '235.768' '22.038' '1.303' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024txm,05:25:25.902,-43:59:21.70,2024-08-27 17:10:16.608,2024-08-31,19.82,ABMag,L - GOTO,1.953,Galaxy,Gaia DR3 4799673923771883264,"['Gaia DR3 4799673923771883264' '81.358' '-43.989' '1.953' 'inf' 'Galaxy'
 'G']",A. Kumar,No
2024tyz,21:57:09.606,-30:48:13.20,2024-08-28 12:33:50.400,2024-08-31,19.15,ABMag,L - GOTO,2.201,Galaxy,2dFGRS TGS330Z161,['2dFGRS TGS330Z161' '329.29' '-30.803' '2.201' 'inf' 'Galaxy' 'G'],A. Kumar,No
2024tyg,20:37:18.611,-08:02:31.18,2024-08-30 07:29:03.000,2024-08-31,19.16,ABMag,g - ZTF,2.217,Galaxy,2MASX J20371859-0802331,['2MASX J20371859-0802331' '309.327' '-8.043' '2.217' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,No
2024tyy,23:43:06.837,-00:23:52.08,2024-08-30 15:19:42.816,2024-08-31,18.89,ABMag,L - GOTO,2.745,Galaxy,SDSS J234307.02-002352.0,['SDSS J234307.02-002352.0' '355.779' '-0.398' '2.745' 'inf' 'Galaxy' 'G'],D. O'Neill,Yes
2024txv,00:21:47.013,-24:21:08.91,2024-08-30 10:02:34.000,2024-08-31,19.56,ABMag,g - ZTF,2.915,Galaxy,LEDA 3080198,['LEDA 3080198' '5.446' '-24.352' '2.915' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,No
2024tzd,02:34:23.453,+16:55:06.07,2024-08-28 18:08:34.944,2024-08-31,18.95,ABMag,L - GOTO,4.015,Galaxy,2MASX J02342372+1655039,['2MASX J02342372+1655039' '38.599' '16.918' '4.015' 'inf' 'Galaxy' 'G'],D. O'Neill,No
2024tym,20:30:05.999,-24:59:04.52,2024-08-30 07:54:50.996,2024-08-31,19.4761,ABMag,g - ZTF,4.232,EmissionG,LEDA  783965,['LEDA  783965' '307.526' '-24.984' '4.232' 'inf' 'EmissionG' 'EmG'],A. Munoz-Arancibia,No
2024tzc,23:13:58.877,-38:56:17.00,2024-08-28 12:11:10.464,2024-08-31,19.41,ABMag,L - GOTO,6.026,Galaxy,LEDA  107259,['LEDA  107259' '348.497' '-38.938' '6.026' 'inf' 'Galaxy' 'G'],A. Kumar,No
2024txq,17:45:13.815,+38:54:58.54,2024-08-30 06:51:55.000,2024-08-31,19.598,ABMag,g - ZTF,6.691,Galaxy,UGC 10969,['UGC 10969' '266.31' '38.916' '6.691' 'inf' 'Galaxy' 'G'],I. Pérez-Fournon,No
2024txx,08:55:32.777,+37:12:14.73,2024-08-29 12:02:59.997,2024-08-31,19.434,ABMag,r - ZTF,7.449,Galaxy,LEDA   25060,['LEDA   25060' '133.886' '37.202' '7.449' 'inf' 'Galaxy' 'G'],Jesper Sollerman (SU),Yes
2024txu,01:54:50.476,+33:38:44.81,2024-08-28 08:37:48.999,2024-08-31,20.1004,ABMag,g - ZTF,8.631,GtowardsCl,LEDA 2036273,['LEDA 2036273' '28.708' '33.645' '8.631' 'inf' 'GtowardsCl' 'GiC'],Jesper Sollerman (SU),No
