TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Sep_arcsec,Sep_kpc,Gal_1_type,Gal_1_ABS_Mag,Gal_1_dist,Gal_1_z,Gal_1_info,Gal_2_type,Gal_2_ABS_Mag,Gal_2_dist,Gal_2_z,Gal_2_info,SDSS_image,Gal_3_type,Gal_3_ABS_Mag,Gal_3_dist,Gal_3_z,Gal_3_info,Reporter
2023vcp,16:04:47.895,+07:06:51.29,2023-09-04 07:45:27.072,2023-10-17,19.74,ABMag,r - P1,0.0233880592584574,0.0354879091294098,Galaxy,-17.737556798573966,312.9762334778607,0.07355,"['241.199569' '7.114248' 'Galaxy' '312.9762334778607' '0.07355'
 '0.023388059258457435' '0.03548790912940984']",,,,,,Yes,,,,,,D. O. Jones (UC Santa Cruz)
2023ypk,12:43:30.280,-06:51:54.07,2023-11-27 02:19:40.800,2023-12-01,18.68,ABMag,G - Gaia,0.0327286134044714,0.0386293020905242,Galaxy,-18.2520719435722,243.452584121446,0.057,"['190.876174' '-6.865014' 'Galaxy' '243.452584121446' '0.057'
 '0.03272861340447148' '0.03862930209052426']",,,,,,No,,,,,,S.T. Hodgkin
2023aahe,03:02:45.635,+19:31:05.46,2023-12-12 04:53:29.003,2023-12-18,20.6183,ABMag,r - ZTF,0.0084190150507895,0.04990623253768,Galaxy,-19.818293166480903,1222.696399398823,0.3035,"['45.690146' '19.518181' 'Galaxy' '1222.6963993988227' '0.3035'
 '0.008419015050789588' '0.049906232537680006']",Galaxy,-20.020382785104847,1341.9506870726896,0.3358,"['45.691389' '19.517585' 'Galaxy' '1341.9506870726896' '0.3358'
 '4.736368924225553' '30.81462925059315']",No,,,,,,F. Forster
2023zqy,11:15:21.847,+31:31:24.92,2023-12-06 14:33:30.240,2023-12-13,18.744,ABMag,orange - ATLAS,0.144219063838503,0.080599217742945,Galaxy,-16.564666438998508,115.27451078828128,0.02681,"['168.841056' '31.523556' 'Galaxy' '115.27451078828129' '0.02681'
 '0.14421906383850305' '0.080599217742945']",,,,,,Yes,,,,,,J. Tonry
2023xbk,22:46:23.255,-01:48:11.05,2023-11-08 04:56:47.904,2023-11-09,18.1,ABMag,r - P1,0.0636790371610638,0.0970756341592297,Galaxy,-19.387694406643824,314.44079188514746,0.0739,"['341.596898' '-1.803087' 'Galaxy' '314.44079188514746' '0.0739'
 '0.06367903716106385' '0.09707563415922979']",,,,,,No,,,,,,D. O. Jones (UC Santa Cruz)
2018mkz,08:43:51.301,+51:59:28.31,2018-11-09 12:18:31.968,2023-11-02,18.4159,ABMag,r - ZTF,0.2692678787788924,0.0977550437141649,Galaxy,-15.955998791803369,74.88240054464315,0.01738,"['130.963874' '51.991185' 'Galaxy' '74.88240054464315' '0.01738'
 '0.26926787877889247' '0.0977550437141649']",,,,,,Yes,,,,,,K. De (Caltech) on behalf of ZTF
2023ywc,04:54:02.147,-00:42:47.88,2023-12-02 22:55:04.224,2023-12-06,19.0,ABMag,orange - ATLAS,0.0360026558540635,0.1022696120389028,Galaxy,-19.83918601228455,585.9184887534205,0.1398,"['73.508955' '-0.713296' 'Galaxy' '585.9184887534205' '0.1398'
 '0.036002655854063564' '0.10226961203890282']",,,,,,No,,,,,,J. Tonry
2023wqk,11:54:11.025,+56:26:07.06,2023-11-03 12:21:45.996,2023-11-05,19.4783,ABMag,g - ZTF,0.0411849203624079,0.1072065511206881,Galaxy,-19.171241138904687,536.9183263750456,0.12775,"['178.545958' '56.435296' 'Galaxy' '536.9183263750456' '0.12775'
 '0.0411849203624079' '0.10720655112068811']",,,,,,Yes,,,,,,F. Forster
2023wgz,10:38:45.010,+53:30:06.10,2023-11-02 19:31:22.000,2023-11-03,14.2,VegaMag,Clear - ,1.5994027992039044,0.107237276439243,Galaxy,-16.504065284322333,13.82970947558353,0.0032,"['159.686975' '53.501405' 'Galaxy' '13.82970947558353' '0.0032'
 '1.5994027992039044' '0.10723727643924301']",Galaxy,-19.560024975501168,56.494347255326026,0.0131,"['159.688676' '53.500674' 'Galaxy' '56.494347255326026' '0.0131'
 '4.403991077819494' '1.2062193535706967']",Yes,,,,,,Yuuji Ohshima
2023aale,08:31:29.490,+00:31:48.99,2023-12-11 08:29:45.600,2023-12-19,19.73,ABMag,r - ZTF,0.0709112752310163,0.1161456721737408,Galaxy,-17.913564346752874,337.8414009588797,0.0795,"['127.872883' '0.530293' 'Galaxy' '337.8414009588797' '0.0795'
 '0.07091127523101635' '0.11614567217374082']",,,,,,Yes,,,,,,C. Fremling (Caltech) on behalf of the Zwicky Transient Facility (ZTF) collaboration
