TNS_ID,RA,DEC,DiscoveryDate,Mag,MagUnit,Filter,Reporter,Sep_arcsec,Gal_1_type,Gal_1_name,Gal_1_info,Gal_2_type,Gal_2_name,Gal_2_info,Gal_3_type,Gal_3_name,Gal_3_info,Gal_1_dist,Gal_1_z
2023tjx,22:30:13.652,-48:09:04.45,2023-09-12 01:33:16.992,18.786,ABMag,cyan - ATLAS,J. Tonry,2.561,Galaxy,2MASX J22301371-4809066,['2MASX J22301371-4809066' '337.557' '-48.152' '2.561' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tjx,22:30:13.652,-48:09:04.45,2023-09-12 01:33:16.992,18.786,ABMag,cyan - ATLAS,J. Tonry,2.561,Galaxy,2MASX J22301371-4809066,['2MASX J22301371-4809066' '337.557' '-48.152' '2.561' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmc,03:07:06.558,-42:45:00.98,2023-09-17 22:14:46.752,19.481,ABMag,cyan - ATLAS,J. Tonry,1.204,Galaxy,LEDA  558586,['LEDA  558586' '46.777' '-42.751' '1.204' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tmc,03:07:06.558,-42:45:00.98,2023-09-17 22:14:46.752,19.481,ABMag,cyan - ATLAS,J. Tonry,1.204,Galaxy,LEDA  558586,['LEDA  558586' '46.777' '-42.751' '1.204' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tlt,07:04:56.284,-48:27:47.53,2023-09-18 02:23:35.808,18.944,ABMag,cyan - ATLAS,J. Tonry,3.474,Galaxy,LEDA  487150,['LEDA  487150' '106.235' '-48.464' '3.474' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tlt,07:04:56.284,-48:27:47.53,2023-09-18 02:23:35.808,18.944,ABMag,cyan - ATLAS,J. Tonry,3.474,Galaxy,LEDA  487150,['LEDA  487150' '106.235' '-48.464' '3.474' 'inf' 'Galaxy' 'G'],,,,,,,,
2023tlh,23:14:50.243,+21:49:50.65,2023-09-18 09:48:47.232,19.433,ABMag,cyan - ATLAS,J. Tonry,4.045,Galaxy,Gaia DR3 2837826871203523200,"['Gaia DR3 2837826871203523200' '348.71' '21.83' '4.045' 'inf' 'Galaxy'
 'G']",,,,,,,,
2023tlh,23:14:50.243,+21:49:50.65,2023-09-18 09:48:47.232,19.433,ABMag,cyan - ATLAS,J. Tonry,4.045,Galaxy,Gaia DR3 2837826871203523200,"['Gaia DR3 2837826871203523200' '348.71' '21.83' '4.045' 'inf' 'Galaxy'
 'G']",,,,,,,,
2023tkl,07:39:40.210,+27:32:53.92,2023-09-19 09:08:38.400,17.92,ABMag,G - Gaia,S.T. Hodgkin,0.079,QSO,[VV2006] J073940.2+273253,['[VV2006] J073940.2+273253' '114.918' '27.548' '0.079' 'inf' 'QSO' 'QSO'],,,,,,,,
2023tkl,07:39:40.210,+27:32:53.92,2023-09-19 09:08:38.400,17.92,ABMag,G - Gaia,S.T. Hodgkin,0.079,QSO,[VV2006] J073940.2+273253,['[VV2006] J073940.2+273253' '114.918' '27.548' '0.079' 'inf' 'QSO' 'QSO'],,,,,,,,
