TNS_ID,RA,DEC,DiscoveryDate,ReportDate,Mag,MagUnit,Filter,Gal_match,miniST_name,miniST_RA,miniST_DEC,"GLADE_info [RA,DEC,Flag1,dist,z,sep(arcsec),sep(kpc)]","SDSS_info [RA,DEC,obj_class,dist,z,sep(arcsec),sep(kpc)]",Reporter
2023trd,01:29:13.761,-07:41:36.01,2023-09-25 11:02:59.424,2023-09-27,20.29,ABMag,i - P1,12,['m1491'],['01:30:11'],['-06:57:54'],"['22.306385' '-7.694033' 'G' '443.059857842' '0.096287'
 '4.223905611777061' '9.07301179446797']","['22.306247' '-7.693937' 'Galaxy' '352.01914501310716' '0.0829'
 '4.4514172042433575' '7.596953192429823']",K. C. Chambers
2023twb,03:43:20.290,-17:42:09.43,2023-09-24 10:33:00.576,2023-10-03,19.3952,ABMag,r - ZTF,1,['m0185'],['03:38:59'],['-17:52:18'],"['55.834484' '-17.702755' 'G' '234.289252334' '0.052492'
 '0.52655180185292' '0.5980924725572149']",[],K. De (Caltech) on behalf of ZTF
2023ukv,09:10:32.229,+74:16:48.91,2023-10-07 12:11:13.004,2023-10-09,20.3488,ABMag,r - ZTF,0,['m9297'],['08:56:59'],['+74:50:06'],[],[],A. Munoz-Arancibia
2023und,02:46:02.274,-00:41:37.68,2023-10-07 11:32:42.720,2023-10-10,20.21,ABMag,g - P1,0,['m2344'],['02:45:57'],['-00:08:54'],[],[],D. O. Jones (UC Santa Cruz)
2023upm,23:37:06.261,+22:03:13.55,2023-10-09 10:05:15.648,2023-10-11,21.43,ABMag,w - P1,2,['m5134'],['23:32:19'],['+21:39:54'],[],"['354.275373' '22.054083' 'Galaxy' '897.2416315567725' '0.2181'
 '2.6463504612524065' '11.51149267162718']",K. C. Chambers
2023uua,03:35:15.387,-18:04:51.17,2023-10-11 11:40:43.968,2023-10-14,21.29,ABMag,w - P1,0,['m0185'],['03:38:59'],['-17:52:18'],[],[],K. C. Chambers
2023uus,10:48:53.368,+33:06:48.85,2023-10-13 14:47:47.328,2023-10-14,18.613,ABMag,cyan - ATLAS,2,['m6257'],['10:50:27'],['+32:34:18'],[],"['162.223523' '33.112667' 'Galaxy' '308.99979467873465' '0.0726'
 '4.765713131722101' '7.139387498849756']",J. Tonry
2020afeu,08:59:24.894,+73:47:16.88,2020-11-23 09:24:59.040,2023-10-14,19.9854,ABMag,g - ZTF,0,['m9250'],['08:43:38'],['+73:28:18'],[],[],Patrick Aleo (UIUC)
2021ahwb,09:18:44.084,+39:49:00.96,2021-01-07 08:14:55.680,2023-10-14,19.9165,ABMag,g - ZTF,2,['m6935'],['09:15:24'],['+39:23:18'],[],"['139.683685' '39.816992' 'Galaxy' '643.6930284685767' '0.1541'
 '0.2112502753746425' '0.6592512411007256']",Patrick Aleo (UIUC)
2020affc,02:57:49.391,-14:37:35.70,2020-10-20 08:37:33.024,2023-10-14,20.6316,ABMag,r - ZTF,2,['m0505'],['03:00:43'],['-15:08:42'],[],"['44.455751' '-14.626559' 'Galaxy' '756.4275639893054' '0.1823'
 '0.17906041990354143' '0.656661888550808']",Patrick Aleo (UIUC)
2021ahwn,13:51:32.732,+54:21:40.52,2021-02-10 09:16:05.088,2023-10-14,21.2488,ABMag,g - ZTF,2,['m8227'],['13:59:12'],['+54:23:06'],[],"['207.887018' '54.361305' 'Galaxy' '667.0096551164108' '0.1599'
 '1.3431367424965628' '4.343373897321396']",Patrick Aleo (UIUC)
2018mgx,12:02:49.321,+50:39:50.74,2018-12-12 11:53:18.240,2023-10-14,20.507,ABMag,g - ZTF,2,['m7909'],['12:05:06'],['+50:17:42'],[],"['180.7055' '50.664058' 'Galaxy' '397.73368153999826' '0.0939'
 '0.13154406810051172' '0.2536521253501588']",Patrick Aleo (UIUC)
2018mgz,12:14:47.739,+29:11:44.37,2018-11-05 11:49:12.000,2023-10-14,19.4125,ABMag,r - ZTF,2,['m5976'],['12:19:41'],['+29:50:42'],[],"['183.698775' '29.195729' 'Galaxy' '490.9113246549183' '0.1165'
 '0.501440293438142' '1.1934305380361618']",Patrick Aleo (UIUC)
2018miq,23:34:09.297,+22:05:33.38,2018-09-09 07:19:04.224,2023-10-14,20.0928,ABMag,r - ZTF,2,['m5134'],['23:32:19'],['+21:39:54'],[],"['353.538968' '22.092592' 'Galaxy' '523.2446573635543' '0.1244'
 '0.7704208773081253' '1.9543741629045366']",Patrick Aleo (UIUC)
2018mjl,03:09:08.466,-03:03:22.83,2018-10-31 07:56:02.112,2023-10-14,20.2293,ABMag,r - ZTF,0,['m2009'],['03:11:40'],['-02:52:30'],[],[],Patrick Aleo (UIUC)
2019aatj,12:25:34.741,+64:30:42.78,2019-01-11 10:45:06.336,2023-10-14,20.0881,ABMag,r - ZTF,2,['m8828'],['12:24:47'],['+63:55:42'],[],"['186.394921' '64.511943' 'Galaxy' '721.0204109332255' '0.1734'
 '0.33606041572771156' '1.1747346697117587']",Patrick Aleo (UIUC)
2020affo,12:02:25.759,+58:54:00.81,2020-10-29 11:57:19.296,2023-10-14,19.7001,ABMag,g - ZTF,2,['m8500'],['12:03:29'],['+58:28:30'],[],"['180.607315' '58.900143' 'Galaxy' '587.1347476787965' '0.1401'
 '0.2963730702701489' '0.8436287847439156']",Patrick Aleo (UIUC)
